"skuDisplayName","parentDisplayName","sku","parentSku","itemQty","skuGrossWeight","parentGrossWeight","expectedGrossWeight"
"Katyayani chakrawarti (Thiamethoxam 12.6 % lambda cyhalothrin 9.5 % zc) 100ml x 100","Katyayani chakrawarti (Thiamethoxam 12.6 % lambda cyhalothrin 9.5 % zc) 100ml x 1","K-5781","K-5774",100,11,0.11,
"Katyayani K-Acepro 250gm x 1","Katyayani K-Acepro 250gm x 1","K-188","K-188",1,0.275,0.275,
"Katyayani chloropyriphos 20%  EC 30ltr x 1","Katyayani chloropyriphos 20%  EC 30ltr x 1","K-6608","K-6608",1,33,33,
"Katyayani BPH Super (Pymetrozine 50 % wg) 150gm x 40","Katyayani BPH Super (Pymetrozine 50 % wg) 150 gm x 1","K-5780","K-5753",40,6.6,0.165,
"Katyayani Deltamethrin 1.25 ULV 1000ml x 10","Katyayani Deltamethrin 1.25 ULV 1 ltr x 1","K-216","K-214",10,11,1.1,
"Katyayani Apocalypse - Dinotefuran 20 % SG 100gm x 7","Katyayani Apocalypse - Dinotefuran 20 % SG 100gm x 1","K-418","K-416",7,0.77,0.11,
"Katyayani Propcyp - Profenofos 40 % + Cypermethrin 4 % ec 5ltr x 1","Katyayani Propcyp - Profenofos 40 % + Cypermethrin 4 % ec 5ltr x 1","K-6086","K-6086",1,5.5,5.5,
"Katyayani Propcyp - Profenofos 40 % + Cypermethrin 4 % ec 1 Ltr x 10","Katyayani Propcyp - Profenofos 40 % + Cypermethrin 4 % ec 1 Ltr x 1","K-170","K-167",10,11,1.1,
"Katyayani Finish it 100ml x 1","Katyayani Finish it 100ml x 1","K-409","K-409",1,0.11,0.11,
"Katyayani EMA5 - Emamectin benzoate 5 % SG 250gm x 80","Katyayani EMA5 - Emamectin benzoate 5 % SG 250gm x 1","K-324","K-318",80,22,0.275,
"Katyayani Attack CS 250ml x 3","Katyayani Attack CS 250ml x 1","K-396","K-395",3,0.825,0.275,
"Katyayani Pyrethrum Extract 5Ltr x 1","Katyayani Pyrethrum Extract 5Ltr x 1","K-5319","K-5319",1,5.5,5.5,
"Katyayani Imd-70 - Imidacloprid 70 % WG 2 gm x 1","Katyayani Imd-70 - Imidacloprid 70 % WG 2 gm x 1","K-6383","K-6383",1,0.0022,0.0022,
"Katyayani K-Acepro 1 kg x 1","Katyayani K-Acepro 1 kg x 1","K-6336","K-6336",1,1.1,1.1,
"Katyayani Virat 505 (chlorpyriphos 50%+ cypermethrin 5% ec) 1 ltr x 1","Katyayani Virat 505 (chlorpyriphos 50%+ cypermethrin 5% ec) 1 ltr x 1","K-6366","K-6366",1,1.1,1.1,
"Katyayani EMA5 - Emamectin benzoate 5 % SG 100gm x 1","Katyayani EMA5 - Emamectin benzoate 5 % SG 100gm x 1","K-317","K-317",1,0.11,0.11,
"Katyayani Ashwamedh Diafenthiuron 50% WP 250gm x 2","Katyayani Ashwamedh Diafenthiuron 50% WP 250gm x 1","K-5282","K-361",2,0.55,0.275,
"Katyayani Attack CS 250ml x 1","Katyayani Attack CS 250ml x 1","K-395","K-395",1,0.275,0.275,
"Katyayani Finish it 100ml x 16","Katyayani Finish it 100ml x 1","K-412","K-409",16,1.76,0.11,
"Katyayani Verticillium lecanii 1 Ltr x 1","Katyayani Verticillium lecanii 1 Ltr x 1","K-248","K-248",1,1.1,1.1,
"Katyayani chlorpyriphos 50%+ cypermethrin 5% ec Docter 505 1 Ltr x 1","Katyayani chlorpyriphos 50%+ cypermethrin 5% ec Docter 505 1 Ltr x 1","K-261","K-261",1,1.1,1.1,
"Katyayani Imd-70 - Imidacloprid 70 % WG 30gm x 1","Katyayani Imd-70 - Imidacloprid 70 % WG 30gm x 1","K-176","K-176",1,0.033,0.033,
"Katyayani chlorpyriphos 50%+ cypermethrin 5% ec Docter 505 100ml x 1","Katyayani chlorpyriphos 50%+ cypermethrin 5% ec Docter 505 100ml x 1","K-6069","K-6069",1,0.11,0.11,
"Katyayani Pigeon repellent 300ml x 1","Katyayani Pigeon repellent 300ml x 1","K-5078","K-5078",1,0.33,0.33,
"Katyayani chlorpyriphos 50%+ cypermethrin 5% ec Docter 505 25ltr x 1","Katyayani chlorpyriphos 50%+ cypermethrin 5% ec Docter 505 25ltr x 1","K-5686","K-5686",1,27.5,27.5,
"Katyayani Temephos 50 EC 1 Ltr x 10","Katyayani Temephos 50 EC 1 Ltr x 1","K-287","K-284",10,11,1.1,
"Katyayani EMA5 - Emamectin benzoate 5 % SG 500gm x 10","Katyayani EMA5 - Emamectin benzoate 5 % SG 500gm x 1","K-5717","K-5428",10,5.5,0.55,
"Katyayani BPH Super (Pymetrozine 50 % wg) 150 gm x 1","Katyayani BPH Super (Pymetrozine 50 % wg) 150 gm x 1","K-5753","K-5753",1,0.165,0.165,
"Katyayani Finish it 5 ltr x 1","Katyayani Finish it 5 ltr x 1","K-6269","K-6269",1,5.5,5.5,
"Katyayani BT Bio Larvicide liquid 1 Ltr x 10","Katyayani BT Bio Larvicide liquid 1 Ltr x 1","K-423","K-420",10,11,1.1,
"Katyayani KPOP- Propoxur 20% EC 1 ltr x 10","Katyayani KPOP- Propoxur 20% EC 1 ltr x 1","K-426","K-959",10,11,1.1,
"Katyayani BPH Super (Pymetrozine 50 % wg) 150gm x 4","Katyayani BPH Super (Pymetrozine 50 % wg) 150 gm x 1","K-5777","K-5753",4,0.66,0.165,
"Katyayani chlorpyriphos 50%+ cypermethrin 5% ec Docter 505 1 Ltr x 50","Katyayani chlorpyriphos 50%+ cypermethrin 5% ec Docter 505 1 Ltr x 1","K-265","K-261",50,55,1.1,
"Katyayani BPH Super (Pymetrozine 50 % wg) 150gm x 20","Katyayani BPH Super (Pymetrozine 50 % wg) 150 gm x 1","K-5779","K-5753",20,3.3,0.165,
"Katyayani K-Acepro 500gm x 1","Katyayani K-Acepro 500gm x 1","K-5236","K-5236",1,0.55,0.55,
"Katyayani chloropyriphos 20%cs 1 Ltr x 5","Katyayani chloropyriphos 20%cs 1 Ltr x 1","K-275","K-273",5,5.5,1.1,
"Katyayani Ashwamedh Diafenthiuron 50% WP 75gm x 1","Katyayani Ashwamedh Diafenthiuron 50% WP 75gm x 1","K-6008","K-6008",1,0.0825,0.0825,
"Katyayani Finish it 50ml x 1","Katyayani Finish it 50ml x 1","K-1248","K-1248",1,0.055,0.055,
"Katyayani chlorpyriphos 50%+ cypermethrin 5% ec Docter 505 1 Ltr x 10","Katyayani chlorpyriphos 50%+ cypermethrin 5% ec Docter 505 1 Ltr x 1","K-264","K-261",10,11,1.1,
"Katyayani K-Acepro 250gm x 4","Katyayani K-Acepro 250gm x 1","K-191","K-188",4,1.1,0.275,
"Katyayani EMA5 - Emamectin benzoate 5 % SG 250gm x 4","Katyayani EMA5 - Emamectin benzoate 5 % SG 250gm x 1","K-320","K-318",4,1.1,0.275,
"Katyayani IMD 178 - Imidacloprid 17.8 % SL 1 Ltr x 10","Katyayani IMD 178 - Imidacloprid 17.8 % SL 1 Ltr x 1","K-342","K-338",10,11,1.1,
"Katyayani Propcyp - Profenofos 40 % + Cypermethrin 4 % ec 1 Ltr x 50","Katyayani Propcyp - Profenofos 40 % + Cypermethrin 4 % ec 1 Ltr x 1","K-172","K-167",50,55,1.1,
"Katyayani emathio (Emamectin benzoate 3 % thiamethoxam 12 % wg) 1kg x 3","Katyayani emathio (Emamectin benzoate 3 % thiamethoxam 12 % wg) 1kg x 1","K-5720","K-5719",3,3.3,1.1,
"Katyayani Propcyp - Profenofos 40 % + Cypermethrin 4 % ec 100 ml x 1","Katyayani Propcyp - Profenofos 40 % + Cypermethrin 4 % ec 100 ml x 1","K-6393","K-6393",1,0.11,0.11,
"Katyayani neem oil 900ml x 10","Katyayani neem oil 900ml x 1","K-208","K-205",10,9.9,0.99,
"Katyayani FANTASY Fipronil 5 % SC Insecticide 250ml x 12","Katyayani FANTASY Fipronil 5 % SC Insecticide 250ml x 1","K-347","K-344",12,3.3,0.275,
"Katyayani FANTASY Fipronil 5 % SC Insecticide 100ml x 1","Katyayani FANTASY Fipronil 5 % SC Insecticide 100ml x 1","K-5643","K-5643",1,0.11,0.11,
"Katyayani Pigeon repellent 100ml x 1","Katyayani Pigeon repellent 100ml x 1","K-432","K-432",1,0.11,0.11,
"Katyayani BPH Super (Pymetrozine 50 % wg) 250gm x 12","Katyayani BPH Super (Pymetrozine 50 % wg) 250gm x 1","K-379","K-376",12,3.3,0.275,
"Katyayani DIMETHOATE 30% EC 500ml x 1","Katyayani DIMETHOATE 30% EC 500ml x 1","K-5940","K-5940",1,0.55,0.55,
"Katyayani Thioxam -Thiamethoxam 25 % wg 50 gm x 1","Katyayani Thioxam -Thiamethoxam 25 % wg 50 gm x 1","K-6474","K-6474",1,0.055,0.055,
"Katyayani BPH Super (Pymetrozine 50 % wg) 250gm x 40","Katyayani BPH Super (Pymetrozine 50 % wg) 250gm x 1","K-5100","K-376",40,11,0.275,
"Katyayani imida 30.5 - Imidacloprid 30.5 % SC 100ml x 3","Katyayani imida 30.5 - Imidacloprid 30.5 % SC 100ml x 1","K-182","K-181",3,0.33,0.11,
"Katyayani Thioxam -Thiamethoxam 25 % wg 250gm x 3","Katyayani Thioxam -Thiamethoxam 25 % wg 250gm x 1","K-368","K-367",3,0.825,0.275,
"Katyayani chakrawarti (Thiamethoxam 12.6 % lambda cyhalothrin 9.5 % zc) 1 Ltr x 50","Katyayani chakrawarti (Thiamethoxam 12.6 % lambda cyhalothrin 9.5 % zc) 1 ltr x 1","K-1098","K-6502",50,55,1.1,
"Katyayani imida 30.5 - Imidacloprid 30.5 % SC 1 Ltr x 10","Katyayani imida 30.5 - Imidacloprid 30.5 % SC 1 Ltr x 1","K-187","K-184",10,11,1.1,
"Katyayani nashak (Fipronil 40% + Imidacloprid 40%) 1 Kg x 1","Katyayani nashak (Fipronil 40% + Imidacloprid 40%) 1 Kg x 1","K-10530","K-10530",1,1.1,1.1,
"Katyayani Thiamethoxam 30% FS - Docter 250ml x 1","Katyayani Thiamethoxam 30% FS - Docter 250ml x 1","K-304","K-304",1,0.275,0.275,
"Katyayani THIAMETHOXAM 75%w/WSG 100gm x 1","Katyayani THIAMETHOXAM 75%w/WSG 100gm x 1","K-333","K-333",1,0.11,0.11,
"Katyayani Propcyp - Profenofos 40 % + Cypermethrin 4 % ec 1 Ltr x 4","Katyayani Propcyp - Profenofos 40 % + Cypermethrin 4 % ec 1 Ltr x 1","K-169","K-167",4,4.4,1.1,
"Katyayani Propcyp - Profenofos 40 % + Cypermethrin 4 % ec 10Ltr x 1","Katyayani Propcyp - Profenofos 40 % + Cypermethrin 4 % ec 10Ltr x 1","K-6082","K-6082",1,11,11,
"Katyayani neem oil 900ml x 2","Katyayani neem oil 900ml x 1","K-206","K-205",2,1.98,0.99,
"Katyayani Sporothrix Fungorum 1 Ltr x 3","Katyayani Sporothrix Fungorum 1 Ltr x 1","K-241","K-240",3,3.3,1.1,
"Katyayani Imd-70 - Imidacloprid 70 % WG 30 gm x 5","Katyayani Imd-70 - Imidacloprid 70 % WG 30gm x 1","K-1124","K-176",5,0.165,0.033,
"Katyayani chlorpyriphos 50%+ cypermethrin 5% ec Docter 505 1 ltr x 4","Katyayani chlorpyriphos 50%+ cypermethrin 5% ec Docter 505 1 Ltr x 1","K-6325","K-261",4,4.4,1.1,
"Katyayani Virat 505 (chlorpyriphos 50%+ cypermethrin 5% ec) 50 ml x 1","Katyayani Virat 505 (chlorpyriphos 50%+ cypermethrin 5% ec) 50 ml x 1","K-6363","K-6363",1,0.055,0.055,
"Katyayani DIMETHOATE 30% EC 1 Ltr x 10","Katyayani DIMETHOATE 30% EC 1 Ltr x 1","K-293","K-290",10,11,1.1,
"Katyayani Thioxam -Thiamethoxam 25 % wg 35kg x 1","Katyayani Thioxam -Thiamethoxam 25 % wg 35kg x 1","K-374","K-374",1,38.5,38.5,
"Katyayani neem oil 100ml x 3","Katyayani neem oil 100ml x 1","K-1121","K-203",3,0.33,0.11,
"Katyayani Triple Attack - VBM 1 Ltr x 3","Katyayani Triple Attack - VBM 1 Ltr x 1","K-257","K-256",3,3.3,1.1,
"Katyayani IMD 178 - Imidacloprid 17.8 % SL 100ml x 1","Katyayani IMD 178 - Imidacloprid 17.8 % SL 100ml x 1","K-987","K-987",1,0.11,0.11,
"Katyayani emamectin benzote 1.9% EC - Ema 19 100ml x 1","Katyayani emamectin benzote 1.9% EC - Ema 19 100ml x 1","K-5279","K-5279",1,0.11,0.11,
"Katyayani imida 30.5 - Imidacloprid 30.5 % SC 100ml x 5","Katyayani imida 30.5 - Imidacloprid 30.5 % SC 100ml x 1","K-183","K-181",5,0.55,0.11,
"Katyayani EMA5 - Emamectin benzoate 5 % SG 250gm x 20","Katyayani EMA5 - Emamectin benzoate 5 % SG 250gm x 1","K-322","K-318",20,5.5,0.275,
"Katyayani emamectin benzote 1.9% EC - Ema 19 250ML X 1","Katyayani emamectin benzote 1.9% EC - Ema 19 250ML X 1","K-5280","K-5280",1,0.275,0.275,
"Katyayani emathio (Emamectin benzoate 3 % thiamethoxam 12 % wg) 250gm x 3","Katyayani emathio (Emamectin benzoate 3 % thiamethoxam 12 % wg) 250gm x 1","K-383","K-382",3,0.825,0.275,
"Katyayani Pyrethrum Extract 1Ltr x 1","Katyayani Pyrethrum Extract 1Ltr x 1","K-173","K-173",1,1.1,1.1,
"Katyayani MALATHION 50% EC 1 Ltr x 5","Katyayani MALATHION 50% EC 1 Ltr x 1","K-301","K-299",5,5.5,1.1,
"Katyayani Thiamethoxam 30% FS - Docter 1 Ltr x 1","Katyayani Thiamethoxam 30% FS - Docter 1 Ltr x 1","K-306","K-306",1,1.1,1.1,
"Katyayani IMD 178 - Imidacloprid 17.8 % SL 1 Ltr x 1","Katyayani IMD 178 - Imidacloprid 17.8 % SL 1 Ltr x 1","K-338","K-338",1,1.1,1.1,
"Katyayani BT Bio Larvicide liquid 1 Ltr x 1","Katyayani BT Bio Larvicide liquid 1 Ltr x 1","K-420","K-420",1,1.1,1.1,
"Katyayani Verticillium lecanii 1 Ltr x 5","Katyayani Verticillium lecanii 1 Ltr x 1","K-250","K-248",5,5.5,1.1,
"Katyayani Pyrethrum Extract 100ml x 1","Katyayani Pyrethrum Extract 100ml x 1","K-5318","K-5318",1,0.11,0.11,
"Katyayani 2in1 fogger 1 ltr x 1","Katyayani 2in1 fogger 1 ltr x 1","K-350","K-350",1,1.1,1.1,
"Katyayani Apocalypse - Dinotefuran 20 % SG 1KG X 1","Katyayani Apocalypse - Dinotefuran 20 % SG 1KG X 1","K-6036","K-6036",1,1.1,1.1,
"Katyayani neem oil 5ltr x 1","Katyayani neem oil 5ltr x 1","K-6084","K-6084",1,5.5,5.5,
"Katyayani Flonicamid 50 WG - Umega 150gm x 1","Katyayani Flonicamid 50 WG - Umega 150gm x 1","K-298","K-298",1,0.165,0.165,
"Katyayani Lenux - Lambdacylhalothrin 10% WP 62.5 gm x 80","Katyayani Lenux - Lambdacylhalothrin 10% WP 62.5gm x 1","K-430","K-1178",80,5.5,0.06875,
"Katyayani Finish it 100ml x 8","Katyayani Finish it 100ml x 1","K-411","K-409",8,0.88,0.11,
"Katyayani chlorpyriphos 50%+ cypermethrin 5% ec Docter 505 500ml x 1","Katyayani chlorpyriphos 50%+ cypermethrin 5% ec Docter 505 500ml x 1","K-5856","K-5856",1,0.55,0.55,
"Katyayani EMA5 - Emamectin benzoate 5 % SG 1kg x 2","Katyayani EMA5 - Emamectin benzoate 5 % SG 1kg x 1","K-6602","K-5714",2,2.2,1.1,
"Katyayani Thiamethoxam 30% FS - Docter 1 Ltr x 10","Katyayani Thiamethoxam 30% FS - Docter 1 Ltr x 1","K-308","K-306",10,11,1.1,
"Katyayani EMA5 - Emamectin benzoate 5 % SG 500gm x 2","Katyayani EMA5 - Emamectin benzoate 5 % SG 500gm x 1","K-6603","K-5428",2,1.1,0.55,
"Katyayani IMD 178 - Imidacloprid 17.8 % SL 250ml x 7","Katyayani IMD 178 - Imidacloprid 17.8 % SL 250ml x 1","K-339","K-336",7,1.925,0.275,
"Katyayani emathio (Emamectin benzoate 3 % thiamethoxam 12 % wg) 500gm x 1","Katyayani emathio (Emamectin benzoate 3 % thiamethoxam 12 % wg) 500gm x 1","K-1244","K-1244",1,0.55,0.55,
"Katyayani chloropyriphos 20%cs 500ml x 1","Katyayani chloropyriphos 20%cs 500ml x 1","K-5911","K-5911",1,0.55,0.55,
"Katyayani neem oil 100ml x 10","Katyayani neem oil 100ml x 1","K-1174","K-203",10,1.1,0.11,
"Katyayani Propcyp - Profenofos 40 % + Cypermethrin 4 % ec 50 ltr x 1","Katyayani Propcyp - Profenofos 40 % + Cypermethrin 4 % ec 50 ltr x 1","K-6221","K-6221",1,55,55,
"Katyayani Beauveria Bassiana 5ltr x 1","Katyayani Beauveria Bassiana 5ltr x 1","K-5409","K-5409",1,5.5,5.5,
"Katyayani Malathion 96% ULV 250gm x 1","Katyayani Malathion 96% ULV 250gm x 1","K-6088","K-6088",1,0.275,0.275,
"Katyayani Snake Repellent Powder 100kg x 1","Katyayani Snake Repellent Powder 100kg x 1","K-5208","K-5208",1,110,110,
"Katyayani Thioxam -Thiamethoxam 25 % wg 1 Kg x 20","Katyayani Thioxam -Thiamethoxam 25 % wg 1 Kg x 1","K-373","K-369",20,22,1.1,
"Katyayani Thioxam -Thiamethoxam 25 % wg 1  Kg x 5","Katyayani Thioxam -Thiamethoxam 25 % wg 1 Kg x 1","K-371","K-369",5,5.5,1.1,
"Katyayani Propcyp - Profenofos 40 % + Cypermethrin 4 % ec 1 Ltr x 100","Katyayani Propcyp - Profenofos 40 % + Cypermethrin 4 % ec 1 Ltr x 1","K-10513","K-167",100,110,1.1,
"Katyayani 3in1 100ml x 5","Katyayani 3in1 100ml x 1","K-220","K-217",5,0.55,0.11,
"Katyayani Triple Attack - VBM 1 Ltr x 1","Katyayani Triple Attack - VBM 1 Ltr x 1","K-256","K-256",1,1.1,1.1,
"Katyayani MALATHION 50% EC 1 Ltr x 50","Katyayani MALATHION 50% EC 1 Ltr x 1","K-303","K-299",50,55,1.1,
"Katyayani 2in1 fogger 1 ltr x 5","Katyayani 2in1 fogger 1 ltr x 1","K-351","K-350",5,5.5,1.1,
"Katyayani chloropyriphos 20%cs 1 Ltr x 20","Katyayani chloropyriphos 20%cs 1 Ltr x 1","K-1271","K-273",20,22,1.1,
"Katyayani Imd-70 - Imidacloprid 70 % WG 150gm x 1","Katyayani Imd-70 - Imidacloprid 70 % WG 150gm x 1","K-6016","K-6016",1,0.165,0.165,
"Katyayani chloropyriphos 20%cs 250ml x 1","Katyayani chloropyriphos 20%cs 250ml x 1","K-5876","K-5876",1,0.275,0.275,
"Katyayani IMD 178 - Imidacloprid 17.8 % SL 1 Ltr x 2","Katyayani IMD 178 - Imidacloprid 17.8 % SL 1 Ltr x 1","K-10515","K-338",2,2.2,1.1,
"Katyayani Snake Repellant 900gm x 1 ","Katyayani Snake Repellant 900gm x 1 ","K-406","K-406",1,0.99,0.99,
"Katyayani emamectin benzote 1.9% EC - Ema 19 1 Ltr x 2","Katyayani emamectin benzote 1.9% EC - Ema 19 1 Ltr x 1","K-280","K-279",2,2.2,1.1,
"Katyayani EMA5 - Emamectin benzoate 5 % SG 1 Kg x 10","Katyayani EMA5 - Emamectin benzoate 5 % SG 1kg x 1","K-6283","K-5714",10,11,1.1,
"Katyayani Thioxam -Thiamethoxam 25 % wg 500gm x 1","Katyayani Thioxam -Thiamethoxam 25 % wg 500gm x 1","K-6685","K-6685",1,0.55,0.55,
"Katyayani K-Acepro 250gm x 7","Katyayani K-Acepro 250gm x 1","K-190","K-188",7,1.925,0.275,
"Katyayani Deltamethrin 1.25 ULV 1000ml x 5","Katyayani Deltamethrin 1.25 ULV 1 ltr x 1","K-215","K-214",5,5.5,1.1,
"Katyayani 3in1 100 ml x 2","Katyayani 3in1 100ml x 1","K-218","K-217",2,0.22,0.11,
"Katyayani neem oil 100ml x 1","Katyayani neem oil 100ml x 1","K-203","K-203",1,0.11,0.11,
"Katyayani MALATHION 50% EC 1 Ltr x 10","Katyayani MALATHION 50% EC 1 Ltr x 1","K-302","K-299",10,11,1.1,
"Katyayani chakrawarti (Thiamethoxam 12.6 % lambda cyhalothrin 9.5 % zc) 100ml x 1","Katyayani chakrawarti (Thiamethoxam 12.6 % lambda cyhalothrin 9.5 % zc) 100ml x 1","K-5774","K-5774",1,0.11,0.11,
"Katyayani Temephos 50 EC 1 Ltr x 5","Katyayani Temephos 50 EC 1 Ltr x 1","K-286","K-284",5,5.5,1.1,
"Katyayani DIMETHOATE 30% EC 1 Ltr x 1","Katyayani DIMETHOATE 30% EC 1 Ltr x 1","K-290","K-290",1,1.1,1.1,
"Katyayani emathio (Emamectin benzoate 3 % thiamethoxam 12 % wg) 100gm x 1","Katyayani emathio (Emamectin benzoate 3 % thiamethoxam 12 % wg) 100gm x 1","K-381","K-381",1,0.11,0.11,
"Katyayani Attack CS 250ml x 20","Katyayani Attack CS 250ml x 1","K-400","K-395",20,5.5,0.275,
"Katyayani imida 30.5 - Imidacloprid 30.5 % SC 20ltr x 1","Katyayani imida 30.5 - Imidacloprid 30.5 % SC 20ltr x 1","K-6061","K-6061",1,22,22,
"Katyayani chloropyriphos 20%cs 1 Ltr x 10","Katyayani chloropyriphos 20%cs 1 Ltr x 1","K-276","K-273",10,11,1.1,
"Katyayani EMA5 - Emamectin benzoate 5 % SG 250gm x 2","Katyayani EMA5 - Emamectin benzoate 5 % SG 250gm x 1","K-6594","K-318",2,0.55,0.275,
"Katyayani Deltamethrin 1.25 ULV 5000ml x 1","Katyayani Deltamethrin 1.25 ULV 5000ml x 1","K-6413","K-6413",1,5.5,5.5,
"Katyayani 3in1 250ml x 10","Katyayani 3in1 250ml x 1","K-223","K-219",10,2.75,0.275,
"Katyayani Triple Attack - VBM 1 Ltr x 10","Katyayani Triple Attack - VBM 1 Ltr x 1","K-259","K-256",10,11,1.1,
"Katyayani Metarhizium anisopliae 1 Ltr x 3","Katyayani Metarhizium anisopliae 1 Ltr x 1","K-253","K-252",3,3.3,1.1,
"Katyayani nashak (Fipronil 40% + Imidacloprid 40%) 40 gm x 2","Katyayani nashak (Fipronil 40% + Imidacloprid 40%) 40 gm x 1","K-5283","K-353",2,0.088,0.044,
"Katyayani Fipronil 8.5 % SC 1 Ltr x 1","Katyayani Fipronil 8.5 % SC 1 Ltr x 1","K-6013","K-6013",1,1.1,1.1,
"Katyayani chloropyriphos 20%cs 1 Ltr x 2","Katyayani chloropyriphos 20%cs 1 Ltr x 1","K-274","K-273",2,2.2,1.1,
"Katyayani IMD 178 - Imidacloprid 17.8 % SL 5 ltr x 1","Katyayani IMD 178 - Imidacloprid 17.8 % SL 5 ltr x 1","K-6035","K-6035",1,5.5,5.5,
"Katyayani Triple Attack - VBM 25 Ltr x 1","Katyayani Triple Attack - VBM 25 Ltr x 1","K-5927","K-5927",1,27.5,27.5,
"Katyayani EMA5 - Emamectin benzoate 5 % SG 500gm x 1","Katyayani EMA5 - Emamectin benzoate 5 % SG 500gm x 1","K-5428","K-5428",1,0.55,0.55,
"Katyayani chakrawarti (Thiamethoxam 12.6 % lambda cyhalothrin 9.5 % zc) 1 ltr x 2","Katyayani chakrawarti (Thiamethoxam 12.6 % lambda cyhalothrin 9.5 % zc) 1 ltr x 1","K-6610","K-6502",2,2.2,1.1,
"Katyayani Flonicamid 50 WG - Umega 500gm x 1","Katyayani Flonicamid 50 WG - Umega 500gm x 1","K-5934","K-5934",1,0.55,0.55,
"Katyayani Temephos 50 EC 5Ltr x 1","Katyayani Temephos 50 EC 5Ltr x 1","K-5973","K-5973",1,5.5,5.5,
"Katyayani Spino45 - Spinosad 45 % sc 500ml x 1","Katyayani Spino45 - Spinosad 45 % sc 500ml x 1","K-6001","K-6001",1,0.55,0.55,
"Katyayani Beauveria Bassiana 1 Ltr x 10","Katyayani Beauveria Bassiana 1 Ltr x 1","K-247","K-244",10,11,1.1,
"Katyayani Metarhizium anisopliae 1 Ltr x 1","Katyayani Metarhizium anisopliae 1 Ltr x 1","K-252","K-252",1,1.1,1.1,
"Katyayani Metarhizium anisopliae 1 Ltr x 10","Katyayani Metarhizium anisopliae 1 Ltr x 1","K-255","K-252",10,11,1.1,
"Katyayani nashak (Fipronil 40% + Imidacloprid 40%) 100gm x 30","Katyayani nashak (Fipronil 40% + Imidacloprid 40%) 100gm x 1","K-359","K-354",30,3.3,0.11,
"Katyayani IMD 178 - Imidacloprid 17.8 % SL 1 Ltr x 50","Katyayani IMD 178 - Imidacloprid 17.8 % SL 1 Ltr x 1","K-343","K-338",50,55,1.1,
"Katyayani Pyrethrum Extract 1 Ltr x 5","Katyayani Pyrethrum Extract 1Ltr x 1","K-174","K-173",5,5.5,1.1,
"Katyayani Imd-70 - Imidacloprid 70 % WG 30gm x 14","Katyayani Imd-70 - Imidacloprid 70 % WG 30gm x 1","K-179","K-176",14,0.462,0.033,
"Katyayani chlorpyriphos 50%+ cypermethrin 5% ec Docter 505 1 Ltr x 5","Katyayani chlorpyriphos 50%+ cypermethrin 5% ec Docter 505 1 Ltr x 1","K-263","K-261",5,5.5,1.1,
"Katyayani chakrawarti (Thiamethoxam 12.6 % lambda cyhalothrin 9.5 % zc) 250ml x 20","Katyayani chakrawarti (Thiamethoxam 12.6 % lambda cyhalothrin 9.5 % zc) 250ml x 1","K-393","K-388",20,5.5,0.275,
"Katyayani K-Acepro 100gm x 1","Katyayani K-Acepro 100gm x 1","K-1402","K-1402",1,0.11,0.11,
"Katyayani SPINO25 - Spinosad 2.5 % SC 50ml x 1","Katyayani SPINO25 - Spinosad 2.5 % SC 50ml x 1","K-5899","K-5899",1,0.055,0.055,
