category,mongodb_category,isCorrect_category,sub_category,mongodb_sub_category,isCorrect_sub_category,sku,,parentSku,,,bulk,mongodb_bulk,isCorrect_bulk,variant_name,mongodb_variant_name,isCorrect_variant_name,displayName,mongodb_displayName,isCorrect_displayName,grossWeight,mongodb_grossWeight,isCorrect_grossWeight,netWeight,mongodb_netWeight,isCorrect_netWeight,itemQty,mongodb_itemQty,isCorrect_itemQty,,,mongodb_displayName,isCorrect_displayName,mongodb_variant_name,isCorrect_variant_name,mongodb_grossWeight,isCorrect_grossWeight,mongodb_netWeight,isCorrect_netWeight,mongodb_itemQty,isCorrect_itemQty,mongodb_category,isCorrect_category,mongodb_sub_category,isCorrect_sub_category,mongodb_bulk,isCorrect_bulk,mismatch_fields,,
Fertilizer,Fertilizer,true,Bio Fertilizer,Bio Fertilizer,true,K-77,,K-77,,,BK-652,BK-652,true,1 Ltr x 1,1 Ltr x 1,true,Azospirillum spp 1 Ltr x 1,Katyayani Azospirillum spp 1 Ltr x 1,false,1.1,1.1,true,1,1,true,1,1,true,,,Katyayani Azospirillum spp 1 Ltr x 1,false,1 Ltr x 1,true,1.1,true,1,true,1,true,Fertilizer,true,Bio Fertilizer,true,BK-652,true,displayName,,
Fertilizer,Fertilizer,true,Bio Fertilizer,Bio Fertilizer,true,K-78,,K-77,,,BK-652,BK-652,true,1 Ltr x 3,1 Ltr x 3,true,Azospirillum spp 1 Ltr x 3,Katyayani Azospirillum spp 1 Ltr x 3,false,3.3,3.3,true,3,3,true,3,3,true,,,Katyayani Azospirillum spp 1 Ltr x 3,false,1 Ltr x 3,true,3.3,true,3,true,3,true,Fertilizer,true,Bio Fertilizer,true,BK-652,true,displayName,,
Fertilizer,Fertilizer,true,Bio Fertilizer,Bio Fertilizer,true,K-79,,K-77,,,BK-652,BK-652,true,1 Ltr x 5,1 Ltr x 5,true,Azospirillum spp 1 Ltr x 5,Katyayani Azospirillum spp 1 Ltr x 5,false,5.5,5.5,true,5,5,true,5,5,true,,,Katyayani Azospirillum spp 1 Ltr x 5,false,1 Ltr x 5,true,5.5,true,5,true,5,true,Fertilizer,true,Bio Fertilizer,true,BK-652,true,displayName,,
Fertilizer,Fertilizer,true,Bio Fertilizer,Bio Fertilizer,true,K-80,,K-77,,,BK-652,BK-652,true,1 Ltr x 10,1 Ltr x 10,true,Azospirillum spp 1 Ltr x 10,Katyayani Azospirillum spp 1 Ltr x 10,false,11,11,true,10,10,true,10,10,true,,,Katyayani Azospirillum spp 1 Ltr x 10,false,1 Ltr x 10,true,11,true,10,true,10,true,Fertilizer,true,Bio Fertilizer,true,BK-652,true,displayName,,
Fertilizer,Fertilizer,true,Bio Fertilizer,Bio Fertilizer,true,K-5895,,K-5895,,,BK-652,BK-652,true,25Ltr x 1,25Ltr x 1,true,Azospirillum spp 25Ltr x 1,Katyayani Azospirillum spp 25Ltr x 1,false,27.5,27.5,true,25,25,true,1,1,true,,,Katyayani Azospirillum spp 25Ltr x 1,false,25Ltr x 1,true,27.5,true,25,true,1,true,Fertilizer,true,Bio Fertilizer,true,BK-652,true,displayName,,
Fertilizer,Fertilizer,true,Bio Fertilizer,Bio Fertilizer,true,K-81,,K-81,,,BK-911,BK-911,true,1 Ltr x 1,1 Ltr x 1,true,Acetobacter spp 1 Ltr x 1,Katyayani Acetobacter spp 1 Ltr x 1,false,1.1,1.1,true,1,1,true,1,1,true,,,Katyayani Acetobacter spp 1 Ltr x 1,false,1 Ltr x 1,true,1.1,true,1,true,1,true,Fertilizer,true,Bio Fertilizer,true,BK-911,true,displayName,,
Fertilizer,Fertilizer,true,Bio Fertilizer,Bio Fertilizer,true,K-82,,K-81,,,BK-911,BK-911,true,1 Ltr x 3,1 Ltr x 3,true,Acetobacter spp 1 Ltr x 3,Katyayani Acetobacter spp 1 Ltr x 3,false,3.3,3.3,true,3,3,true,3,3,true,,,Katyayani Acetobacter spp 1 Ltr x 3,false,1 Ltr x 3,true,3.3,true,3,true,3,true,Fertilizer,true,Bio Fertilizer,true,BK-911,true,displayName,,
Fertilizer,Fertilizer,true,Bio Fertilizer,Bio Fertilizer,true,K-83,,K-81,,,BK-911,BK-911,true,1 Ltr x 5,1 Ltr x 5,true,Acetobacter spp 1 Ltr x 5,Katyayani Acetobacter spp 1 Ltr x 5,false,5.5,5.5,true,5,5,true,5,5,true,,,Katyayani Acetobacter spp 1 Ltr x 5,false,1 Ltr x 5,true,5.5,true,5,true,5,true,Fertilizer,true,Bio Fertilizer,true,BK-911,true,displayName,,
Fertilizer,Fertilizer,true,Bio Fertilizer,Bio Fertilizer,true,K-84,,K-81,,,BK-911,BK-911,true,1 Ltr x 10,1 Ltr x 10,true,Acetobacter spp 1 Ltr x 10,Katyayani Acetobacter spp 1 Ltr x 10,false,11,11,true,10,10,true,10,10,true,,,Katyayani Acetobacter spp 1 Ltr x 10,false,1 Ltr x 10,true,11,true,10,true,10,true,Fertilizer,true,Bio Fertilizer,true,BK-911,true,displayName,,
Fertilizer,Fertilizer,true,Bio Fertilizer,Bio Fertilizer,true,K-5991,,K-5991,,,BK-911,BK-911,true,25ltr x 1,25ltr x 1,true,Acetobacter spp 25ltr x 1,Katyayani Acetobacter spp 25ltr x 1,false,27.5,27.5,true,25,25,true,1,1,true,,,Katyayani Acetobacter spp 25ltr x 1,false,25ltr x 1,true,27.5,true,25,true,1,true,Fertilizer,true,Bio Fertilizer,true,BK-911,true,displayName,,
Fertilizer,Fertilizer,true,Bio Fertilizer,Bio Fertilizer,true,K-7198,,K-7198,,,BK-790,BK-790,true,500 ml x 1,500ml x 1,false,Phosphate Solubilizing Bacteria 500 ml x 1,Phosphate Solubilizing Bacteria Bio Fertilizer 500ml x 1,false,0.55,0.55,true,0.5,0.5,true,1,1,true,,,Phosphate Solubilizing Bacteria Bio Fertilizer 500ml x 1,false,500ml x 1,false,0.55,true,0.5,true,1,true,Fertilizer,true,Bio Fertilizer,true,BK-790,true,"displayName,variant_name",,
Fertilizer,Fertilizer,true,Bio Fertilizer,Bio Fertilizer,true,K-85,,K-85,,,BK-790,BK-790,true,1 Ltr x 1,1 Ltr x 1,true,Phosphate Solubilizing Bacteria 1 Ltr x 1,Katyayani Phosphate Solubilizing Bacteria 1 Ltr x 1,false,1.1,1.1,true,1,1,true,1,1,true,,,Katyayani Phosphate Solubilizing Bacteria 1 Ltr x 1,false,1 Ltr x 1,true,1.1,true,1,true,1,true,Fertilizer,true,Bio Fertilizer,true,BK-790,true,displayName,,
Fertilizer,Fertilizer,true,Bio Fertilizer,Bio Fertilizer,true,K-86,,K-85,,,BK-790,BK-790,true,1 Ltr x 3,1 Ltr x 3,true,Phosphate Solubilizing Bacteria 1 Ltr x 3,Katyayani Phosphate Solubilizing Bacteria 1 Ltr x 3,false,3.3,3.3,true,3,3,true,3,3,true,,,Katyayani Phosphate Solubilizing Bacteria 1 Ltr x 3,false,1 Ltr x 3,true,3.3,true,3,true,3,true,Fertilizer,true,Bio Fertilizer,true,BK-790,true,displayName,,
Fertilizer,Fertilizer,true,Bio Fertilizer,Bio Fertilizer,true,K-87,,K-85,,,BK-790,BK-790,true,1 Ltr x 5,1 Ltr x 5,true,Phosphate Solubilizing Bacteria 1 Ltr x 5,Katyayani Phosphate Solubilizing Bacteria 1 Ltr x 5,false,5.5,5.5,true,5,5,true,5,5,true,,,Katyayani Phosphate Solubilizing Bacteria 1 Ltr x 5,false,1 Ltr x 5,true,5.5,true,5,true,5,true,Fertilizer,true,Bio Fertilizer,true,BK-790,true,displayName,,
Fertilizer,Fertilizer,true,Bio Fertilizer,Bio Fertilizer,true,K-6991,,K-6991,,,BK-790,BK-790,true,5 Ltr x 1,5 Ltr x 1,true,Phosphate Solubilizing Bacteria 5 Ltr x 1,Katyayani Phosphate Solubilizing Bacteria 5 Ltr x 1,false,5.5,5.5,true,5,5,true,1,1,true,,,Katyayani Phosphate Solubilizing Bacteria 5 Ltr x 1,false,5 Ltr x 1,true,5.5,true,5,true,1,true,Fertilizer,true,Bio Fertilizer,true,BK-790,true,displayName,,
Fertilizer,Fertilizer,true,Bio Fertilizer,Bio Fertilizer,true,K-88,,K-85,,,BK-790,BK-790,true,1 Ltr x 10,1 Ltr x 10,true,Phosphate Solubilizing Bacteria 1 Ltr x 10,Katyayani Phosphate Solubilizing Bacteria 1 Ltr x 10,false,11,11,true,10,10,true,10,10,true,,,Katyayani Phosphate Solubilizing Bacteria 1 Ltr x 10,false,1 Ltr x 10,true,11,true,10,true,10,true,Fertilizer,true,Bio Fertilizer,true,BK-790,true,displayName,,
Fertilizer,Fertilizer,true,Bio Fertilizer,Bio Fertilizer,true,K-6711,,K-6711,,,BK-790,BK-790,true,25ltr x 1,25ltr x 1,true,Phosphate Solubilizing Bacteria 25ltr x 1,Katyayani Phosphate Solubilizing Bacteria 25ltr x 1,false,27.5,27.5,true,25,25,true,1,1,true,,,Katyayani Phosphate Solubilizing Bacteria 25ltr x 1,false,25ltr x 1,true,27.5,true,25,true,1,true,Fertilizer,true,Bio Fertilizer,true,BK-790,true,displayName,,
Fertilizer,Fertilizer,true,Bio Fertilizer,Bio Fertilizer,true,K-89,,K-89,,,BK-918,BK-918,true,1 Ltr x 1,1 Ltr x 1,true,Potash Mobilizing Bacteria 1 Ltr x 1,Katyayani Potash Mobilizing Bacteria 1 Ltr x 1,false,1.1,1.1,true,1,1,true,1,1,true,,,Katyayani Potash Mobilizing Bacteria 1 Ltr x 1,false,1 Ltr x 1,true,1.1,true,1,true,1,true,Fertilizer,true,Bio Fertilizer,true,BK-918,true,displayName,,
Fertilizer,Fertilizer,true,Bio Fertilizer,Bio Fertilizer,true,K-90,,K-89,,,BK-918,BK-918,true,1 Ltr x 3,1 Ltr x 3,true,Potash Mobilizing Bacteria 1 Ltr x 3,Katyayani Potash Mobilizing Bacteria 1 Ltr x 3,false,3.3,3.3,true,3,3,true,3,3,true,,,Katyayani Potash Mobilizing Bacteria 1 Ltr x 3,false,1 Ltr x 3,true,3.3,true,3,true,3,true,Fertilizer,true,Bio Fertilizer,true,BK-918,true,displayName,,
Fertilizer,Fertilizer,true,Bio Fertilizer,Bio Fertilizer,true,K-91,,K-89,,,BK-918,BK-918,true,1 Ltr x 5,1 Ltr x 5,true,Potash Mobilizing Bacteria 1 Ltr x 5,Katyayani Potash Mobilizing Bacteria 1 Ltr x 5,false,5.5,5.5,true,5,5,true,5,5,true,,,Katyayani Potash Mobilizing Bacteria 1 Ltr x 5,false,1 Ltr x 5,true,5.5,true,5,true,5,true,Fertilizer,true,Bio Fertilizer,true,BK-918,true,displayName,,
Fertilizer,Fertilizer,true,Bio Fertilizer,Bio Fertilizer,true,K-92,,K-89,,,BK-918,BK-918,true,1 Ltr x 10,1 Ltr x 10,true,Potash Mobilizing Bacteria 1 Ltr x 10,Katyayani Potash Mobilizing Bacteria 1 Ltr x 10,false,11,11,true,10,10,true,10,10,true,,,Katyayani Potash Mobilizing Bacteria 1 Ltr x 10,false,1 Ltr x 10,true,11,true,10,true,10,true,Fertilizer,true,Bio Fertilizer,true,BK-918,true,displayName,,
Fertilizer,Fertilizer,true,Bio Fertilizer,Bio Fertilizer,true,K-5827,,K-5827,,,BK-918,BK-918,true,50 ltr x 1,50 ltr x 1,true,Potash Mobilizing Bacteria 50 ltr x 1,Katyayani Potash Mobilizing Bacteria 50 ltr x 1,false,55,55,true,50,50,true,1,1,true,,,Katyayani Potash Mobilizing Bacteria 50 ltr x 1,false,50 ltr x 1,true,55,true,50,true,1,true,Fertilizer,true,Bio Fertilizer,true,BK-918,true,displayName,,
Fertilizer,Fertilizer,true,Bio Fertilizer,Bio Fertilizer,true,K-6712,,K-6712,,,BK-918,BK-918,true,25ltr x 1,25ltr x 1,true,Potash Mobilizing Bacteria 25ltr x 1,Katyayani Potash Mobilizing Bacteria 25ltr x 1,false,27.5,27.5,true,25,25,true,1,1,true,,,Katyayani Potash Mobilizing Bacteria 25ltr x 1,false,25ltr x 1,true,27.5,true,25,true,1,true,Fertilizer,true,Bio Fertilizer,true,BK-918,true,displayName,,
Fertilizer,Fertilizer,true,Bio Fertilizer,Bio Fertilizer,true,K-93,,K-93,,,BK-998,BK-998,true,1 Ltr x 1,1 Ltr x 1,true,Zinc Solubiilizing Bacteria 1 Ltr x 1,Katyayani Zinc Solubiilizing Bacteria 1 Ltr x 1,false,1.1,1.1,true,1,1,true,1,1,true,,,Katyayani Zinc Solubiilizing Bacteria 1 Ltr x 1,false,1 Ltr x 1,true,1.1,true,1,true,1,true,Fertilizer,true,Bio Fertilizer,true,BK-998,true,displayName,,
Fertilizer,Fertilizer,true,Bio Fertilizer,Bio Fertilizer,true,K-6900,,K-93,,,BK-998,BK-998,true,1 Ltr x 2,1 Ltr x 2,true,Zinc Solubiilizing Bacteria 1 Ltr x 2,Katyayani Zinc Solubiilizing Bacteria 1 Ltr x 2,false,2.2,2.2,true,2,2,true,2,2,true,,,Katyayani Zinc Solubiilizing Bacteria 1 Ltr x 2,false,1 Ltr x 2,true,2.2,true,2,true,2,true,Fertilizer,true,Bio Fertilizer,true,BK-998,true,displayName,,
Fertilizer,Fertilizer,true,Bio Fertilizer,Bio Fertilizer,true,K-94,,K-93,,,BK-998,BK-998,true,1 Ltr x 3,1 Ltr x 3,true,Zinc Solubiilizing Bacteria 1 Ltr x 3,Katyayani Zinc Solubiilizing Bacteria 1 Ltr x 3,false,3.3,3.3,true,3,3,true,3,3,true,,,Katyayani Zinc Solubiilizing Bacteria 1 Ltr x 3,false,1 Ltr x 3,true,3.3,true,3,true,3,true,Fertilizer,true,Bio Fertilizer,true,BK-998,true,displayName,,
Fertilizer,Fertilizer,true,Bio Fertilizer,Bio Fertilizer,true,K-95,,K-93,,,BK-998,BK-998,true,1 Ltr x 5,1 Ltr x 5,true,Zinc Solubiilizing Bacteria 1 Ltr x 5,Katyayani Zinc Solubiilizing Bacteria 1 Ltr x 5,false,5.5,5.5,true,5,5,true,5,5,true,,,Katyayani Zinc Solubiilizing Bacteria 1 Ltr x 5,false,1 Ltr x 5,true,5.5,true,5,true,5,true,Fertilizer,true,Bio Fertilizer,true,BK-998,true,displayName,,
Fertilizer,Fertilizer,true,Bio Fertilizer,Bio Fertilizer,true,K-96,,K-93,,,BK-998,BK-998,true,1 Ltr x 10,1 Ltr x 10,true,Zinc Solubiilizing Bacteria 1 Ltr x 10,Katyayani Zinc Solubiilizing Bacteria 1 Ltr x 10,false,11,11,true,10,10,true,10,10,true,,,Katyayani Zinc Solubiilizing Bacteria 1 Ltr x 10,false,1 Ltr x 10,true,11,true,10,true,10,true,Fertilizer,true,Bio Fertilizer,true,BK-998,true,displayName,,
Fertilizer,Fertilizer,true,Bio Fertilizer,Bio Fertilizer,true,K-6716,,K-6716,,,BK-998,BK-998,true,25ltr x 1,25ltr x 1,true,Zinc Solubiilizing Bacteria 25ltr x 1,Katyayani Zinc Solubiilizing Bacteria 25ltr x 1,false,27.5,27.5,true,25,25,true,1,1,true,,,Katyayani Zinc Solubiilizing Bacteria 25ltr x 1,false,25ltr x 1,true,27.5,true,25,true,1,true,Fertilizer,true,Bio Fertilizer,true,BK-998,true,displayName,,
Fertilizer,Fertilizer,true,Bio Fertilizer,Bio Fertilizer,true,K-97,,K-97,,,BK-902,BK-902,true,1 Ltr x 1,1 Ltr x 1,true,Sulphur & Iron Bacteria 1 Ltr x 1,Katyayani Sulphur & Iron Bacteria 1 Ltr x 1,false,1.1,1.1,true,1,1,true,1,1,true,,,Katyayani Sulphur & Iron Bacteria 1 Ltr x 1,false,1 Ltr x 1,true,1.1,true,1,true,1,true,Fertilizer,true,Bio Fertilizer,true,BK-902,true,displayName,,
Fertilizer,Fertilizer,true,Bio Fertilizer,Bio Fertilizer,true,K-6901,,K-97,,,BK-902,BK-902,true,1 Ltr x 2,1 Ltr x 2,true,Sulphur & Iron Bacteria 1 Ltr x 2,Katyayani Sulphur & Iron Bacteria 1 Ltr x 2,false,2.2,2.2,true,2,2,true,2,2,true,,,Katyayani Sulphur & Iron Bacteria 1 Ltr x 2,false,1 Ltr x 2,true,2.2,true,2,true,2,true,Fertilizer,true,Bio Fertilizer,true,BK-902,true,displayName,,
Fertilizer,Fertilizer,true,Bio Fertilizer,Bio Fertilizer,true,K-98,,K-97,,,BK-902,BK-902,true,1 Ltr x 3,1 Ltr x 3,true,Sulphur & Iron Bacteria 1 Ltr x 3,Katyayani Sulphur & Iron Bacteria 1 Ltr x 3,false,3.3,3.3,true,3,3,true,3,3,true,,,Katyayani Sulphur & Iron Bacteria 1 Ltr x 3,false,1 Ltr x 3,true,3.3,true,3,true,3,true,Fertilizer,true,Bio Fertilizer,true,BK-902,true,displayName,,
Fertilizer,Fertilizer,true,Bio Fertilizer,Bio Fertilizer,true,K-99,,K-97,,,BK-902,BK-902,true,1 Ltr x 5,1 Ltr x 5,true,Sulphur & Iron Bacteria 1 Ltr x 5,Katyayani Sulphur & Iron Bacteria 1 Ltr x 5,false,5.5,5.5,true,5,5,true,5,5,true,,,Katyayani Sulphur & Iron Bacteria 1 Ltr x 5,false,1 Ltr x 5,true,5.5,true,5,true,5,true,Fertilizer,true,Bio Fertilizer,true,BK-902,true,displayName,,
Fertilizer,Fertilizer,true,Bio Fertilizer,Bio Fertilizer,true,K-100,,K-97,,,BK-902,BK-902,true,1 Ltr x 10,1 Ltr x 10,true,Sulphur & Iron Bacteria 1 Ltr x 10,Katyayani Sulphur & Iron Bacteria 1 Ltr x 10,false,11,11,true,10,10,true,10,10,true,,,Katyayani Sulphur & Iron Bacteria 1 Ltr x 10,false,1 Ltr x 10,true,11,true,10,true,10,true,Fertilizer,true,Bio Fertilizer,true,BK-902,true,displayName,,
Fertilizer,Fertilizer,true,Bio Fertilizer,Bio Fertilizer,true,K-6715,,K-6715,,,BK-902,BK-902,true,25ltr x 1,25ltr x 1,true,Sulphur & Iron Bacteria 25ltr x 1,Katyayani Sulphur & Iron Bacteria 25ltr x 1,false,27.5,27.5,true,25,25,true,1,1,true,,,Katyayani Sulphur & Iron Bacteria 25ltr x 1,false,25ltr x 1,true,27.5,true,25,true,1,true,Fertilizer,true,Bio Fertilizer,true,BK-902,true,displayName,,
Fertilizer,Fertilizer,true,Bio Fertilizer,Bio Fertilizer,true,K-5830,,K-5830,,,BK-903,BK-903,true,100ml x 1,100ml x 1,true,compost activator 100ml x 1,Katyayani compost activator 100ml x 1,false,0.11,0.11,true,0.1,0.1,true,1,1,true,,,Katyayani compost activator 100ml x 1,false,100ml x 1,true,0.11,true,0.1,true,1,true,Fertilizer,true,Bio Fertilizer,true,BK-903,true,displayName,,
Fertilizer,Fertilizer,true,Bio Fertilizer,Bio Fertilizer,true,K-101,,K-101,,,BK-903,BK-903,true,1 Ltr x 1,1 Ltr x 1,true,compost activator 1 Ltr x 1,Katyayani compost activator 1 Ltr x 1,false,1.1,1.1,true,1,1,true,1,1,true,,,Katyayani compost activator 1 Ltr x 1,false,1 Ltr x 1,true,1.1,true,1,true,1,true,Fertilizer,true,Bio Fertilizer,true,BK-903,true,displayName,,
Fertilizer,Fertilizer,true,Bio Fertilizer,Bio Fertilizer,true,K-102,,K-101,,,BK-903,BK-903,true,1 Ltr x 3,1 Ltr x 3,true,compost activator 1 Ltr x 3,Katyayani compost activator 1 Ltr x 3,false,3.3,3.3,true,3,3,true,3,3,true,,,Katyayani compost activator 1 Ltr x 3,false,1 Ltr x 3,true,3.3,true,3,true,3,true,Fertilizer,true,Bio Fertilizer,true,BK-903,true,displayName,,
Fertilizer,Fertilizer,true,Bio Fertilizer,Bio Fertilizer,true,K-103,,K-101,,,BK-903,BK-903,true,1 Ltr x 5,1 Ltr x 5,true,compost activator 1 Ltr x 5,Katyayani compost activator 1 Ltr x 5,false,5.5,5.5,true,5,5,true,5,5,true,,,Katyayani compost activator 1 Ltr x 5,false,1 Ltr x 5,true,5.5,true,5,true,5,true,Fertilizer,true,Bio Fertilizer,true,BK-903,true,displayName,,
Fertilizer,Fertilizer,true,Bio Fertilizer,Bio Fertilizer,true,K-104,,K-101,,,BK-903,BK-903,true,1 Ltr x 10,1 Ltr x 10,true,compost activator 1 Ltr x 10,Katyayani compost activator 1 Ltr x 10,false,11,11,true,10,10,true,10,10,true,,,Katyayani compost activator 1 Ltr x 10,false,1 Ltr x 10,true,11,true,10,true,10,true,Fertilizer,true,Bio Fertilizer,true,BK-903,true,displayName,,
Fertilizer,Fertilizer,true,Bio Fertilizer,Bio Fertilizer,true,K-6739,,K-6739,,,BK-903,BK-903,true,25 Ltr x 1,25 Ltr x 1,true,compost activator 25 Ltr x 1,Katyayani compost activator 25 Ltr x 1,false,27.5,27.5,true,25,25,true,1,1,true,,,Katyayani compost activator 25 Ltr x 1,false,25 Ltr x 1,true,27.5,true,25,true,1,true,Fertilizer,true,Bio Fertilizer,true,BK-903,true,displayName,,
Fertilizer,Fertilizer,true,Bio Fertilizer,Bio Fertilizer,true,K-6908,,K-6908,,,BK-860,BK-860,true,100ml x 1,100ml x 1,true,Liquid Consortia - Bio NPK 100ml x 1,Katyayani Liquid Consortia - Bio NPK 100ml x 1,false,0.11,0.11,true,0.1,0.1,true,1,1,true,,,Katyayani Liquid Consortia - Bio NPK 100ml x 1,false,100ml x 1,true,0.11,true,0.1,true,1,true,Fertilizer,true,Bio Fertilizer,true,BK-860,true,displayName,,
Fertilizer,Fertilizer,true,Bio Fertilizer,Bio Fertilizer,true,K-105,,K-105,,,BK-860,BK-860,true,1 Ltr x 1,1 Ltr x 1,true,Liquid Consortia - Bio NPK 1 Ltr x 1,Katyayani Liquid Consortia - Bio NPK 1 Ltr x 1,false,1.1,1.1,true,1,1,true,1,1,true,,,Katyayani Liquid Consortia - Bio NPK 1 Ltr x 1,false,1 Ltr x 1,true,1.1,true,1,true,1,true,Fertilizer,true,Bio Fertilizer,true,BK-860,true,displayName,,
Fertilizer,Fertilizer,true,Bio Fertilizer,Bio Fertilizer,true,K-6895,,K-105,,,BK-860,BK-860,true,1 Ltr x 2,1 Ltr x 2,true,Liquid Consortia - Bio NPK 1 Ltr x 2,Katyayani Liquid Consortia - Bio NPK 1 Ltr x 2,false,2.2,2.2,true,2,2,true,2,2,true,,,Katyayani Liquid Consortia - Bio NPK 1 Ltr x 2,false,1 Ltr x 2,true,2.2,true,2,true,2,true,Fertilizer,true,Bio Fertilizer,true,BK-860,true,displayName,,
