category,sub_category,sku,parentSku,bulk,variant_name,displayName,grossWeight,netWeight,itemQty,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-102,K-101,BK-903,1 Ltr x 3,compost activator 1 Ltr x 3,3.3,3,3,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-103,K-101,BK-903,1 Ltr x 5,compost activator 1 Ltr x 5,5.5,5,5,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-104,K-101,BK-903,1 Ltr x 10,compost activator 1 Ltr x 10,11,10,10,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-6739,K-6739,BK-903,25 Ltr x 1,compost activator 25 Ltr x 1,27.5,25,1,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-6908,K-6908,BK-860,100ml x 1,Liquid Consortia - Bio NPK 100ml x 1,0.11,0.1,1,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-105,K-105,BK-860,1 Ltr x 1,Liquid Consortia - Bio NPK 1 Ltr x 1,1.1,1,1,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-6895,K-105,BK-860,1 Ltr x 2,Liquid Consortia - Bio NPK 1 Ltr x 2,2.2,2,2,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-106,K-105,BK-860,1 Ltr x 3,Liquid Consortia - Bio NPK 1 Ltr x 3,3.3,3,3,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-107,K-105,BK-860,1 Ltr x 5,Liquid Consortia - Bio NPK 1 Ltr x 5,5.5,5,5,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-108,K-105,BK-860,1 Ltr x 10,Liquid Consortia - Bio NPK 1 Ltr x 10,11,10,10,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-6246,K-6246,BK-860,20 ltr x 1,Liquid Consortia - Bio NPK 20 ltr x 1,22,20,1,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-7376,K-7376,BK-860,5 Ltr x 1,Liquid Consortia - Bio NPK 5 Ltr x 1,5.5,5,1,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-6713,K-6713,BK-860,25ltr x 1,Liquid Consortia - Bio NPK 25ltr x 1,27.5,25,1,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-109,K-109,BK-863,1 Ltr x 1,VAM (Vesicular Arbuscular Mycorrhiza) 1 Ltr x 1,1.1,1,1,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-110,K-109,BK-863,1 Ltr x 3,VAM (Vesicular Arbuscular Mycorrhiza) 1 Ltr x 3,3.3,3,3,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-111,K-109,BK-863,1 Ltr x 5,VAM (Vesicular Arbuscular Mycorrhiza) 1 Ltr x 5,5.5,5,5,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-6990,K-6990,BK-863,5 Ltr x 1,VAM (Vesicular Arbuscular Mycorrhiza) 5 Ltr x 1,5.5,5,1,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-112,K-109,BK-863,1 Ltr x 10,VAM (Vesicular Arbuscular Mycorrhiza) 1 Ltr x 10,11,10,10,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-5829,K-5829,BK-863,100ml x 1,VAM (Vesicular Arbuscular Mycorrhiza) 100ml x 1,0.11,0.1,1,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-6369,K-6369,BK-863,25 ltr x 1,VAM (Vesicular Arbuscular Mycorrhiza) 25 ltr x 1,27.5,25,1,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-5370,K-5370,BK-863,1kg x 1,VAM (Vesicular Arbuscular Mycorrhiza) 1kg x 1,1.1,1,1,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-980,K-980,BK-09,470gm x 1,MYCORRHIZA 470gm x 1,0.517,0.47,1,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-981,K-981,BK-09,900gm x 1,MYCORRHIZA 900gm x 1,0.99,0.9,1,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-5325,K-5325,BK-09,1kg x 1,MYCORRHIZA 1kg x 1,1.1,1,1,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-1166,K-1166,BK-09,970gm x 1,MYCORRHIZA 970gm x 1,1.067,0.97,1,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-5284,K-5325,BK-09,1kg x 5,MYCORRHIZA 1kg x 5,5.5,5,5,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-5401,K-5401,BK-493,1Ltr x 1,BACSIL SILICA SOLUBIZING BACTERIA 1Ltr x 1,1.1,1,1,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-5402,K-5401,BK-493,1Ltr x 3,BACSIL SILICA SOLUBIZING BACTERIA 1Ltr x 3,3.3,3,3,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-5403,K-5401,BK-493,1Ltr x 5,BACSIL SILICA SOLUBIZING BACTERIA 1Ltr x 5,5.5,5,5,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-5404,K-5401,BK-493,1Ltr x 10,BACSIL SILICA SOLUBIZING BACTERIA 1Ltr x 10,11,10,10,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-6909,K-6909,BK-526,100 gm x 1,Bio Npk consortia powder 100 gm x 1,0.11,0.1,1,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-5658,K-5658,BK-526,250gm x 1,Bio Npk consortia powder 250gm x 1,0.275,0.25,1,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-5405,K-5405,BK-526,1 kg x 1,Bio Npk consortia powder 1 kg x 1,1.1,1,1,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-6892,K-5405,BK-526,1 kg x 2,Bio Npk consortia powder 1 kg x 2,2.2,2,2,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-5406,K-5405,BK-526,1 kg x 3,Bio Npk consortia powder 1 kg x 3,3.3,3,3,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-5407,K-5405,BK-526,1 kg x 5,Bio Npk consortia powder 1 kg x 5,5.5,5,5,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-5408,K-5405,BK-526,1 kg x 10,Bio Npk consortia powder 1 kg x 10,11,10,10,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-6714,K-6714,BK-526,25kg x 1,Bio Npk consortia powder 25kg x 1,27.5,25,1,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-5567,K-5567,BK-542,100gm x 1,KATYAYANI K-RAJA (MYCORRIZA) 100gm x 1,0.11,0.1,1,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-5668,K-5567,BK-542,100gm x 5,KATYAYANI K-RAJA (MYCORRIZA) 100gm x 5,0.55,0.5,5,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-5669,K-5567,BK-542,100gm x 10,KATYAYANI K-RAJA (MYCORRIZA) 100gm x 10,1.1,1,10,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-6706,K-6706,BK-542,1 Kg x 1,KATYAYANI K-RAJA (MYCORRIZA) 1 Kg x 1,1.1,1,1,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-5676,K-5676,BK-480,1Ltr x 1,Calcium Solubilizing bacteria 1Ltr x 1,1.1,1,1,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-6898,K-5676,BK-480,1Ltr x 2,Calcium Solubilizing bacteria 1Ltr x 2,2.2,2,2,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-5677,K-5676,BK-480,1Ltr x 3,Calcium Solubilizing bacteria 1Ltr x 3,3.3,3,3,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-5678,K-5676,BK-480,1Ltr x 5,Calcium Solubilizing bacteria 1Ltr x 5,5.5,5,5,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-5679,K-5676,BK-480,1Ltr x 10,Calcium Solubilizing bacteria 1Ltr x 10,11,10,10,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-7437,K-7437,BK-480,5 Ltr x 1,Calcium Solubilizing bacteria 5 Ltr x 1,5.5,5,1,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-6944,K-6944,BK-480,25 Ltr x 1,calcium Solubilizing Bacteria 25 Ltr x 1,27.5,25,1,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-6282,K-6282,BK-543,1 kg x 1,BHUMIRAJA (MYCORRHIZA) 1 kg x 1,1.1,1,1,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-5680,K-5680,BK-543,4kg x 1,BHUMIRAJA (MYCORRHIZA) 4kg x 1,4.4,4,1,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-5681,K-5680,BK-543,4kg x 2,BHUMIRAJA (MYCORRHIZA) 4kg x 2,8.8,8,2,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-5682,K-5680,BK-543,4kg x 5,BHUMIRAJA (MYCORRHIZA) 4kg x 5,22,20,5,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-5865,K-5865,BK-543,25kg x 1,BHUMIRAJA (MYCORRHIZA) 25kg x 1,27.5,25,1,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-5877,K-5877,BK-543,50KG x 1,BHUMIRAJA (MYCORRHIZA) 50KG x 1,55,50,1,,,,,,,,,,,,,,,,,,
Fungicide,Bio Fungicide,K-458,K-458,BK-546,1 ltr x 1,Trichoderma viride 1 ltr x 1,1.1,1,1,,,,,,,,,,,,,,,,,,
Fungicide,Bio Fungicide,K-6896,K-458,BK-546,1 ltr x 2,Trichoderma viride 1 ltr x 2,2.2,2,2,,,,,,,,,,,,,,,,,,
Fungicide,Bio Fungicide,K-459,K-458,BK-546,1 Ltr x 3,Trichoderma viride 1 Ltr x 3,3.3,3,3,,,,,,,,,,,,,,,,,,
Fungicide,Bio Fungicide,K-460,K-458,BK-546,1 ltr x 5,Trichoderma viride 1 ltr x 5,5.5,5,5,,,,,,,,,,,,,,,,,,
Fungicide,Bio Fungicide,K-7194,K-7194,BK-546,5 ltr x 1,Trichoderma viride 5 ltr x 1,5.5,5,1,,,,,,,,,,,,,,,,,,
Fungicide,Bio Fungicide,K-461,K-458,BK-546,1 ltr x 10,Trichoderma viride 1 ltr x 10,11,10,10,,,,,,,,,,,,,,,,,,
Fungicide,Bio Fungicide,K-6421,K-6421,BK-546,25 ltr x 1,Trichoderma viride 25 ltr x 1,27.5,25,1,,,,,,,,,,,,,,,,,,
Fungicide,Bio Fungicide,K-6579,K-6579,BK-546,100 ml x 1,Trichoderma viride 100 ml x 1,0.11,0.1,1,,,,,,,,,,,,,,,,,,
Fungicide,Bio Fungicide,K-7463,K-7463,BK-546,500 ml x 1,Trichoderma harzianum 500 ml x 1,0.55,0.5,1,,,,,,,,,,,,,,,,,,
Fungicide,Bio Fungicide,K-462,K-462,BK-996,1 ltr x 1,Trichoderma harzianum 1 ltr x 1,1.1,1,1,,,,,,,,,,,,,,,,,,
Fungicide,Bio Fungicide,K-463,K-462,BK-996,1 ltr x 3,Trichoderma harzianum 1 ltr x 3,3.3,3,3,,,,,,,,,,,,,,,,,,
Fungicide,Bio Fungicide,K-464,K-462,BK-996,1 ltr x 5,Trichoderma harzianum 1 ltr x 5,5.5,5,5,,,,,,,,,,,,,,,,,,
Fungicide,Bio Fungicide,K-6992,K-6992,BK-996,5 ltr x 1,Trichoderma harzianum 5 ltr x 1,5.5,5,1,,,,,,,,,,,,,,,,,,
Fungicide,Bio Fungicide,K-465,K-462,BK-996,1 ltr x 10,Trichoderma harzianum 1 ltr x 10,11,10,10,,,,,,,,,,,,,,,,,,
Fungicide,Bio Fungicide,K-5074,K-462,BK-996,1 ltr x 20,Trichoderma harzianum 1 ltr x 20,22,20,20,,,,,,,,,,,,,,,,,,
Fungicide,Bio Fungicide,K-6414,K-6414,BK-996,25 ltr x 1,Trichoderma harzianum 25 ltr x 1,27.5,25,1,,,,,,,,,,,,,,,,,,
Fungicide,Bio Fungicide,K-466,K-466,BK-817,1 ltr x 1,Ampelomyces quisqualis 1 ltr x 1,1.1,1,1,,,,,,,,,,,,,,,,,,
Fungicide,Bio Fungicide,K-467,K-466,BK-817,1 ltr x 3,Ampelomyces quisqualis 1 ltr x 3,3.3,3,3,,,,,,,,,,,,,,,,,,
Fungicide,Bio Fungicide,K-468,K-466,BK-817,1 ltr x 5,Ampelomyces quisqualis 1 ltr x 5,5.5,5,5,,,,,,,,,,,,,,,,,,
Fungicide,Bio Fungicide,K-469,K-466,BK-817,1 ltr x 10,Ampelomyces quisqualis 1 ltr x 10,11,10,10,,,,,,,,,,,,,,,,,,
Fungicide,Bio Fungicide,K-6753,K-6753,BK-817,25 Ltr x 1,Ampelomyces quisqualis 25 Ltr x 1,27.5,25,1,,,,,,,,,,,,,,,,,,
Fungicide,Bio Fungicide,K-470,K-470,BK-867,1 ltr x 1,Pseudomonas fluorescence 1 ltr x 1,1.1,1,1,,,,,,,,,,,,,,,,,,
Fungicide,Bio Fungicide,K-471,K-470,BK-867,1 ltr x 3,Pseudomonas fluorescence 1 ltr x 3,3.3,3,3,,,,,,,,,,,,,,,,,,
Fungicide,Bio Fungicide,K-472,K-470,BK-867,1 ltr x 5,Pseudomonas fluorescence 1 ltr x 5,5.5,5,5,,,,,,,,,,,,,,,,,,
Fungicide,Bio Fungicide,K-473,K-470,BK-867,1 ltr x 10,Pseudomonas fluorescence 1 ltr x 10,11,10,10,,,,,,,,,,,,,,,,,,
Fungicide,Bio Fungicide,K-6038,K-6038,BK-867,5ltr x 1,Pseudomonas fluorescence 5ltr x 1,5.5,5,1,,,,,,,,,,,,,,,,,,
Fungicide,Bio Fungicide,K-6577,K-6577,BK-867,100 ml x 1,Pseudomonas fluorescence 100 ml x 1,0.11,0.1,1,,,,,,,,,,,,,,,,,,
Fungicide,Bio Fungicide,K-6752,K-6752,BK-867,25 Ltr x 1,Pseudomonas fluorescence 25 Ltr x 1,27.5,25,1,,,,,,,,,,,,,,,,,,
Fungicide,Bio Fungicide,K-474,K-474,BK-870,1 ltr x 1,Paecilomyces Lilacinus 1 ltr x 1,1.1,1,1,,,,,,,,,,,,,,,,,,
Fungicide,Bio Fungicide,K-475,K-474,BK-870,1 ltr x 3,Paecilomyces Lilacinus 1 ltr x 3,3.3,3,3,,,,,,,,,,,,,,,,,,
Fungicide,Bio Fungicide,K-476,K-474,BK-870,1 ltr x 5,Paecilomyces Lilacinus 1 ltr x 5,5.5,5,5,,,,,,,,,,,,,,,,,,
Fungicide,Bio Fungicide,K-6848,K-6848,BK-870,5 ltr x 1,Paecilomyces Lilacinus 5 ltr x 1,5.5,5,1,,,,,,,,,,,,,,,,,,
Fungicide,Bio Fungicide,K-477,K-474,BK-870,1 ltr x 10,Paecilomyces Lilacinus 1 ltr x 10,11,10,10,,,,,,,,,,,,,,,,,,
Fungicide,Bio Fungicide,K-6751,K-6751,BK-870,25 Ltr x 1,Paecilomyces Lilacinus 25 Ltr x 1,27.5,25,1,,,,,,,,,,,,,,,,,,
Fungicide,Bio Fungicide,K-478,K-478,BK-491,1 ltr x 1,Bacillus supp 2% AS 1 ltr x 1,1.1,1,1,,,,,,,,,,,,,,,,,,
Fungicide,Bio Fungicide,K-479,K-478,BK-491,1 ltr x 3,Bacillus supp 2% AS 1 ltr x 3,3.3,3,3,,,,,,,,,,,,,,,,,,
Fungicide,Bio Fungicide,K-480,K-478,BK-491,1 ltr x 5,Bacillus supp 2% AS 1 ltr x 5,5.5,5,5,,,,,,,,,,,,,,,,,,
Fungicide,Bio Fungicide,K-7377,K-7377,BK-491,5 ltr x 1,Bacillus supp 2% AS 5 ltr x 1,5.5,5,1,,,,,,,,,,,,,,,,,,
Fungicide,Bio Fungicide,K-481,K-478,BK-491,1 ltr x 10,Bacillus supp 2% AS 1 ltr x 10,11,10,10,,,,,,,,,,,,,,,,,,
Fungicide,Bio Fungicide,K-6791,K-6791,BK-491,25 Ltr x 1,Bacillus supp 2% AS 25 Ltr x 1,27.5,25,1,,,,,,,,,,,,,,,,,,
Fungicide,Bio Fungicide,K-6911,K-6911,BK-554,100 gm x 1,BACILLUS SUPP 2% AS Powder 100 gm x 1,0.11,0.1,1,,,,,,,,,,,,,,,,,,
Fungicide,Bio Fungicide,K-5119,K-5119,BK-554,1 kg x 1,BACILLUS SUPP 2% AS Powder 1 kg x 1,1.1,1,1,,,,,,,,,,,,,,,,,,
Fungicide,Bio Fungicide,K-5121,K-5119,BK-554,1 kg x 3,BACILLUS SUPP 2% AS Powder 1 kg x 3,3.3,3,3,,,,,,,,,,,,,,,,,,
Fungicide,Bio Fungicide,K-5122,K-5119,BK-554,1 kg x 5,BACILLUS SUPP 2% AS Powder 1 kg x 5,5.5,5,5,,,,,,,,,,,,,,,,,,
Fungicide,Bio Fungicide,K-5123,K-5119,BK-554,1 kg x 10,BACILLUS SUPP 2% AS Powder 1 kg x 10,11,10,10,,,,,,,,,,,,,,,,,,
Fungicide,Bio Fungicide,K-7071,K-7071,BK-548,20 gm x 1,Pseudomonas fluorescence 20 gm x 1,0.022,0.02,1,,,,,,,,,,,,,,,,,,
Fungicide,Bio Fungicide,K-7072,K-7072,BK-548,50 gm x 1,Pseudomonas fluorescence 50 gm x 1,0.055,0.05,1,,,,,,,,,,,,,,,,,,
Fungicide,Bio Fungicide,K-6910,K-6910,BK-548,100 gm x 1,Katyayani Pseudomonas Fluorescens 100 gm x 1,0.11,0.1,1,,,,,,,,,,,,,,,,,,
Fungicide,Bio Fungicide,K-5120,K-5120,BK-548,1 kg x 1,Katyayani Pseudomonas Fluorescens 1 kg x 1,1.1,1,1,,,,,,,,,,,,,,,,,,
Fungicide,Bio Fungicide,K-5124,K-5120,BK-548,1 kg x 3,Katyayani Pseudomonas Fluorescens 1 kg x 3,3.3,3,3,,,,,,,,,,,,,,,,,,
Fungicide,Bio Fungicide,K-5125,K-5120,BK-548,1 kg x 5,Katyayani Pseudomonas Fluorescens 1 kg x 5,5.5,5,5,,,,,,,,,,,,,,,,,,
Fungicide,Bio Fungicide,K-5126,K-5120,BK-548,1 kg x 10,Katyayani Pseudomonas Fluorescens 1 kg x 10,11,10,10,,,,,,,,,,,,,,,,,,
Fungicide,Bio Fungicide,K-7236,K-7236,BK-548,25 kg x 1,Katyayani Pseudomonas Fluorescens 25 kg x 1,27.5,25,1,,,,,,,,,,,,,,,,,,
Fungicide,Bio Fungicide,K-5142,K-5142,BK-486,1 kg x 1,Trichoderma Viride Bio Fungicide Powder  1 kg x 1,1.1,1,1,,,,,,,,,,,,,,,,,,
