category,mongodb_category,sub_category,mongodb_sub_category,sku,parentSku,bulk,mongodb_bulk,variant_name,mongodb_variant_name,displayName,mongodb_displayName,grossWeight,mongodb_grossWeight,netWeight,mongodb_netWeight,itemQty,mongodb_itemQty
Pesticide,,Bio Insecticides,,K-7565,K-7565,BK-901,,25 kg x 1,,Temos - G ( Temephos 1% SG ) 25 kg x 1,,27.5,,25,,1,
Fungicide,,Bio Fungicide,,K-7461,K-7461,BK-486,,3 kg x 1,,Trichoderma Viride Bio Fungicide Powder 3 kg x 1,,3.3,,3,,1,
Fungicide,,Bio Fungicide,,K-7460,K-7460,BK-486,,500 gm x 1,,Trichoderma Viride Bio Fungicide Powder 500 gm x 1,,0.55,,0.5,,1,
Seeds,,Seeds,,G-859,G-859,BK-239,,3000 mg x1,,Ash Gourd Seeds_Vegitable Seed 3000 mg x1,,0.0033,,0.003,,1,
Seeds,,Seeds,,G-858,G-858,BK-239,,1200 mg x1,,Ash Gourd Seeds_Vegitable Seed 1200 mg x1,,0.00132,,0.0012,,1,
Seeds,,Seeds,,G-871,G-871,BK-220,,5000 mg x1,,Bottlegourd Seeds (Long)_Vegitable Seed 5000 mg x1,,0.0055,,0.005,,1,
Fungicide,true,Chemical Fungicide,true,K-7349,K-7349,BK-143,true,100 ml x 1,false,Professor (Ametocitradin 27 + Dimethomorph 20.27 SC) 100 ml x 1,Professor (Ametocitradin 27 + Dimethomorph 20.27 SC),0.11,true,0.1,true,1,true
Pesticide,true,Bio Insecticides,true,K-7280,K-7280,BK-862,true,500 ml x 1,false,Triple Attack - VBM 500 ml x 1,Triple Attack - VBM,0.55,true,0.5,true,1,true
Pesticide,true,Bio Insecticides,true,K-7502,K-7502,BK-997,true,5 ltr x 1,false,Verticillium lecanii 5 ltr x 1,Verticillium lecanii,5.5,true,5,true,1,true
Pesticide,false,Bio Insecticides,true,K-7562,K-7562,BK-901,false,35 kg x 1,false,Temos - G ( Temephos 1% SG ) 35 kg x 1,Temos - G ( Temephos 1% SG ),38.5,true,35,false,1,false
Seeds,other Products,Other Product,,G-743,G-602,BK-770,,1.2 gm x 4,1.2 gm x 4,watermelon  dark green_Fruit seeds 1.2 gm x 4,Katyayani watermelon dark green_Fruit seeds 1.2 gm x 4,0.0048,0.0048,0.0048,0.0048,4,4
Seeds,other Products,Seeds,,G-741,G-665,BK-278,,450 mg x 3,450 mg x 3,Beetroot Seeds_Microgreen Seeds 450 mg x 3,Katyayani Beetroot Seeds_Microgreen Seeds 450 mg x 3,0.001485,0.001485,0.00135,1350,3,3
Seeds,other Products,Seeds,,G-740,G-596,BK-208,,20 gm x 10,20 gm x 10,spinach  (palak)_Microgreen seeds 20 gm x 10,Katyayani spinach (palak)_Microgreen seeds 20 gm x 10,0.2,0.2,0.2,0.2,10,10
Seeds,other Products,Seeds,,G-739,G-595,BK-255,,93 mg x 3,93 mg x 3,white cucumber  (khira)_Vegetable seeds 93 mg x 3,Katyayani white cucumber (khira)_Vegetable seeds 93 mg x 3,0.0003069,0.0003069,0.000279,279,3,3
Seeds,other Products,Seeds,,G-737,G-592,BK-252,,652 mg  x 3,652 mg  x 3,chinese cabbage _Vegetable seeds 652 mg  x 3,Katyayani chinese cabbage _Vegetable seeds 652 mg x 3,0.0021516,0.0021516,0.001956,1956,3,3
Seeds,other Products,Seeds,,G-735,G-590,BK-248,,833 mg x 2,833 mg x 2,lettuce lollo rosso _Vegetable seeds 833 mg x 2,Katyayani lettuce lollo rosso _Vegetable seeds 833 mg x 2,0.0018326,0.0018326,0.001666,1666,2,2
Seeds,,Seeds,,G-865,G-865,BK-231,,138000 mg x1,,Cauliflower Seeds_Vegitable Seed 138000 mg x1,,0.1518,,0.138,,1,
Seeds,other Products,Other Product,,G-728,G-548,BK-768,,1 gm x 3,1 gm x 3,balsom mix - camella_flowering seeds 1 gm x 3,Katyayani balsom mix - camella_flowering seeds 1 gm x 3,0.003,0.003,0.003,0.003,3,3
Seeds,other Products,Seeds,,G-727,G-666,BK-325,,1 gm x 2,1 gm x 2,Gliricidia Sepium Seeds  Vegetable seeds 1 gm x 2,Katyayani Gliricidia Sepium Seeds Vegetable seeds 1 gm x 2,0.002,0.002,0.002,0.002,2,2
Seeds,other Products,Seeds,,G-726,G-663,BK-257,,175 mg x 3,175 mg x 3,Green Amaranthus Seeds (Green Math) Vegetable seeds 175 mg x 3,Katyayani Green Amaranthus Seeds (Green Math) Vegetable seeds 175 mg x 3,0.0005775,0.0005775,0.000525,525,3,3
Seeds,other Products,Seeds,,G-724,G-661,BK-251,,750 mg x 3,750 mg x 3,Red Onion Seeds Vegetable seeds 750 mg x 3,Katyayani Red Onion Seeds Vegetable seeds 750 mg x 3,0.002475,0.002475,0.00225,2250,3,3
Seeds,other Products,Seeds,,G-723,G-659,BK-243,,2 gm x 3,2 gm x 3,Red Round Radish Seeds Vegetable seeds 2 gm x 3,Katyayani Red Round Radish Seeds Vegetable seeds 2 gm x 3,0.006,0.006,0.006,0.006,3,3
Seeds,other Products,Seeds,,G-719,G-649,BK-773,BK-773,250 mg x 2,250 mg x 2,Cosmos sulphureus Seeds flowering seeds 250 mg x 2,Katyayani Cosmos sulphureus Seeds flowering seeds 250 mg x 2,0.00055,0.00055,0.0005,500,2,2
Seeds,,Seeds,,G-872,G-872,BK-220,,10000 mg x1,,Bottlegourd Seeds (Long)_Vegitable Seed 10000 mg x1,,0.011,,0.01,,1,
Seeds,other Products,Seeds,Seeds,G-675,G-669,BK-289,BK-289,700 mg x 3,700 mg x 3,Tulsi Seeds (Holy Basil)_Herb seeds  700 mg x 3,Katyayani Tulsi Seeds (Holy Basil)_Herb seeds 700 mg x 3,0.00231,0.00077,0.0021,700,3,3
Seeds,other Products,Seeds,Seeds,G-674,G-665,BK-278,BK-217,450 mg x 3,450 mg x 3,Beetroot Seeds_Microgreen Seeds  450 mg x 3,Katyayani Beetroot Seeds_Microgreen Seeds 450 mg x 3,0.001485,0.000495,0.00135,450,3,3
Seeds,other Products,Seeds,Seeds,G-672,G-656,BK-220,BK-220,1.5 gm x 2,1.5 gm x 2,Bottlegourd Seeds (Long)_Vegitable Seed  1.5 gm x 2,Katyayani Bottlegourd Seeds (Long)_Vegitable Seed 1.5 gm x 2,0.0015,0.0015,0.0015,0.0015,2,2
Seeds,other Products,Seeds,Seeds,G-647,G-604,BK-221,,11gm x 10,11gm x 10,lettuce black rose _Vegetable seeds 11gm x 10,Katyayani lettuce black rose _Vegetable seeds 11gm x 10,0.11,0.11,0.11,0.11,10,10
Seeds,other Products,Seeds,Seeds,G-646,G-603,BK-306,,270mg x 3,270mg x 3,cantaloupe  (muskmelon)_Fruit seeds 270mg x 3,Katyayani cantaloupe (muskmelon)_Fruit seeds 270mg x 3,0.000891,0.000891,0.00081,810,3,3
Seeds,other Products,Seeds,Seeds,G-644,G-600,BK-292,,571mg x 3,571mg x 3,parsley curled _Herb seeds 571mg x 3,Katyayani parsley curled _Herb seeds 571mg x 3,0.0018843,0.0018843,0.001713,1713,3,3
Seeds,other Products,Seeds,Seeds,G-643,G-599,BK-291,,500mg x 3,500mg x 3,arugula  (rocket leaves)_Herb seeds 500mg x 3,Katyayani arugula (rocket leaves)_Herb seeds 500mg x 3,0.00165,0.00165,0.0015,1500,3,3
Seeds,other Products,Seeds,Seeds,G-640,G-586,BK-234,,8.4gm x 5,8.4gm x 5,desi carrot  (long)_Vegetable seeds 8.4gm x 5,Katyayani desi carrot (long)_Vegetable seeds 8.4gm x 5,0.042,0.042,0.042,0.042,5,5
Seeds,other Products,Seeds,Seeds,G-639,G-585,BK-233,,1gm x 10,1gm x 10,drumstick  (moringa)_Vegetable seeds 1gm x 10,Katyayani drumstick (moringa)_Vegetable seeds 1gm x 10,0.01,0.01,0.01,0.01,10,10
Seeds,other Products,Seeds,Seeds,G-638,G-149,BK-232,,10gm x 3,10gm x 3,carrot nantes  (improved)_Vegetable seeds 10gm x 3,Katyayani carrot nantes (improved)_Vegetable seeds 10gm x 3,0.03,0.03,0.03,0.03,3,3
Seeds,other Products,Seeds,Seeds,G-636,G-142,BK-228,,20gm x 10,20gm x 10,bittergourd  (green long)_Vegetable seeds 20gm x 10,Katyayani bittergourd (green long)_Vegetable seeds 20gm x 10,0.2,0.2,0.2,0.2,10,10
Seeds,other Products,Seeds,Seeds,G-633,G-597,BK-279,,250gm x 2,250gm x 2,fenugreek  (methi)_Vegetable seeds 250gm x 2,Katyayani fenugreek (methi)_Vegetable seeds 250gm x 2,0.5,0.5,0.5,0.5,2,2
Seeds,other Products,Seeds,Seeds,G-630,G-570,BK-208,,8.4gm x 3,8.4gm x 3,spinach _Vegetable seeds 8.4gm x 3,Katyayani spinach _Vegetable seeds 8.4gm x 3,0.0252,0.0252,0.0252,0.0252,3,3
Fertilizer,other Products,Plant Growth Regulators,Other Product,G-754,G-754,BK-668,BK-668,500gm x 1,500gm  x1,Ascorbic Acid 500gm x 1,Ascorbic Acid500gm x1,0.5,0.5,0.5,0.5,1,1
other Products,,Other Product,,G-847,G-847,BK-356,,500 gm x1,,Ammonium Bicarbonate powder 500 gm x1,,0.5,,0.5,,1,
Seeds,,Seeds,,G-888,G-888,BK-167,,166 mg x1,,Balsam Mix Seeds_Flowering Seed 166 mg x1,,0.0001826,,0.000166,,1,
Fungicide,1,Chemical Fungicide,Fungicide,K-7001,K-7001,BK-467,Chemical Fungicide,50 Kg  x 1,50 Kg  x 1,ELPI (Cymoxanil 8 % + Mancozeb 64 % WP) 50 Kg  x 1,ELPI (Cymoxanil 8 % + Mancozeb 64 % WP),55,K-7001,50,55,1,50
Pesticide,Fertilizer,Bio Pest Control,Bio Fertilizer,K-7370,K-7370,BK-510,BK-510,1 kg x 1,1 kg x 1,BT Bio Insecticide | Bacillus thuringiensis israelensis (Bti) kg 1 kg x 1,BT Bio Insecticide | Bacillus thuringiensis israelensis (Bti) 1 kg x 1,1.1,1.1,1,1,1,1
Fungicide,Fertilizer,Bio Fungicide,Bio Fertilizer,K-7377,K-7377,BK-491,BK-491,5 ltr x 1,5 ltr x 1,Bacillus supp 2% AS 5 ltr x 1,Bacillus supp 2% AS 5 ltr x 1,5.5,5.5,5,5,1,1
Seeds,,Seeds,,G-883,G-883,BK-208,,650 mg x1,,Spinach Seeds_Vegitable Seed 650 mg x1,,0.000715,,0.00065,,1,
Seeds,other Products,Seeds,,G-742,G-669,BK-289,,700 mg x 4,700 mg x 4,Tulsi Seeds (Holy Basil)_Herb seeds 700 mg x 4,Katyayani Tulsi Seeds (Holy Basil)_Herb seeds 700 mg x 4,0.00308,0.00308,0.0028,2800,4,4
Seeds,other Products,Seeds,,G-725,G-662,BK-256,,450 mg x 3,450 mg x 3,Amaranth Seeds (Chawli Bhaji) Vegetable seeds 450 mg x 3,Katyayani Amaranth Seeds (Chawli Bhaji) Vegetable seeds 450 mg x 3,0.001485,0.001485,0.00135,1350,3,3
Seeds,,Seeds,,G-876,G-876,BK-217,,140 mg x1,,Beetroot Seeds_Vegitable Seed 140 mg x1,,0.000154,,0.00014,,1,
Seeds,other Products,Seeds,Seeds,G-641,G-587,BK-235,,114mg x 3,114mg x 3,cherry tomatoes  (yellow)_Vegetable seeds 114mg x 3,Katyayani cherry tomatoes (yellow)_Vegetable seeds 114mg x 3,0.0003762,0.0003762,0.000342,342,3,3
Seeds,other Products,Seeds,Seeds,G-634,G-579,BK-221,,60mg x 5,60mg x 5,lettuce romaine  (long)_Vegetable seeds 60mg x 5,Katyayani lettuce romaine (long)_Vegetable seeds 60mg x 5,0.00033,0.00033,0.0003,300,5,5
Seeds,other Products,Seeds,,G-721,G-654,BK-774,,400 mg x 2,400 mg x 2,Gazania NEW DAY WHITE Seeds flowering seeds 400 mg x 2,Katyayani Gazania NEW DAY WHITE Seeds flowering seeds 400 mg x 2,0.00088,0.00088,0.0008,800,2,2
Seeds,,Seeds,,G-885,G-885,BK-189,,100 mg x1,,Statice Mix Seeds_Flowering Seed 100 mg x1,,0.00011,,0.0001,,1,
Pesticide,,Bio Insecticides,,K-5561,K-5560,BK-623,,1KG x 3,,NEMOTODE PLUS (BIO PESTICIDES Verticillium Chlamydosporium 1% WP) 1KG x 3,,3.3,,3,,3,
Seeds,other Products,Seeds,,G-731,G-572,BK-210,,1.625 gm x 5,1.625 gm x 5,coriander _Vegetable seeds 1.625 gm x 5,Katyayani coriander _Vegetable seeds 1.625 gm x 5,0.008125,0.008125,0.008125,0.008125,5,5
Seeds,other Products,Seeds,,G-736,G-591,BK-250,,769 mg x 2,769 mg x 2,black brinjal  (long)_Vegetable seeds 769 mg x 2,Katyayani black brinjal (long)_Vegetable seeds 769 mg x 2,0.0016918,0.0016918,0.001538,1538,2,2
Seeds,other Products,Seeds,Seeds,G-645,G-601,BK-304,,1.61gm x 3,1.61gm x 3,papaya _Fruit seeds 1.61gm x 3,Katyayani papaya _Fruit seeds 1.61gm x 3,0.00483,0.00483,0.00483,0.00483,3,3
other Products,,Other Product,,G-839,G-839,BK-601,,1 kg x1,,Mulethi powder (Black) 1 kg x1,,1.1,,1,,1,
Seeds,other Products,Other Product,,G-730,G-569,BK-769,,278 mg x 3,278 mg x 3,tomato  pkm-1_Vegetable seeds 278 mg x 3,Katyayani tomato pkm-1_Vegetable seeds 278 mg x 3,0.0009174,0.0009174,0.000834,834,3,3
other Products,,Other Product,,G-843,G-843,BK-461,,250 gm x1,,Maca Powder 250 gm x1,,0.25,,0.25,,1,
Seeds,,Seeds,,G-873,G-873,BK-219,,1600 mg x1,,French Bean Seeds_Vegitable Seed 1600 mg x1,,0.00176,,0.0016,,1,
Seeds,other Products,Seeds,,G-738,G-593,BK-253,,1 gm x 3,1 gm x 3,red pumpkin _Vegetable seeds 1 gm x 3,Katyayani red pumpkin _Vegetable seeds 1 gm x 3,0.003,0.003,0.003,0.003,3,3
other Products,,Other Product,,G-835,G-835,BK-417,,113 gm x1,,Sodium lauryl sulfate 113 gm x1,,0.113,,0.113,,1,
Seeds,,Seeds,,G-875,G-875,BK-219,,8000 mg x1,,French Bean Seeds_Vegitable Seed 8000 mg x1,,0.0088,,0.008,,1,
Seeds,other Products,Seeds,,G-720,G-652,BK-168,,210 mg x 2,210 mg x 2,Salvia SPLENDENS Red Seeds flowering seeds 210 mg x 2,Katyayani Salvia SPLENDENS Red Seeds flowering seeds 210 mg x 2,0.000462,0.000462,0.00042,420,2,2
Seeds,,Seeds,,G-863,G-863,BK-233,,20000 mg x1,,Drumstick Seeds (Moringa)_Vegitable Seed 20000 mg x1,,0.022,,0.02,,1,
Fungicide,,Bio Fungicide,,K-7463,K-7463,BK-546,,500 ml x 1,,Trichoderma harzianum 500 ml x 1,,0.55,,0.5,,1,
Seeds,,Seeds,,G-879,G-879,BK-210,,220 mg x1,,Coriander Seeds_Vegitable Seed 220 mg x1,,0.000242,,0.00022,,1,
Seeds,other Products,Seeds,,G-733,G-656,BK-220,,1.5 gm x 2,1.5 gm x 2,Bottlegourd Seeds (Long)_Vegitable Seed 1.5 gm x 2,Katyayani Bottlegourd Seeds (Long)_Vegitable Seed 1.5 gm x 2,0.003,0.003,0.003,0.003,2,2
Seeds,other Products,Seeds,Seeds,G-673,G-657,BK-226,BK-226,60 mg x 2,60 mg x 2,Red Amaranthus Seeds (Red Math) Vegetable seeds  60 mg x 2,Katyayani Red Amaranthus Seeds (Red Math) Vegetable seeds 60 mg x 2,0.000132,0.000066,0.00012,60,2,2
Seeds,other Products,Seeds,Seeds,G-631,G-575,BK-216,,1gm x 3,1gm x 3,lettuce iceberg  (round)_Vegetable seeds 1gm x 3,Katyayani lettuce iceberg (round)_Vegetable seeds 1gm x 3,0.003,0.003,0.003,0.003,3,3
Pesticide,,Chemical Insecticides,,G-831,G-831,BK-682,,500 ml x1,,ALPHA CHLO (Alphacypermethrin 1% + Chlorpyriphos 16% EC) 500 ml x1,,0.5,,0.5,,1,
Fertilizer,1,Bio Fertilizer,Fertilizer,K-7437,K-7437,BK-480,Bio Fertilizer,5 Ltr x 1,(5 Ltr x 1),Calcium Solubilizing bacteria 5 Ltr x 1,Calcium Solubilizing bacteria,5.5,5 Ltr x 1,5,5.5,1,5
Seeds,,Seeds,,G-851,G-851,BK-327,,17800 mg x1,,Pithecellobium Saman Seeds - 100 g_Tree and Grass seeds 17800 mg x1,,0.01958,,0.0178,,1,
Seeds,,Seeds,,G-867,G-867,BK-228,,2600 mg x1,,Bittergourd Seeds (Green Long)_Vegitable Seed 2600 mg x1,,0.00286,,0.0026,,1,
Seeds,other Products,Seeds,,G-722,G-655,BK-205,,30 mg x 3,30 mg x 3,Amaranthus Mix Seeds_Flowering Seed 30 mg x 3,Katyayani Amaranthus Mix Seeds_Flowering Seed 30 mg x 3,0.000099,0.000099,0.00009,90,3,3
Fungicide,1,Bio Fungicide,Fungicide,K-7236,K-7236,BK-548,Bio Fungicide,25 kg x 1,25 kg x 1,Katyayani Pseudomonas Fluorescens 25 kg x 1,Katyayani Pseudomonas Fluorescens,27.5,25 kg x 1,25,27.5,1,25
Seeds,,Seeds,,G-868,G-868,BK-228,,6500 mg x1,,Bittergourd Seeds (Green Long)_Vegitable Seed 6500 mg x1,,0.00715,,0.0065,,1,
Seeds,,Seeds,,G-895,G-895,BK-164,,350 mg x1,,Zinnia Lilliput Mix Seeds_Flowering Seed 350 mg x1,,0.000385,,0.00035,,1,
Seeds,other Products,Seeds,,G-729,G-556,BK-185,,346 mg x 3,346 mg x 3,star phlox mix _flowering seeds 346 mg x 3,Katyayani star phlox mix _flowering seeds 346 mg x 3,0.0011418,0.0011418,0.001038,1038,3,3
other Products,other Products,Seeds,,G-732,G-573,BK-659,,30gm x 3,30gm x 3,"bhindi, okra  (lady finger)_Vegetable seeds 30gm x 3","Katyayani bhindi, okra (lady finger)_Vegetable seeds 30gm x 3",0.09,0.09,0.09,0.09,3,3
other Products,other Products,Other Product,,G-717,G-424,BK-431,,473 ml x 3,473 ml x 3,Acetone 473 ml x 3,Katyayani Acetone 473 ml x 3,1.419,1.419,1.419,1.419,3,3
other Products,other Products,Food Grade,,G-715,G-360,BK-368,,284 gm ( 10 oz) x 2,284 gm ( 10 oz) x 2,Thick - It 284 gm ( 10 oz) x 2,Katyayani Thick - It 284 gm ( 10 oz) x 2,0.568,0.568,0.568,0.568,2,2
other Products,other Products,Cosmetic Grade,,G-710,G-417,BK-425,,397 gm (14oz) x 2,397 gm (14oz) x 2,Turmeric Powder 397 gm (14oz) x 2,Katyayani Turmeric Powder 397 gm (14oz) x 2,0.794,0.794,0.794,0.794,2,2
