displayName,sku,parentSku,itemQty,grossWeight,is_parent,parentDisplayName,parentGrossWeight,correctGrossWeight,isCorrectGrossWeight
Katyayani Propcyp - Profenofos 40 % + Cypermethrin 4 % ec 1 Ltr x 10,K-170,K-167,10,11,false,Katyayani Propcyp - Profenofos 40 % + Cypermethrin 4 % ec 1 Ltr x 1,1.1,11,true
Katyayani EMA5 - Emamectin benzoate 5 % SG 250gm x 80,K-324,K-318,80,22,false,Katyayani EMA5 - Emamectin benzoate 5 % SG 250gm x 1,0.275,22,true
Katyayani Attack CS 250ml x 3,K-396,K-395,3,0.825,false,Katyayani Attack CS 250ml x 1,0.275,0.825,true
Katyayani Ashwamedh Diafenthiuron 50% WP 250gm x 2,K-5282,K-361,2,0.55,false,Katyayani Ashwamedh Diafenthiuron 50% WP 250gm x 1,0.275,0.55,true
Katyayani Finish it 100ml x 16,K-412,K-409,16,1.76,false,Katyayani Finish it 100ml x 1,0.11,1.76,true
Katyayani Temephos 50 EC 1 Ltr x 10,K-287,K-284,10,11,false,Katyayani Temephos 50 EC 1 Ltr x 1,1.1,11,true
Katyayani EMA5 - Emamectin benzoate 5 % SG 500gm x 10,K-5717,K-5428,10,5.5,false,Katyayani EMA5 - Emamectin benzoate 5 % SG 500gm x 1,0.55,5.5,true
Katyayani BT Bio Larvicide liquid 1 Ltr x 10,K-423,K-420,10,11,false,Katyayani BT Bio Larvicide liquid 1 Ltr x 1,1.1,11,true
Katyayani KPOP- Propoxur 20% EC 1 ltr x 10,K-426,K-959,10,11,true,Katyayani KPOP- Propoxur 20% EC 1 ltr x 1,1.1,11,true
Katyayani BPH Super (Pymetrozine 50 % wg) 150gm x 4,K-5777,K-5753,4,0.66,false,Katyayani BPH Super (Pymetrozine 50 % wg) 150 gm x 1,0.165,0.66,true
Katyayani chlorpyriphos 50%+ cypermethrin 5% ec Docter 505 1 Ltr x 50,K-265,K-261,50,55,false,Katyayani chlorpyriphos 50%+ cypermethrin 5% ec Docter 505 1 Ltr x 1,1.1,55,true
Katyayani BPH Super (Pymetrozine 50 % wg) 150gm x 20,K-5779,K-5753,20,3.3,false,Katyayani BPH Super (Pymetrozine 50 % wg) 150 gm x 1,0.165,3.3,true
Katyayani chloropyriphos 20%cs 1 Ltr x 5,K-275,K-273,5,5.5,false,Katyayani chloropyriphos 20%cs 1 Ltr x 1,1.1,5.5,true
Katyayani chlorpyriphos 50%+ cypermethrin 5% ec Docter 505 1 Ltr x 10,K-264,K-261,10,11,false,Katyayani chlorpyriphos 50%+ cypermethrin 5% ec Docter 505 1 Ltr x 1,1.1,11,true
Katyayani K-Acepro 250gm x 4,K-191,K-188,4,1.1,false,Katyayani K-Acepro 250gm x 1,0.275,1.1,true
Katyayani EMA5 - Emamectin benzoate 5 % SG 250gm x 4,K-320,K-318,4,1.1,false,Katyayani EMA5 - Emamectin benzoate 5 % SG 250gm x 1,0.275,1.1,true
Katyayani IMD 178 - Imidacloprid 17.8 % SL 1 Ltr x 10,K-342,K-338,10,11,false,Katyayani IMD 178 - Imidacloprid 17.8 % SL 1 Ltr x 1,1.1,11,true
Katyayani Propcyp - Profenofos 40 % + Cypermethrin 4 % ec 1 Ltr x 50,K-172,K-167,50,55,false,Katyayani Propcyp - Profenofos 40 % + Cypermethrin 4 % ec 1 Ltr x 1,1.1,55,true
Katyayani emathio (Emamectin benzoate 3 % thiamethoxam 12 % wg) 1kg x 3,K-5720,K-5719,3,3.3,false,Katyayani emathio (Emamectin benzoate 3 % thiamethoxam 12 % wg) 1kg x 1,1.1,3.3,true
Katyayani neem oil 900ml x 10,K-208,K-205,10,9.9,false,Katyayani neem oil 900ml x 1,0.99,9.9,true
Katyayani FANTASY Fipronil 5 % SC Insecticide 250ml x 12,K-347,K-344,12,3.3,false,Katyayani FANTASY Fipronil 5 % SC Insecticide 250ml x 1,0.275,3.3,true
Katyayani BPH Super (Pymetrozine 50 % wg) 250gm x 12,K-379,K-376,12,3.3,false,Katyayani BPH Super (Pymetrozine 50 % wg) 250gm x 1,0.275,3.3,true
Katyayani BPH Super (Pymetrozine 50 % wg) 250gm x 40,K-5100,K-376,40,11,false,Katyayani BPH Super (Pymetrozine 50 % wg) 250gm x 1,0.275,11,true
Katyayani imida 30.5 - Imidacloprid 30.5 % SC 100ml x 3,K-182,K-181,3,0.33,false,Katyayani imida 30.5 - Imidacloprid 30.5 % SC 100ml x 1,0.11,0.33,true
Katyayani Thioxam -Thiamethoxam 25 % wg 250gm x 3,K-368,K-367,3,0.825,false,Katyayani Thioxam -Thiamethoxam 25 % wg 250gm x 1,0.275,0.825,true
Katyayani chakrawarti (Thiamethoxam 12.6 % lambda cyhalothrin 9.5 % zc) 1 Ltr x 50,K-1098,K-6502,50,55,false,Katyayani chakrawarti (Thiamethoxam 12.6 % lambda cyhalothrin 9.5 % zc) 1 ltr x 1,1.1,55,true
Katyayani imida 30.5 - Imidacloprid 30.5 % SC 1 Ltr x 10,K-187,K-184,10,11,false,Katyayani imida 30.5 - Imidacloprid 30.5 % SC 1 Ltr x 1,1.1,11,true
Katyayani Propcyp - Profenofos 40 % + Cypermethrin 4 % ec 1 Ltr x 4,K-169,K-167,4,4.4,false,Katyayani Propcyp - Profenofos 40 % + Cypermethrin 4 % ec 1 Ltr x 1,1.1,4.4,true
Katyayani neem oil 900ml x 2,K-206,K-205,2,1.98,false,Katyayani neem oil 900ml x 1,0.99,1.98,true
Katyayani Sporothrix Fungorum 1 Ltr x 3,K-241,K-240,3,3.3,false,Katyayani Sporothrix Fungorum 1 Ltr x 1,1.1,3.3,true
Katyayani Imd-70 - Imidacloprid 70 % WG 30 gm x 5,K-1124,K-176,5,0.165,false,Katyayani Imd-70 - Imidacloprid 70 % WG 30gm x 1,0.033,0.165,true
Katyayani chlorpyriphos 50%+ cypermethrin 5% ec Docter 505 1 ltr x 4,K-6325,K-261,4,4.4,false,Katyayani chlorpyriphos 50%+ cypermethrin 5% ec Docter 505 1 Ltr x 1,1.1,4.4,true
Katyayani DIMETHOATE 30% EC 1 Ltr x 10,K-293,K-290,10,11,false,Katyayani DIMETHOATE 30% EC 1 Ltr x 1,1.1,11,true
Katyayani neem oil 100ml x 3,K-1121,K-203,3,0.33,false,Katyayani neem oil 100ml x 1,0.11,0.33,true
Katyayani Triple Attack - VBM 1 Ltr x 3,K-257,K-256,3,3.3,false,Katyayani Triple Attack - VBM 1 Ltr x 1,1.1,3.3,true
Katyayani imida 30.5 - Imidacloprid 30.5 % SC 100ml x 5,K-183,K-181,5,0.55,false,Katyayani imida 30.5 - Imidacloprid 30.5 % SC 100ml x 1,0.11,0.55,true
Katyayani EMA5 - Emamectin benzoate 5 % SG 250gm x 20,K-322,K-318,20,5.5,false,Katyayani EMA5 - Emamectin benzoate 5 % SG 250gm x 1,0.275,5.5,true
Katyayani emathio (Emamectin benzoate 3 % thiamethoxam 12 % wg) 250gm x 3,K-383,K-382,3,0.825,false,Katyayani emathio (Emamectin benzoate 3 % thiamethoxam 12 % wg) 250gm x 1,0.275,0.825,true
Katyayani MALATHION 50% EC 1 Ltr x 5,K-301,K-299,5,5.5,false,Katyayani MALATHION 50% EC 1 Ltr x 1,1.1,5.5,true
Katyayani Verticillium lecanii 1 Ltr x 5,K-250,K-248,5,5.5,false,Katyayani Verticillium lecanii 1 Ltr x 1,1.1,5.5,true
Katyayani Lenux - Lambdacylhalothrin 10% WP 62.5 gm x 80,K-430,K-1178,80,5.5,false,Katyayani Lenux - Lambdacylhalothrin 10% WP 62.5gm x 1,0.06875,5.5,true
Katyayani Finish it 100ml x 8,K-411,K-409,8,0.88,false,Katyayani Finish it 100ml x 1,0.11,0.88,true
Katyayani EMA5 - Emamectin benzoate 5 % SG 1kg x 2,K-6602,K-5714,2,2.2,false,Katyayani EMA5 - Emamectin benzoate 5 % SG 1kg x 1,1.1,2.2,true
Katyayani Thiamethoxam 30% FS - Docter 1 Ltr x 10,K-308,K-306,10,11,false,Katyayani Thiamethoxam 30% FS - Docter 1 Ltr x 1,1.1,11,true
Katyayani EMA5 - Emamectin benzoate 5 % SG 500gm x 2,K-6603,K-5428,2,1.1,false,Katyayani EMA5 - Emamectin benzoate 5 % SG 500gm x 1,0.55,1.1,true
Katyayani IMD 178 - Imidacloprid 17.8 % SL 250ml x 7,K-339,K-336,7,1.925,false,Katyayani IMD 178 - Imidacloprid 17.8 % SL 250ml x 1,0.275,1.925,true
Katyayani neem oil 100ml x 10,K-1174,K-203,10,1.1,false,Katyayani neem oil 100ml x 1,0.11,1.1,true
Katyayani Thioxam -Thiamethoxam 25 % wg 1 Kg x 20,K-373,K-369,20,22,false,Katyayani Thioxam -Thiamethoxam 25 % wg 1 Kg x 1,1.1,22,true
Katyayani Thioxam -Thiamethoxam 25 % wg 1  Kg x 5,K-371,K-369,5,5.5,false,Katyayani Thioxam -Thiamethoxam 25 % wg 1 Kg x 1,1.1,5.5,true
Katyayani Propcyp - Profenofos 40 % + Cypermethrin 4 % ec 1 Ltr x 100,K-10513,K-167,100,110,false,Katyayani Propcyp - Profenofos 40 % + Cypermethrin 4 % ec 1 Ltr x 1,1.1,110,true
Katyayani 3in1 100ml x 5,K-220,K-217,5,0.55,false,Katyayani 3in1 100ml x 1,0.11,0.55,true
Katyayani MALATHION 50% EC 1 Ltr x 50,K-303,K-299,50,55,false,Katyayani MALATHION 50% EC 1 Ltr x 1,1.1,55,true
Katyayani 2in1 fogger 1 ltr x 5,K-351,K-350,5,5.5,false,Katyayani 2in1 fogger 1 ltr x 1,1.1,5.5,true
Katyayani chloropyriphos 20%cs 1 Ltr x 20,K-1271,K-273,20,22,false,Katyayani chloropyriphos 20%cs 1 Ltr x 1,1.1,22,true
Katyayani IMD 178 - Imidacloprid 17.8 % SL 1 Ltr x 2,K-10515,K-338,2,2.2,false,Katyayani IMD 178 - Imidacloprid 17.8 % SL 1 Ltr x 1,1.1,2.2,true
Katyayani SPINO25 - Spinosad 2.5 % SC 500ml x 1,K-5800,K-1245,1,0.55,false,Katyayani SPINO25 - Spinosad 2.5 % SC 100 ml x 1,0.11,0.11,false
Katyayani emamectin benzote 1.9% EC - Ema 19 1 Ltr x 2,K-280,K-279,2,2.2,false,Katyayani emamectin benzote 1.9% EC - Ema 19 1 Ltr x 1,1.1,2.2,true
Katyayani EMA5 - Emamectin benzoate 5 % SG 1 Kg x 10,K-6283,K-5714,10,11,false,Katyayani EMA5 - Emamectin benzoate 5 % SG 1kg x 1,1.1,11,true
Katyayani K-Acepro 250gm x 7,K-190,K-188,7,1.925,false,Katyayani K-Acepro 250gm x 1,0.275,1.925,true
Katyayani Deltamethrin 1.25 ULV 1000ml x 5,K-215,K-214,5,5.5,false,Katyayani Deltamethrin 1.25 ULV 1 ltr x 1,1.1,5.5,true
Katyayani 3in1 100 ml x 2,K-218,K-217,2,0.22,false,Katyayani 3in1 100ml x 1,0.11,0.22,true
Katyayani MALATHION 50% EC 1 Ltr x 10,K-302,K-299,10,11,false,Katyayani MALATHION 50% EC 1 Ltr x 1,1.1,11,true
Katyayani Temephos 50 EC 1 Ltr x 5,K-286,K-284,5,5.5,false,Katyayani Temephos 50 EC 1 Ltr x 1,1.1,5.5,true
Katyayani Attack CS 250ml x 20,K-400,K-395,20,5.5,false,Katyayani Attack CS 250ml x 1,0.275,5.5,true
Katyayani chloropyriphos 20%cs 1 Ltr x 10,K-276,K-273,10,11,false,Katyayani chloropyriphos 20%cs 1 Ltr x 1,1.1,11,true
Katyayani EMA5 - Emamectin benzoate 5 % SG 250gm x 2,K-6594,K-318,2,0.55,false,Katyayani EMA5 - Emamectin benzoate 5 % SG 250gm x 1,0.275,0.55,true
Katyayani 3in1 250ml x 10,K-223,K-219,10,2.75,false,Katyayani 3in1 250ml x 1,0.275,2.75,true
Katyayani Triple Attack - VBM 1 Ltr x 10,K-259,K-256,10,11,false,Katyayani Triple Attack - VBM 1 Ltr x 1,1.1,11,true
Katyayani Metarhizium anisopliae 1 Ltr x 3,K-253,K-252,3,3.3,false,Katyayani Metarhizium anisopliae 1 Ltr x 1,1.1,3.3,true
Katyayani nashak (Fipronil 40% + Imidacloprid 40%) 40 gm x 2,K-5283,K-353,2,0.088,false,Katyayani nashak (Fipronil 40% + Imidacloprid 40%) 40 gm x 1,0.044,0.088,true
Katyayani chloropyriphos 20%cs 1 Ltr x 2,K-274,K-273,2,2.2,false,Katyayani chloropyriphos 20%cs 1 Ltr x 1,1.1,2.2,true
Katyayani chakrawarti (Thiamethoxam 12.6 % lambda cyhalothrin 9.5 % zc) 1 ltr x 2,K-6610,K-6502,2,2.2,false,Katyayani chakrawarti (Thiamethoxam 12.6 % lambda cyhalothrin 9.5 % zc) 1 ltr x 1,1.1,2.2,true
Katyayani Beauveria Bassiana 1 Ltr x 10,K-247,K-244,10,11,false,Katyayani Beauveria Bassiana 1 Ltr x 1,1.1,11,true
Katyayani Metarhizium anisopliae 1 Ltr x 10,K-255,K-252,10,11,false,Katyayani Metarhizium anisopliae 1 Ltr x 1,1.1,11,true
Katyayani nashak (Fipronil 40% + Imidacloprid 40%) 100gm x 30,K-359,K-354,30,3.3,false,Katyayani nashak (Fipronil 40% + Imidacloprid 40%) 100gm x 1,0.11,3.3,true
Katyayani IMD 178 - Imidacloprid 17.8 % SL 1 Ltr x 50,K-343,K-338,50,55,false,Katyayani IMD 178 - Imidacloprid 17.8 % SL 1 Ltr x 1,1.1,55,true
Katyayani Pyrethrum Extract 1 Ltr x 5,K-174,K-173,5,5.5,false,Katyayani Pyrethrum Extract 1Ltr x 1,1.1,5.5,true
Katyayani Imd-70 - Imidacloprid 70 % WG 30gm x 14,K-179,K-176,14,0.462,false,Katyayani Imd-70 - Imidacloprid 70 % WG 30gm x 1,0.033,0.462,true
Katyayani BT Bio Insecticide (Bacillus thuringiensis israelensis) 1 ltr x 5,K-5937,K-5935,5,5.5,false,,,,Parent Not Found
Katyayani chlorpyriphos 50%+ cypermethrin 5% ec Docter 505 1 Ltr x 5,K-263,K-261,5,5.5,false,Katyayani chlorpyriphos 50%+ cypermethrin 5% ec Docter 505 1 Ltr x 1,1.1,5.5,true
Katyayani chakrawarti (Thiamethoxam 12.6 % lambda cyhalothrin 9.5 % zc) 250ml x 20,K-393,K-388,20,5.5,false,Katyayani chakrawarti (Thiamethoxam 12.6 % lambda cyhalothrin 9.5 % zc) 250ml x 1,0.275,5.5,true
Katyayani MALATHION 50% EC 1 Ltr x 20,K-1101,K-299,20,22,false,Katyayani MALATHION 50% EC 1 Ltr x 1,1.1,22,true
Katyayani KPOP- Propoxur 20% EC 100ml x 1,K-5852,K-426,1,0.11,true,,,,Parent Not Found
Katyayani emathio (Emamectin benzoate 3 % thiamethoxam 12 % wg) 250gm x 12,K-385,K-382,12,3.3,false,Katyayani emathio (Emamectin benzoate 3 % thiamethoxam 12 % wg) 250gm x 1,0.275,3.3,true
Katyayani Thioxam -Thiamethoxam 25 % wg 1 Kg x 3,K-370,K-369,3,3.3,false,Katyayani Thioxam -Thiamethoxam 25 % wg 1 Kg x 1,1.1,3.3,true
Katyayani Finish it 100ml x 3,K-410,K-409,3,0.33,false,Katyayani Finish it 100ml x 1,0.11,0.33,true
Katyayani Ashwamedh Diafenthiuron 50% WP 250gm x 12,K-365,K-361,12,3.3,false,Katyayani Ashwamedh Diafenthiuron 50% WP 250gm x 1,0.275,3.3,true
Katyayani IMD 178 - Imidacloprid 17.8 % SL 250 ml x 20,K-6438,K-336,20,5.5,false,Katyayani IMD 178 - Imidacloprid 17.8 % SL 250ml x 1,0.275,5.5,true
Katyayani Imd-70 - Imidacloprid 70 % WG 30gm x 3,K-177,K-176,3,0.099,false,Katyayani Imd-70 - Imidacloprid 70 % WG 30gm x 1,0.033,0.099,true
Katyayani emathio (Emamectin benzoate 3 % thiamethoxam 12 % wg) 250gm x 40,K-387,K-382,40,11,false,Katyayani emathio (Emamectin benzoate 3 % thiamethoxam 12 % wg) 250gm x 1,0.275,11,true
Katyayani Finish it 100ml x 100,K-415,K-409,100,11,false,Katyayani Finish it 100ml x 1,0.11,11,true
Katyayani Thiamethoxam 30% FS - Docter 250ml x 3,K-305,K-304,3,0.825,false,Katyayani Thiamethoxam 30% FS - Docter 250ml x 1,0.275,0.825,true
Katyayani Beauveria Bassiana 1 Ltr x 5,K-246,K-244,5,5.5,false,Katyayani Beauveria Bassiana 1 Ltr x 1,1.1,5.5,true
Katyayani BPH Super (Pymetrozine 50 % wg) 150gm x 2,K-5776,K-5753,2,0.33,false,Katyayani BPH Super (Pymetrozine 50 % wg) 150 gm x 1,0.165,0.33,true
Katyayani chloropyriphos 20%cs 1 Ltr x 50,K-277,K-273,50,55,false,Katyayani chloropyriphos 20%cs 1 Ltr x 1,1.1,55,true
Katyayani nashak (Fipronil 40% + Imidacloprid 40%) 100gm x 10,K-358,K-354,10,1.1,false,Katyayani nashak (Fipronil 40% + Imidacloprid 40%) 100gm x 1,0.11,1.1,true
Katyayani Temephos 50 EC 1 Ltr x 100,K-289,K-284,100,110,false,Katyayani Temephos 50 EC 1 Ltr x 1,1.1,110,true
Katyayani 3in1 250ml x 4,K-222,K-219,4,1.1,false,Katyayani 3in1 250ml x 1,0.275,1.1,true
Katyayani Attack CS 250ml x 6,K-398,K-395,6,1.65,false,Katyayani Attack CS 250ml x 1,0.275,1.65,true
Katyayani BT Bio Insecticide (Bacillus thuringiensis israelensis) 1 ltr x 10,K-5938,K-5935,10,11,false,,,,Parent Not Found
Katyayani Verticillium lecanii 1 Ltr x 10,K-251,K-248,10,11,false,Katyayani Verticillium lecanii 1 Ltr x 1,1.1,11,true
Katyayani Apocalypse - Dinotefuran 20 % SG 100gm x 3,K-417,K-416,3,0.33,false,Katyayani Apocalypse - Dinotefuran 20 % SG 100gm x 1,0.11,0.33,true
Katyayani EMA5 - Emamectin benzoate 5 % SG 1kg x 3,K-5715,K-5714,3,3.3,false,Katyayani EMA5 - Emamectin benzoate 5 % SG 1kg x 1,1.1,3.3,true
Katyayani MALATHION 50% EC 1 Ltr x 2,K-300,K-299,2,2.2,false,Katyayani MALATHION 50% EC 1 Ltr x 1,1.1,2.2,true
Katyayani Imd-70 - Imidacloprid 70 % WG 30 gm x 2,K-1064,K-176,2,0.066,false,Katyayani Imd-70 - Imidacloprid 70 % WG 30gm x 1,0.033,0.066,true
Katyayani IMD 178 - Imidacloprid 17.8 % SL 250 ml x 4,K-6439,K-336,4,1.1,false,Katyayani IMD 178 - Imidacloprid 17.8 % SL 250ml x 1,0.275,1.1,true
Katyayani Attack CS 250ml x 2,K-5885,K-395,2,0.55,false,Katyayani Attack CS 250ml x 1,0.275,0.55,true
Katyayani Spino45 - Spinosad 45 % sc 50ml x 2,K-403,K-402,2,0.11,false,Katyayani Spino45 - Spinosad 45 % sc 50ml x 1,0.055,0.11,true
Katyayani Thioxam -Thiamethoxam 25 % wg 1 Kg x 10,K-372,K-369,10,11,false,Katyayani Thioxam -Thiamethoxam 25 % wg 1 Kg x 1,1.1,11,true
Katyayani chakrawarti (Thiamethoxam 12.6 % lambda cyhalothrin 9.5 % zc) 250ml x 40,K-394,K-388,40,11,false,Katyayani chakrawarti (Thiamethoxam 12.6 % lambda cyhalothrin 9.5 % zc) 250ml x 1,0.275,11,true
Katyayani SPINO25 - Spinosad 2.5 % SC 100ml x 100,K-991,K-1245,100,11,false,Katyayani SPINO25 - Spinosad 2.5 % SC 100 ml x 1,0.11,11,true
Katyayani nashak (Fipronil 40% + Imidacloprid 40%) 100gm x 3,K-1095,K-354,3,0.33,true,Katyayani nashak (Fipronil 40% + Imidacloprid 40%) 100gm x 1,0.11,0.33,true
Katyayani Ashwamedh Diafenthiuron 50% WP 250gm x 20,K-366,K-361,20,5.5,false,Katyayani Ashwamedh Diafenthiuron 50% WP 250gm x 1,0.275,5.5,true
Katyayani Verticillium lecanii 1 Ltr x 3,K-249,K-248,3,3.3,false,Katyayani Verticillium lecanii 1 Ltr x 1,1.1,3.3,true
Katyayani Triple Attack - VBM 1 Ltr x 5,K-258,K-256,5,5.5,false,Katyayani Triple Attack - VBM 1 Ltr x 1,1.1,5.5,true
Katyayani Propcyp - Profenofos 40 % + Cypermethrin 4 % ec 1 Ltr x 2,K-168,K-167,2,2.2,false,Katyayani Propcyp - Profenofos 40 % + Cypermethrin 4 % ec 1 Ltr x 1,1.1,2.2,true
Katyayani Thioxam -Thiamethoxam 25 % wg 250 gm x 7,K-213,K-367,7,1.925,false,Katyayani Thioxam -Thiamethoxam 25 % wg 250gm x 1,0.275,1.925,true
Katyayani FANTASY Fipronil 5 % SC Insecticide 250ml x 20,K-348,K-344,20,5.5,false,Katyayani FANTASY Fipronil 5 % SC Insecticide 250ml x 1,0.275,5.5,true
Katyayani K-Acepro 250gm x 10,K-192,K-188,10,2.75,false,Katyayani K-Acepro 250gm x 1,0.275,2.75,true
Katyayani BT Bio Larvicide liquid 1Ltr x 2,K-5286,K-420,2,2.2,false,Katyayani BT Bio Larvicide liquid 1 Ltr x 1,1.1,2.2,true
Katyayani FANTASY Fipronil 5 % SC Insecticide 250ml x 40,K-349,K-344,40,11,false,Katyayani FANTASY Fipronil 5 % SC Insecticide 250ml x 1,0.275,11,true
Katyayani Sporothrix Fungorum 1 Ltr x 5,K-242,K-240,5,5.5,false,Katyayani Sporothrix Fungorum 1 Ltr x 1,1.1,5.5,true
Katyayani emathio (Emamectin benzoate 3 % thiamethoxam 12 % wg) 250gm x 20,K-386,K-382,20,5.5,false,Katyayani emathio (Emamectin benzoate 3 % thiamethoxam 12 % wg) 250gm x 1,0.275,5.5,true
Katyayani chakrawarti (Thiamethoxam 12.6 % lambda cyhalothrin 9.5 % zc) 250ml x 2,K-389,K-388,2,0.55,false,Katyayani chakrawarti (Thiamethoxam 12.6 % lambda cyhalothrin 9.5 % zc) 250ml x 1,0.275,0.55,true
Katyayani Attack CS 250ml x 12,K-399,K-395,12,3.3,false,Katyayani Attack CS 250ml x 1,0.275,3.3,true
Katyayani nashak (Fipronil 40% + Imidacloprid 40%) 100gm x 8,K-357,K-354,8,0.88,false,Katyayani nashak (Fipronil 40% + Imidacloprid 40%) 100gm x 1,0.11,0.88,true
Katyayani DIMETHOATE 30% EC 1 Ltr x 50,K-294,K-290,50,55,false,Katyayani DIMETHOATE 30% EC 1 Ltr x 1,1.1,55,true
Katyayani chakrawarti (Thiamethoxam 12.6 % lambda cyhalothrin 9.5 % zc) 250ml x  6,K-391,K-388,6,1.65,false,Katyayani chakrawarti (Thiamethoxam 12.6 % lambda cyhalothrin 9.5 % zc) 250ml x 1,0.275,1.65,true
Katyayani Finish it 100ml x 50,K-414,K-409,50,5.5,false,Katyayani Finish it 100ml x 1,0.11,5.5,true
Katyayani Triple Attack - VBM 1 ltr x 2,K-6567,K-256,2,2.2,false,Katyayani Triple Attack - VBM 1 Ltr x 1,1.1,2.2,true
Katyayani Imd-70 - Imidacloprid 70 % WG 30gm x 30,K-1125,K-176,30,0.99,false,Katyayani Imd-70 - Imidacloprid 70 % WG 30gm x 1,0.033,0.99,true
Katyayani K-Acepro 250gm x 3,K-189,K-188,3,0.825,false,Katyayani K-Acepro 250gm x 1,0.275,0.825,true
Katyayani Thioxam -Thiamethoxam 25 % wg 250GM x 5,K-5903,K-367,5,1.375,true,Katyayani Thioxam -Thiamethoxam 25 % wg 250gm x 1,0.275,1.375,true
Katyayani EMA5 - Emamectin benzoate 5 % SG 250gm x 3,K-319,K-318,3,0.825,false,Katyayani EMA5 - Emamectin benzoate 5 % SG 250gm x 1,0.275,0.825,true
Katyayani EMA5 - Emamectin benzoate 5 % SG 250gm x 40,K-323,K-318,40,11,false,Katyayani EMA5 - Emamectin benzoate 5 % SG 250gm x 1,0.275,11,true
Katyayani IMD 178 - Imidacloprid 17.8 % SL 250ml x 3,K-337,K-336,3,0.825,false,Katyayani IMD 178 - Imidacloprid 17.8 % SL 250ml x 1,0.275,0.825,true
Katyayani chakrawarti (Thiamethoxam 12.6 % lambda cyhalothrin 9.5 % zc) 1 ltr x 5,K-6611,K-6502,5,5.5,false,Katyayani chakrawarti (Thiamethoxam 12.6 % lambda cyhalothrin 9.5 % zc) 1 ltr x 1,1.1,5.5,true
Katyayani K-Acepro 250gm x 20,K-193,K-188,20,5.5,false,Katyayani K-Acepro 250gm x 1,0.275,5.5,true
Katyayani IMD 178 - Imidacloprid 17.8 % SL 1 Ltr x 5,K-341,K-338,5,5.5,false,Katyayani IMD 178 - Imidacloprid 17.8 % SL 1 Ltr x 1,1.1,5.5,true
Katyayani chakrawarti (Thiamethoxam 12.6 % lambda cyhalothrin 9.5 % zc) 500ml x 4,K-5897,K-6021,4,2.2,false,Katyayani chakrawarti (Thiamethoxam 12.6 % lambda cyhalothrin 9.5 % zc) 500ml x 1,0.55,2.2,true
Katyayani 3in1 250ml x 6,K-5884,K-219,6,1.65,false,Katyayani 3in1 250ml x 1,0.275,1.65,true
Katyayani Ashwamedh Diafenthiuron 50% WP 250gm x 4,K-363,K-361,4,1.1,false,Katyayani Ashwamedh Diafenthiuron 50% WP 250gm x 1,0.275,1.1,true
Katyayani BT Bio Insecticide (Bacillus thuringiensis israelensis) 1 ltr x 3,K-5936,K-5935,3,3.3,false,,,,Parent Not Found
Katyayani Imd-70 - Imidacloprid 70 % WG 30gm x 6,K-1065,K-176,6,0.198,false,Katyayani Imd-70 - Imidacloprid 70 % WG 30gm x 1,0.033,0.198,true
Katyayani Sporothrix Fungorum 1 Ltr x 10,K-243,K-240,10,11,false,Katyayani Sporothrix Fungorum 1 Ltr x 1,1.1,11,true
