"displayName","sku","parentSku","itemQty","grossWeight","is_parent","parentDisplayName","parentGrossWeight","correctGrossWeight","isCorrectGrossWeight"
"Katyayani chlorpyriphos 50%+ cypermethrin 5% ec Docter 505 1 Ltr x 1","K-261","K-261",1,1.1,true,"Katyayani chlorpyriphos 50%+ cypermethrin 5% ec Docter 505 1 Ltr x 1",1.1,1.1,true
"Katyayani Imd-70 - Imidacloprid 70 % WG 30gm x 1","K-176","K-176",1,0.033,true,"Katyayani Imd-70 - Imidacloprid 70 % WG 30gm x 1",0.033,0.033,true
"Katyayani chlorpyriphos 50%+ cypermethrin 5% ec Docter 505 100ml x 1","K-6069","K-6069",1,0.11,true,"Katyayani chlorpyriphos 50%+ cypermethrin 5% ec Docter 505 100ml x 1",0.11,0.11,true
"Katyayani Pigeon repellent 300ml x 1","K-5078","K-5078",1,0.33,true,"Katyayani Pigeon repellent 300ml x 1",0.33,0.33,true
"Katyayani chlorpyriphos 50%+ cypermethrin 5% ec Docter 505 25ltr x 1","K-5686","K-5686",1,27.5,true,"Katyayani chlorpyriphos 50%+ cypermethrin 5% ec Docter 505 25ltr x 1",27.5,27.5,true
"Katyayani BPH Super (Pymetrozine 50 % wg) 150 gm x 1","K-5753","K-5753",1,0.165,true,"Katyayani BPH Super (Pymetrozine 50 % wg) 150 gm x 1",0.165,0.165,true
"Katyayani Finish it 5 ltr x 1","K-6269","K-6269",1,5.5,true,"Katyayani Finish it 5 ltr x 1",5.5,5.5,true
"Katyayani K-Acepro 500gm x 1","K-5236","K-5236",1,0.55,true,"Katyayani K-Acepro 500gm x 1",0.55,0.55,true
"Katyayani Ashwamedh Diafenthiuron 50% WP 75gm x 1","K-6008","K-6008",1,0.0825,true,"Katyayani Ashwamedh Diafenthiuron 50% WP 75gm x 1",0.0825,0.0825,true
"Katyayani Finish it 50ml x 1","K-1248","K-1248",1,0.055,true,"Katyayani Finish it 50ml x 1",0.055,0.055,true
"Katyayani Propcyp - Profenofos 40 % + Cypermethrin 4 % ec 100 ml x 1","K-6393","K-6393",1,0.11,true,"Katyayani Propcyp - Profenofos 40 % + Cypermethrin 4 % ec 100 ml x 1",0.11,0.11,true
"Katyayani FANTASY Fipronil 5 % SC Insecticide 100ml x 1","K-5643","K-5643",1,0.11,true,"Katyayani FANTASY Fipronil 5 % SC Insecticide 100ml x 1",0.11,0.11,true
"Katyayani Pigeon repellent 100ml x 1","K-432","K-432",1,0.11,true,"Katyayani Pigeon repellent 100ml x 1",0.11,0.11,true
"Katyayani DIMETHOATE 30% EC 500ml x 1","K-5940","K-5940",1,0.55,true,"Katyayani DIMETHOATE 30% EC 500ml x 1",0.55,0.55,true
"Katyayani Thioxam -Thiamethoxam 25 % wg 50 gm x 1","K-6474","K-6474",1,0.055,true,"Katyayani Thioxam -Thiamethoxam 25 % wg 50 gm x 1",0.055,0.055,true
"Katyayani nashak (Fipronil 40% + Imidacloprid 40%) 1 Kg x 1","K-10530","K-10530",1,1.1,true,"Katyayani nashak (Fipronil 40% + Imidacloprid 40%) 1 Kg x 1",1.1,1.1,true
"Katyayani Thiamethoxam 30% FS - Docter 250ml x 1","K-304","K-304",1,0.275,true,"Katyayani Thiamethoxam 30% FS - Docter 250ml x 1",0.275,0.275,true
"Katyayani THIAMETHOXAM 75%w/WSG 100gm x 1","K-333","K-333",1,0.11,true,"Katyayani THIAMETHOXAM 75%w/WSG 100gm x 1",0.11,0.11,true
"Katyayani Propcyp - Profenofos 40 % + Cypermethrin 4 % ec 10Ltr x 1","K-6082","K-6082",1,11,true,"Katyayani Propcyp - Profenofos 40 % + Cypermethrin 4 % ec 10Ltr x 1",11,11,true
"Katyayani Virat 505 (chlorpyriphos 50%+ cypermethrin 5% ec) 50 ml x 1","K-6363","K-6363",1,0.055,true,"Katyayani Virat 505 (chlorpyriphos 50%+ cypermethrin 5% ec) 50 ml x 1",0.055,0.055,true
"Katyayani Thioxam -Thiamethoxam 25 % wg 35kg x 1","K-374","K-374",1,38.5,true,"Katyayani Thioxam -Thiamethoxam 25 % wg 35kg x 1",38.5,38.5,true
"Katyayani IMD 178 - Imidacloprid 17.8 % SL 100ml x 1","K-987","K-987",1,0.11,true,"Katyayani IMD 178 - Imidacloprid 17.8 % SL 100ml x 1",0.11,0.11,true
"Katyayani emamectin benzote 1.9% EC - Ema 19 100ml x 1","K-5279","K-5279",1,0.11,true,"Katyayani emamectin benzote 1.9% EC - Ema 19 100ml x 1",0.11,0.11,true
"Katyayani emamectin benzote 1.9% EC - Ema 19 250ML X 1","K-5280","K-5280",1,0.275,true,"Katyayani emamectin benzote 1.9% EC - Ema 19 250ML X 1",0.275,0.275,true
"Katyayani Pyrethrum Extract 1Ltr x 1","K-173","K-173",1,1.1,true,"Katyayani Pyrethrum Extract 1Ltr x 1",1.1,1.1,true
"Katyayani Thiamethoxam 30% FS - Docter 1 Ltr x 1","K-306","K-306",1,1.1,true,"Katyayani Thiamethoxam 30% FS - Docter 1 Ltr x 1",1.1,1.1,true
"Katyayani IMD 178 - Imidacloprid 17.8 % SL 1 Ltr x 1","K-338","K-338",1,1.1,true,"Katyayani IMD 178 - Imidacloprid 17.8 % SL 1 Ltr x 1",1.1,1.1,true
"Katyayani BT Bio Larvicide liquid 1 Ltr x 1","K-420","K-420",1,1.1,true,"Katyayani BT Bio Larvicide liquid 1 Ltr x 1",1.1,1.1,true
"Katyayani Pyrethrum Extract 100ml x 1","K-5318","K-5318",1,0.11,true,"Katyayani Pyrethrum Extract 100ml x 1",0.11,0.11,true
"Katyayani 2in1 fogger 1 ltr x 1","K-350","K-350",1,1.1,true,"Katyayani 2in1 fogger 1 ltr x 1",1.1,1.1,true
"Katyayani Apocalypse - Dinotefuran 20 % SG 1KG X 1","K-6036","K-6036",1,1.1,true,"Katyayani Apocalypse - Dinotefuran 20 % SG 1KG X 1",1.1,1.1,true
"Katyayani neem oil 5ltr x 1","K-6084","K-6084",1,5.5,true,"Katyayani neem oil 5ltr x 1",5.5,5.5,true
"Katyayani Flonicamid 50 WG - Umega 150gm x 1","K-298","K-298",1,0.165,true,"Katyayani Flonicamid 50 WG - Umega 150gm x 1",0.165,0.165,true
"Katyayani chlorpyriphos 50%+ cypermethrin 5% ec Docter 505 500ml x 1","K-5856","K-5856",1,0.55,true,"Katyayani chlorpyriphos 50%+ cypermethrin 5% ec Docter 505 500ml x 1",0.55,0.55,true
"Katyayani emathio (Emamectin benzoate 3 % thiamethoxam 12 % wg) 500gm x 1","K-1244","K-1244",1,0.55,true,"Katyayani emathio (Emamectin benzoate 3 % thiamethoxam 12 % wg) 500gm x 1",0.55,0.55,true
"Katyayani chloropyriphos 20%cs 500ml x 1","K-5911","K-5911",1,0.55,true,"Katyayani chloropyriphos 20%cs 500ml x 1",0.55,0.55,true
"Katyayani Propcyp - Profenofos 40 % + Cypermethrin 4 % ec 50 ltr x 1","K-6221","K-6221",1,55,true,"Katyayani Propcyp - Profenofos 40 % + Cypermethrin 4 % ec 50 ltr x 1",55,55,true
"Katyayani Beauveria Bassiana 5ltr x 1","K-5409","K-5409",1,5.5,true,"Katyayani Beauveria Bassiana 5ltr x 1",5.5,5.5,true
"Katyayani Malathion 96% ULV 250gm x 1","K-6088","K-6088",1,0.275,true,"Katyayani Malathion 96% ULV 250gm x 1",0.275,0.275,true
"Katyayani Snake Repellent Powder 100kg x 1","K-5208","K-5208",1,110,true,"Katyayani Snake Repellent Powder 100kg x 1",110,110,true
"Katyayani Triple Attack - VBM 1 Ltr x 1","K-256","K-256",1,1.1,true,"Katyayani Triple Attack - VBM 1 Ltr x 1",1.1,1.1,true
"Katyayani Imd-70 - Imidacloprid 70 % WG 150gm x 1","K-6016","K-6016",1,0.165,true,"Katyayani Imd-70 - Imidacloprid 70 % WG 150gm x 1",0.165,0.165,true
"Katyayani chloropyriphos 20%cs 250ml x 1","K-5876","K-5876",1,0.275,true,"Katyayani chloropyriphos 20%cs 250ml x 1",0.275,0.275,true
"Katyayani Snake Repellant 900gm x 1 ","K-406","K-406",1,0.99,true,"Katyayani Snake Repellant 900gm x 1 ",0.99,0.99,true
"Katyayani Thioxam -Thiamethoxam 25 % wg 500gm x 1","K-6685","K-6685",1,0.55,true,"Katyayani Thioxam -Thiamethoxam 25 % wg 500gm x 1",0.55,0.55,true
"Katyayani neem oil 100ml x 1","K-203","K-203",1,0.11,true,"Katyayani neem oil 100ml x 1",0.11,0.11,true
"Katyayani chakrawarti (Thiamethoxam 12.6 % lambda cyhalothrin 9.5 % zc) 100ml x 1","K-5774","K-5774",1,0.11,true,"Katyayani chakrawarti (Thiamethoxam 12.6 % lambda cyhalothrin 9.5 % zc) 100ml x 1",0.11,0.11,true
"Katyayani DIMETHOATE 30% EC 1 Ltr x 1","K-290","K-290",1,1.1,true,"Katyayani DIMETHOATE 30% EC 1 Ltr x 1",1.1,1.1,true
"Katyayani emathio (Emamectin benzoate 3 % thiamethoxam 12 % wg) 100gm x 1","K-381","K-381",1,0.11,true,"Katyayani emathio (Emamectin benzoate 3 % thiamethoxam 12 % wg) 100gm x 1",0.11,0.11,true
"Katyayani imida 30.5 - Imidacloprid 30.5 % SC 20ltr x 1","K-6061","K-6061",1,22,true,"Katyayani imida 30.5 - Imidacloprid 30.5 % SC 20ltr x 1",22,22,true
"Katyayani Deltamethrin 1.25 ULV 5000ml x 1","K-6413","K-6413",1,5.5,true,"Katyayani Deltamethrin 1.25 ULV 5000ml x 1",5.5,5.5,true
"Katyayani Fipronil 8.5 % SC 1 Ltr x 1","K-6013","K-6013",1,1.1,true,"Katyayani Fipronil 8.5 % SC 1 Ltr x 1",1.1,1.1,true
"Katyayani IMD 178 - Imidacloprid 17.8 % SL 5 ltr x 1","K-6035","K-6035",1,5.5,true,"Katyayani IMD 178 - Imidacloprid 17.8 % SL 5 ltr x 1",5.5,5.5,true
"Katyayani Triple Attack - VBM 25 Ltr x 1","K-5927","K-5927",1,27.5,true,"Katyayani Triple Attack - VBM 25 Ltr x 1",27.5,27.5,true
"Katyayani EMA5 - Emamectin benzoate 5 % SG 500gm x 1","K-5428","K-5428",1,0.55,true,"Katyayani EMA5 - Emamectin benzoate 5 % SG 500gm x 1",0.55,0.55,true
"Katyayani Flonicamid 50 WG - Umega 500gm x 1","K-5934","K-5934",1,0.55,true,"Katyayani Flonicamid 50 WG - Umega 500gm x 1",0.55,0.55,true
"Katyayani Temephos 50 EC 5Ltr x 1","K-5973","K-5973",1,5.5,true,"Katyayani Temephos 50 EC 5Ltr x 1",5.5,5.5,true
"Katyayani Spino45 - Spinosad 45 % sc 500ml x 1","K-6001","K-6001",1,0.55,true,"Katyayani Spino45 - Spinosad 45 % sc 500ml x 1",0.55,0.55,true
"Katyayani Metarhizium anisopliae 1 Ltr x 1","K-252","K-252",1,1.1,true,"Katyayani Metarhizium anisopliae 1 Ltr x 1",1.1,1.1,true
"Katyayani K-Acepro 100gm x 1","K-1402","K-1402",1,0.11,true,"Katyayani K-Acepro 100gm x 1",0.11,0.11,true
"Katyayani SPINO25 - Spinosad 2.5 % SC 50ml x 1","K-5899","K-5899",1,0.055,true,"Katyayani SPINO25 - Spinosad 2.5 % SC 50ml x 1",0.055,0.055,true
"Katyayani 3in1 100ml x 1","K-217","K-217",1,0.11,true,"Katyayani 3in1 100ml x 1",0.11,0.11,true
"Katyayani neem oil 1 ltr x 1","K-6560","K-6560",1,1.1,true,"Katyayani neem oil 1 ltr x 1",1.1,1.1,true
"Katyayani 3in1 50ml x 1","K-5240","K-5240",1,0.055,true,"Katyayani 3in1 50ml x 1",0.055,0.055,true
"Katyayani Spino45 - Spinosad 45 % sc 50ml x 1","K-402","K-402",1,0.055,true,"Katyayani Spino45 - Spinosad 45 % sc 50ml x 1",0.055,0.055,true
"Katyayani Pyrethrum Extract 25ltr x 1","K-5035","K-5035",1,27.5,true,"Katyayani Pyrethrum Extract 25ltr x 1",27.5,27.5,true
"Katyayani Attack CS 1000 ml x 1","K-397","K-397",1,1.1,true,"Katyayani Attack CS 1000 ml x 1",1.1,1.1,true
"Katyayani nashak (Fipronil 40% + Imidacloprid 40%) 100gm x 1","K-354","K-354",1,0.11,true,"Katyayani nashak (Fipronil 40% + Imidacloprid 40%) 100gm x 1",0.11,0.11,true
"Katyayani chloropyriphos 20%cs 1 Ltr x 1","K-273","K-273",1,1.1,true,"Katyayani chloropyriphos 20%cs 1 Ltr x 1",1.1,1.1,true
"Katyayani chlorpyriphos 50%+ cypermethrin 5% ec Docter 505 250 ml x 1","K-6272","K-6272",1,0.275,true,"Katyayani chlorpyriphos 50%+ cypermethrin 5% ec Docter 505 250 ml x 1",0.275,0.275,true
"Katyayani chakrawarti (Thiamethoxam 12.6 % lambda cyhalothrin 9.5 % zc) 250ml x 1","K-388","K-388",1,0.275,true,"Katyayani chakrawarti (Thiamethoxam 12.6 % lambda cyhalothrin 9.5 % zc) 250ml x 1",0.275,0.275,true
"Katyayani chloropyriphos 20%cs 20ltr x 1","K-5905","K-5905",1,22,true,"Katyayani chloropyriphos 20%cs 20ltr x 1",22,22,true
"Katyayani Apocalypse - Dinotefuran 20 % SG 100gm x 1","K-416","K-416",1,0.11,true,"Katyayani Apocalypse - Dinotefuran 20 % SG 100gm x 1",0.11,0.11,true
"Katyayani neem oil 900ml x 1","K-205","K-205",1,0.99,true,"Katyayani neem oil 900ml x 1",0.99,0.99,true
"Katyayani propoxur 1.0 % 1KG x 1","K-5880","K-5880",1,1.1,true,"Katyayani propoxur 1.0 % 1KG x 1",1.1,1.1,true
"Katyayani BPH Super (Pymetrozine 50 % wg) 250gm x 1","K-376","K-376",1,0.275,true,"Katyayani BPH Super (Pymetrozine 50 % wg) 250gm x 1",0.275,0.275,true
"Katyayani emamectin benzote 1.9% EC - Ema 19 1 Ltr x 1","K-279","K-279",1,1.1,true,"Katyayani emamectin benzote 1.9% EC - Ema 19 1 Ltr x 1",1.1,1.1,true
"Katyayani nashak (Fipronil 40% + Imidacloprid 40%) 40 gm x 1","K-353","K-353",1,0.044,true,"Katyayani nashak (Fipronil 40% + Imidacloprid 40%) 40 gm x 1",0.044,0.044,true
"Katyayani EMA5 - Emamectin benzoate 5 % SG 250gm x 1","K-318","K-318",1,0.275,true,"Katyayani EMA5 - Emamectin benzoate 5 % SG 250gm x 1",0.275,0.275,true
"Katyayani MALATHION 50% EC 5 Ltr x 1","K-5250","K-5250",1,5.5,true,"Katyayani MALATHION 50% EC 5 Ltr x 1",5.5,5.5,true
"Katyayani Temephos 50 EC 20ltr x 1","K-5853","K-5853",1,22,true,"Katyayani Temephos 50 EC 20ltr x 1",22,22,true
"Katyayani emathio (Emamectin benzoate 3 % thiamethoxam 12 % wg) 50kg x 1","K-6164","K-6164",1,55,true,"Katyayani emathio (Emamectin benzoate 3 % thiamethoxam 12 % wg) 50kg x 1",55,55,true
"Katyayani EMA5 - Emamectin benzoate 5 % SG 10 gm x 1 ","K-5104","K-5104",1,0.011,true,"Katyayani EMA5 - Emamectin benzoate 5 % SG 10 gm x 1 ",0.011,0.011,true
"Katyayani Spino45 - Spinosad 45 % sc 100ml x 1","K-6039","K-6039",1,0.11,true,"Katyayani Spino45 - Spinosad 45 % sc 100ml x 1",0.11,0.11,true
"Katyayani 3in1 900ml x 1","K-1241","K-1241",1,0.99,true,"Katyayani 3in1 900ml x 1",0.99,0.99,true
"Katyayani Ashwamedh Diafenthiuron 50% WP 25gm x 1","K-5177","K-5177",1,0.0275,true,"Katyayani Ashwamedh Diafenthiuron 50% WP 25gm x 1",0.0275,0.0275,true
"Katyayani Verticillium lecanii 100ml x 1","K-6578","K-6578",1,0.11,true,"Katyayani Verticillium lecanii 100ml x 1",0.11,0.11,true
"Katyayani emathio (Emamectin benzoate 3 % thiamethoxam 12 % wg) 500gm  x 1","K-5718","K-5718",1,0.55,true,"Katyayani emathio (Emamectin benzoate 3 % thiamethoxam 12 % wg) 500gm  x 1",0.55,0.55,true
"Katyayani SPINO25 - Spinosad 2.5 % SC 250ML X 1","K-5985","K-5985",1,0.275,true,"Katyayani SPINO25 - Spinosad 2.5 % SC 250ML X 1",0.275,0.275,true
"Katyayani 3in1 250ml x 1","K-219","K-219",1,0.275,true,"Katyayani 3in1 250ml x 1",0.275,0.275,true
"Katyayani K-Acepro 20 gm x 1","K-6382","K-6382",1,0.022,true,"Katyayani K-Acepro 20 gm x 1",0.022,0.022,true
"Katyayani EMA5 - Emamectin benzoate 5 % SG 5 gm x 1","K-6361","K-6361",1,0.0055,true,"Katyayani EMA5 - Emamectin benzoate 5 % SG 5 gm x 1",0.0055,0.0055,true
"Katyayani Ashwamedh Diafenthiuron 50% WP 100gm x 1","K-5793","K-5793",1,0.11,true,"Katyayani Ashwamedh Diafenthiuron 50% WP 100gm x 1",0.11,0.11,true
"Katyayani Spino45 - Spinosad 45 % sc 5 Ltr x 1","K-6030","K-6030",1,5.5,true,"Katyayani Spino45 - Spinosad 45 % sc 5 Ltr x 1",5.5,5.5,true
"Katyayani chakrawarti (Thiamethoxam 12.6 % lambda cyhalothrin 9.5 % zc) 1 ltr x 1","K-6502","K-6502",1,1.1,true,"Katyayani chakrawarti (Thiamethoxam 12.6 % lambda cyhalothrin 9.5 % zc) 1 ltr x 1",1.1,1.1,true
"Katyayani nashak (Fipronil 40% + Imidacloprid 40%) 5 gm x 1","K-6379","K-6379",1,0.0055,true,"Katyayani nashak (Fipronil 40% + Imidacloprid 40%) 5 gm x 1",0.0055,0.0055,true
"Katyayani BPH Super (Pymetrozine 50 % wg) 1 Kg x 1","K-6631","K-6631",1,1.1,true,"Katyayani BPH Super (Pymetrozine 50 % wg) 1 Kg x 1",1.1,1.1,true
"Katyayani imida 30.5 - Imidacloprid 30.5 % SC 1 Ltr x 1","K-184","K-184",1,1.1,true,"Katyayani imida 30.5 - Imidacloprid 30.5 % SC 1 Ltr x 1",1.1,1.1,true
"Katyayani EMA5 - Emamectin benzoate 5 % SG 25 kg x 1","K-6317","K-6317",1,27.5,true,"Katyayani EMA5 - Emamectin benzoate 5 % SG 25 kg x 1",27.5,27.5,true
"Katyayani nashak (Fipronil 40% + Imidacloprid 40%) 10 kg x 1","K-6075","K-6075",1,11,true,"Katyayani nashak (Fipronil 40% + Imidacloprid 40%) 10 kg x 1",11,11,true
"Katyayani Thioxam -Thiamethoxam 25 % wg 1 Kg x 1","K-369","K-369",1,1.1,true,"Katyayani Thioxam -Thiamethoxam 25 % wg 1 Kg x 1",1.1,1.1,true
"Katyayani neem oil 20 LTR X 1","K-6224","K-6224",1,22,true,"Katyayani neem oil 20 LTR X 1",22,22,true
"Katyayani Spino45 - Spinosad 45 % sc 250ml x 1","K-6005","K-6005",1,0.275,true,"Katyayani Spino45 - Spinosad 45 % sc 250ml x 1",0.275,0.275,true
"Katyayani Sporothrix Fungorum 100ml x 1","K-6073","K-6073",1,0.11,true,"Katyayani Sporothrix Fungorum 100ml x 1",0.11,0.11,true
"Katyayani chakrawarti (Thiamethoxam 12.6 % lambda cyhalothrin 9.5 % zc) 500ml x 1","K-6021","K-6021",1,0.55,true,"Katyayani chakrawarti (Thiamethoxam 12.6 % lambda cyhalothrin 9.5 % zc) 500ml x 1",0.55,0.55,true
"Katyayani neem oil 25 ltr x 1","K-6417","K-6417",1,27.5,true,"Katyayani neem oil 25 ltr x 1",27.5,27.5,true
"Katyayani emamectin benzote 1.9% EC - Ema 19 20 ml x 1","K-6378","K-6378",1,0.022,true,"Katyayani emamectin benzote 1.9% EC - Ema 19 20 ml x 1",0.022,0.022,true
"Katyayani Beauveria Bassiana 1 Ltr x 1","K-244","K-244",1,1.1,true,"Katyayani Beauveria Bassiana 1 Ltr x 1",1.1,1.1,true
"Katyayani FANTASY Fipronil 5 % SC Insecticide 250ml x 1","K-344","K-344",1,0.275,true,"Katyayani FANTASY Fipronil 5 % SC Insecticide 250ml x 1",0.275,0.275,true
"Katyayani imida 30.5 - Imidacloprid 30.5 % SC 100ml x 1","K-181","K-181",1,0.11,true,"Katyayani imida 30.5 - Imidacloprid 30.5 % SC 100ml x 1",0.11,0.11,true
"Katyayani BPH Super (Pymetrozine 50 % wg) 500gm x 1","K-375","K-375",1,0.55,true,"Katyayani BPH Super (Pymetrozine 50 % wg) 500gm x 1",0.55,0.55,true
"Katyayani Temephos 50 EC 25 ltr x 1","K-6314","K-6314",1,27.5,true,"Katyayani Temephos 50 EC 25 ltr x 1",27.5,27.5,true
"Katyayani Thioxam -Thiamethoxam 25 % wg 100GM X 1","K-5826","K-5826",1,0.11,true,"Katyayani Thioxam -Thiamethoxam 25 % wg 100GM X 1",0.11,0.11,true
"Katyayani Thioxam -Thiamethoxam 25 % wg 40 kg x 1","K-6338","K-6338",1,44,true,"Katyayani Thioxam -Thiamethoxam 25 % wg 40 kg x 1",44,44,true
"Katyayani emathio (Emamectin benzoate 3 % thiamethoxam 12 % wg) 1kg x 1","K-5719","K-5719",1,1.1,true,"Katyayani emathio (Emamectin benzoate 3 % thiamethoxam 12 % wg) 1kg x 1",1.1,1.1,true
"Katyayani Spino45 - Spinosad 45 % sc 10ml x 1","K-993","K-993",1,0.011,true,"Katyayani Spino45 - Spinosad 45 % sc 10ml x 1",0.011,0.011,true
"Katyayani nashak (Fipronil 40% + Imidacloprid 40%) 120gm x 1","K-5910","K-5910",1,0.132,true,"Katyayani nashak (Fipronil 40% + Imidacloprid 40%) 120gm x 1",0.132,0.132,true
"Katyayani Propcyp - Profenofos 40 % + Cypermethrin 4 % ec 250ml x 1","K-5751","K-5751",1,0.275,true,"Katyayani Propcyp - Profenofos 40 % + Cypermethrin 4 % ec 250ml x 1",0.275,0.275,true
"Katyayani Temephos 50 EC 1 Ltr x 1","K-284","K-284",1,1.1,true,"Katyayani Temephos 50 EC 1 Ltr x 1",1.1,1.1,true
"Katyayani MALATHION 50% EC 500 ml x 1","K-6370","K-6370",1,0.55,true,"Katyayani MALATHION 50% EC 500 ml x 1",0.55,0.55,true
"Katyayani Ashwamedh Diafenthiuron 50% WP 250gm x 1","K-361","K-361",1,0.275,true,"Katyayani Ashwamedh Diafenthiuron 50% WP 250gm x 1",0.275,0.275,true
"Katyayani imida 30.5 - Imidacloprid 30.5 % SC 200ml x 1","K-1068","K-1068",1,0.22,true,"Katyayani imida 30.5 - Imidacloprid 30.5 % SC 200ml x 1",0.22,0.22,true
"Katyayani Finish it 1ltr x 1","K-1332","K-1332",1,1.1,true,"Katyayani Finish it 1ltr x 1",1.1,1.1,true
"Katyayani Triple Attack - VBM 100 ml x 1","K-6388","K-6388",1,0.11,true,"Katyayani Triple Attack - VBM 100 ml x 1",0.11,0.11,true
"Katyayani FENZAQUIN 10% EC 100ml x 1","K-295","K-295",1,0.11,true,"Katyayani FENZAQUIN 10% EC 100ml x 1",0.11,0.11,true
"Katyayani neem oil 400ml x 1","K-204","K-204",1,0.44,true,"Katyayani neem oil 400ml x 1",0.44,0.44,true
"Katyayani FANTASY Fipronil 5 % SC Insecticide 1ltr x 1","K-6053","K-6053",1,1.1,true,"Katyayani FANTASY Fipronil 5 % SC Insecticide 1ltr x 1",1.1,1.1,true
"Katyayani Fluopyrum 34.48% SC 100ml x 1","K-297","K-297",1,0.11,true,"Katyayani Fluopyrum 34.48% SC 100ml x 1",0.11,0.11,true
"Katyayani Finish it 250ml x 1","K-6057","K-6057",1,0.275,true,"Katyayani Finish it 250ml x 1",0.275,0.275,true
"Katyayani Deltamethrin 1.25 ULV 1 ltr x 1","K-214","K-214",1,1.1,true,"Katyayani Deltamethrin 1.25 ULV 1 ltr x 1",1.1,1.1,true
"Katyayani KPOP- Propoxur 20% EC 1 ltr x 1","K-959","K-959",1,1.1,true,"Katyayani KPOP- Propoxur 20% EC 1 ltr x 1",1.1,1.1,true
"Katyayani Sporothrix Fungorum 1 Ltr x 1","K-240","K-240",1,1.1,true,"Katyayani Sporothrix Fungorum 1 Ltr x 1",1.1,1.1,true
"Katyayani Aakramak (Novaluron 5.25% + Emamectin benzonate 9 % W/W SC) 250ml x 1","K-5847","K-5847",1,0.275,true,"Katyayani Aakramak (Novaluron 5.25% + Emamectin benzonate 9 % W/W SC) 250ml x 1",0.275,0.275,true
"Katyayani Red Palm Weevil Lure (RHYNCHOPHORUS FERRUGINEUS) 1 pc x 1","K-5837","K-5837",1,0.0033,true,"Katyayani Red Palm Weevil Lure (RHYNCHOPHORUS FERRUGINEUS) 1 pc x 1",0.0033,0.0033,true
"Katyayani Aakramak (Novaluron 5.25% + Emamectin benzonate 9 % W/W SC) 50ml x 1","K-6095","K-6095",1,0.055,true,"Katyayani Aakramak (Novaluron 5.25% + Emamectin benzonate 9 % W/W SC) 50ml x 1",0.055,0.055,true
"Katyayani Katappa - Cartap hydrochloride 4% GR 50 kg x 1","K-6470","K-6470",1,55,true,"Katyayani Katappa - Cartap hydrochloride 4% GR 50 kg x 1",55,55,true
