"displayName","sku","parentSku","itemQty","grossWeight","is_parent"
"Katyayani FANTASY Fipronil 5 % SC Insecticide 250ml x 12","K-347","K-344",12,3.3,false
"Katyayani BPH Super (Pymetrozine 50 % wg) 250gm x 12","K-379","K-376",12,3.3,false
"Katyayani BPH Super (Pymetrozine 50 % wg) 250gm x 40","K-5100","K-376",40,11,false
"Katyayani imida 30.5 - Imidacloprid 30.5 % SC 100ml x 3","K-182","K-181",3,0.33,false
"Katyayani Thioxam -Thiamethoxam 25 % wg 250gm x 3","K-368","K-367",3,0.825,false
"Katyayani chakrawarti (Thiamethoxam 12.6 % lambda cyhalothrin 9.5 % zc) 1 Ltr x 50","K-1098","K-6502",50,55,false
"Katyayani imida 30.5 - Imidacloprid 30.5 % SC 1 Ltr x 10","K-187","K-184",10,11,false
"Katyayani Propcyp - Profenofos 40 % + Cypermethrin 4 % ec 1 Ltr x 4","K-169","K-167",4,4.4,false
"Katyayani neem oil 900ml x 2","K-206","K-205",2,1.98,false
"Katyayani Sporothrix Fungorum 1 Ltr x 3","K-241","K-240",3,3.3,false
"Katyayani Imd-70 - Imidacloprid 70 % WG 30 gm x 5","K-1124","K-176",5,0.165,false
"Katyayani chlorpyriphos 50%+ cypermethrin 5% ec Docter 505 1 ltr x 4","K-6325","K-261",4,4.4,false
"Katyayani DIMETHOATE 30% EC 1 Ltr x 10","K-293","K-290",10,11,false
"Katyayani neem oil 100ml x 3","K-1121","K-203",3,0.33,false
"Katyayani Triple Attack - VBM 1 Ltr x 3","K-257","K-256",3,3.3,false
"Katyayani imida 30.5 - Imidacloprid 30.5 % SC 100ml x 5","K-183","K-181",5,0.55,false
"Katyayani EMA5 - Emamectin benzoate 5 % SG 250gm x 20","K-322","K-318",20,5.5,false
"Katyayani emathio (Emamectin benzoate 3 % thiamethoxam 12 % wg) 250gm x 3","K-383","K-382",3,0.825,false
"Katyayani MALATHION 50% EC 1 Ltr x 5","K-301","K-299",5,5.5,false
"Katyayani Verticillium lecanii 1 Ltr x 5","K-250","K-248",5,5.5,false
"Katyayani Lenux - Lambdacylhalothrin 10% WP 62.5 gm x 80","K-430","K-1178",80,5.5,false
"Katyayani Finish it 100ml x 8","K-411","K-409",8,0.88,false
"Katyayani EMA5 - Emamectin benzoate 5 % SG 1kg x 2","K-6602","K-5714",2,2.2,false
"Katyayani Thiamethoxam 30% FS - Docter 1 Ltr x 10","K-308","K-306",10,11,false
"Katyayani EMA5 - Emamectin benzoate 5 % SG 500gm x 2","K-6603","K-5428",2,1.1,false
"Katyayani IMD 178 - Imidacloprid 17.8 % SL 250ml x 7","K-339","K-336",7,1.925,false
"Katyayani neem oil 100ml x 10","K-1174","K-203",10,1.1,false
"Katyayani Thioxam -Thiamethoxam 25 % wg 1 Kg x 20","K-373","K-369",20,22,false
"Katyayani Thioxam -Thiamethoxam 25 % wg 1  Kg x 5","K-371","K-369",5,5.5,false
"Katyayani Propcyp - Profenofos 40 % + Cypermethrin 4 % ec 1 Ltr x 100","K-10513","K-167",100,110,false
"Katyayani 3in1 100ml x 5","K-220","K-217",5,0.55,false
"Katyayani MALATHION 50% EC 1 Ltr x 50","K-303","K-299",50,55,false
"Katyayani 2in1 fogger 1 ltr x 5","K-351","K-350",5,5.5,false
"Katyayani chloropyriphos 20%cs 1 Ltr x 20","K-1271","K-273",20,22,false
"Katyayani IMD 178 - Imidacloprid 17.8 % SL 1 Ltr x 2","K-10515","K-338",2,2.2,false
"Katyayani SPINO25 - Spinosad 2.5 % SC 500ml x 1","K-5800","K-1245",1,0.55,false
"Katyayani emamectin benzote 1.9% EC - Ema 19 1 Ltr x 2","K-280","K-279",2,2.2,false
"Katyayani EMA5 - Emamectin benzoate 5 % SG 1 Kg x 10","K-6283","K-5714",10,11,false
"Katyayani K-Acepro 250gm x 7","K-190","K-188",7,1.925,false
"Katyayani Deltamethrin 1.25 ULV 1000ml x 5","K-215","K-214",5,5.5,false
"Katyayani 3in1 100 ml x 2","K-218","K-217",2,0.22,false
"Katyayani MALATHION 50% EC 1 Ltr x 10","K-302","K-299",10,11,false
"Katyayani Temephos 50 EC 1 Ltr x 5","K-286","K-284",5,5.5,false
"Katyayani Attack CS 250ml x 20","K-400","K-395",20,5.5,false
"Katyayani chloropyriphos 20%cs 1 Ltr x 10","K-276","K-273",10,11,false
"Katyayani EMA5 - Emamectin benzoate 5 % SG 250gm x 2","K-6594","K-318",2,0.55,false
"Katyayani 3in1 250ml x 10","K-223","K-219",10,2.75,false
"Katyayani Triple Attack - VBM 1 Ltr x 10","K-259","K-256",10,11,false
"Katyayani Metarhizium anisopliae 1 Ltr x 3","K-253","K-252",3,3.3,false
"Katyayani nashak (Fipronil 40% + Imidacloprid 40%) 40 gm x 2","K-5283","K-353",2,0.088,false
"Katyayani chloropyriphos 20%cs 1 Ltr x 2","K-274","K-273",2,2.2,false
"Katyayani chakrawarti (Thiamethoxam 12.6 % lambda cyhalothrin 9.5 % zc) 1 ltr x 2","K-6610","K-6502",2,2.2,false
"Katyayani Beauveria Bassiana 1 Ltr x 10","K-247","K-244",10,11,false
"Katyayani Metarhizium anisopliae 1 Ltr x 10","K-255","K-252",10,11,false
"Katyayani nashak (Fipronil 40% + Imidacloprid 40%) 100gm x 30","K-359","K-354",30,3.3,false
"Katyayani IMD 178 - Imidacloprid 17.8 % SL 1 Ltr x 50","K-343","K-338",50,55,false
"Katyayani Pyrethrum Extract 1 Ltr x 5","K-174","K-173",5,5.5,false
"Katyayani Imd-70 - Imidacloprid 70 % WG 30gm x 14","K-179","K-176",14,0.462,false
"Katyayani BT Bio Insecticide (Bacillus thuringiensis israelensis) 1 ltr x 5","K-5937","K-5935",5,5.5,false
"Katyayani chlorpyriphos 50%+ cypermethrin 5% ec Docter 505 1 Ltr x 5","K-263","K-261",5,5.5,false
"Katyayani chakrawarti (Thiamethoxam 12.6 % lambda cyhalothrin 9.5 % zc) 250ml x 20","K-393","K-388",20,5.5,false
"Katyayani MALATHION 50% EC 1 Ltr x 20","K-1101","K-299",20,22,false
"Katyayani KPOP- Propoxur 20% EC 100ml x 1","K-5852","K-426",1,0.11,true
"Katyayani emathio (Emamectin benzoate 3 % thiamethoxam 12 % wg) 250gm x 12","K-385","K-382",12,3.3,false
"Katyayani Thioxam -Thiamethoxam 25 % wg 1 Kg x 3","K-370","K-369",3,3.3,false
"Katyayani Finish it 100ml x 3","K-410","K-409",3,0.33,false
"Katyayani Ashwamedh Diafenthiuron 50% WP 250gm x 12","K-365","K-361",12,3.3,false
"Katyayani IMD 178 - Imidacloprid 17.8 % SL 250 ml x 20","K-6438","K-336",20,5.5,false
"Katyayani Imd-70 - Imidacloprid 70 % WG 30gm x 3","K-177","K-176",3,0.099,false
"Katyayani emathio (Emamectin benzoate 3 % thiamethoxam 12 % wg) 250gm x 40","K-387","K-382",40,11,false
"Katyayani Finish it 100ml x 100","K-415","K-409",100,11,false
"Katyayani Thiamethoxam 30% FS - Docter 250ml x 3","K-305","K-304",3,0.825,false
"Katyayani Beauveria Bassiana 1 Ltr x 5","K-246","K-244",5,5.5,false
"Katyayani BPH Super (Pymetrozine 50 % wg) 150gm x 2","K-5776","K-5753",2,0.33,false
"Katyayani chloropyriphos 20%cs 1 Ltr x 50","K-277","K-273",50,55,false
"Katyayani nashak (Fipronil 40% + Imidacloprid 40%) 100gm x 10","K-358","K-354",10,1.1,false
"Katyayani Temephos 50 EC 1 Ltr x 100","K-289","K-284",100,110,false
"Katyayani 3in1 250ml x 4","K-222","K-219",4,1.1,false
"Katyayani Attack CS 250ml x 6","K-398","K-395",6,1.65,false
"Katyayani BT Bio Insecticide (Bacillus thuringiensis israelensis) 1 ltr x 10","K-5938","K-5935",10,11,false
"Katyayani Verticillium lecanii 1 Ltr x 10","K-251","K-248",10,11,false
"Katyayani Apocalypse - Dinotefuran 20 % SG 100gm x 3","K-417","K-416",3,0.33,false
"Katyayani EMA5 - Emamectin benzoate 5 % SG 1kg x 3","K-5715","K-5714",3,3.3,false
"Katyayani MALATHION 50% EC 1 Ltr x 2","K-300","K-299",2,2.2,false
"Katyayani Imd-70 - Imidacloprid 70 % WG 30 gm x 2","K-1064","K-176",2,0.066,false
"Katyayani IMD 178 - Imidacloprid 17.8 % SL 250 ml x 4","K-6439","K-336",4,1.1,false
"Katyayani Attack CS 250ml x 2","K-5885","K-395",2,0.55,false
"Katyayani Spino45 - Spinosad 45 % sc 50ml x 2","K-403","K-402",2,0.11,false
"Katyayani Thioxam -Thiamethoxam 25 % wg 1 Kg x 10","K-372","K-369",10,11,false
"Katyayani chakrawarti (Thiamethoxam 12.6 % lambda cyhalothrin 9.5 % zc) 250ml x 40","K-394","K-388",40,11,false
"Katyayani SPINO25 - Spinosad 2.5 % SC 100ml x 100","K-991","K-1245",100,11,false
"Katyayani nashak (Fipronil 40% + Imidacloprid 40%) 100gm x 3","K-1095","K-354",3,0.33,true
"Katyayani Ashwamedh Diafenthiuron 50% WP 250gm x 20","K-366","K-361",20,5.5,false
"Katyayani Verticillium lecanii 1 Ltr x 3","K-249","K-248",3,3.3,false
"Katyayani Triple Attack - VBM 1 Ltr x 5","K-258","K-256",5,5.5,false
"Katyayani Propcyp - Profenofos 40 % + Cypermethrin 4 % ec 1 Ltr x 2","K-168","K-167",2,2.2,false
"Katyayani Thioxam -Thiamethoxam 25 % wg 250 gm x 7","K-213","K-367",7,1.925,false
"Katyayani FANTASY Fipronil 5 % SC Insecticide 250ml x 20","K-348","K-344",20,5.5,false
"Katyayani K-Acepro 250gm x 10","K-192","K-188",10,2.75,false
"Katyayani BT Bio Larvicide liquid 1Ltr x 2","K-5286","K-420",2,2.2,false
"Katyayani FANTASY Fipronil 5 % SC Insecticide 250ml x 40","K-349","K-344",40,11,false
"Katyayani Sporothrix Fungorum 1 Ltr x 5","K-242","K-240",5,5.5,false
"Katyayani emathio (Emamectin benzoate 3 % thiamethoxam 12 % wg) 250gm x 20","K-386","K-382",20,5.5,false
"Katyayani chakrawarti (Thiamethoxam 12.6 % lambda cyhalothrin 9.5 % zc) 250ml x 2","K-389","K-388",2,0.55,false
"Katyayani Attack CS 250ml x 12","K-399","K-395",12,3.3,false
"Katyayani nashak (Fipronil 40% + Imidacloprid 40%) 100gm x 8","K-357","K-354",8,0.88,false
"Katyayani DIMETHOATE 30% EC 1 Ltr x 50","K-294","K-290",50,55,false
"Katyayani chakrawarti (Thiamethoxam 12.6 % lambda cyhalothrin 9.5 % zc) 250ml x  6","K-391","K-388",6,1.65,false
"Katyayani Finish it 100ml x 50","K-414","K-409",50,5.5,false
"Katyayani Triple Attack - VBM 1 ltr x 2","K-6567","K-256",2,2.2,false
"Katyayani Imd-70 - Imidacloprid 70 % WG 30gm x 30","K-1125","K-176",30,0.99,false
"Katyayani K-Acepro 250gm x 3","K-189","K-188",3,0.825,false
"Katyayani Thioxam -Thiamethoxam 25 % wg 250GM x 5","K-5903","K-367",5,1.375,true
"Katyayani EMA5 - Emamectin benzoate 5 % SG 250gm x 3","K-319","K-318",3,0.825,false
"Katyayani EMA5 - Emamectin benzoate 5 % SG 250gm x 40","K-323","K-318",40,11,false
"Katyayani IMD 178 - Imidacloprid 17.8 % SL 250ml x 3","K-337","K-336",3,0.825,false
"Katyayani chakrawarti (Thiamethoxam 12.6 % lambda cyhalothrin 9.5 % zc) 1 ltr x 5","K-6611","K-6502",5,5.5,false
"Katyayani K-Acepro 250gm x 20","K-193","K-188",20,5.5,false
"Katyayani IMD 178 - Imidacloprid 17.8 % SL 1 Ltr x 5","K-341","K-338",5,5.5,false
"Katyayani chakrawarti (Thiamethoxam 12.6 % lambda cyhalothrin 9.5 % zc) 500ml x 4","K-5897","K-6021",4,2.2,false
"Katyayani 3in1 250ml x 6","K-5884","K-219",6,1.65,false
"Katyayani Ashwamedh Diafenthiuron 50% WP 250gm x 4","K-363","K-361",4,1.1,false
"Katyayani BT Bio Insecticide (Bacillus thuringiensis israelensis) 1 ltr x 3","K-5936","K-5935",3,3.3,false
"Katyayani Imd-70 - Imidacloprid 70 % WG 30gm x 6","K-1065","K-176",6,0.198,false
"Katyayani Sporothrix Fungorum 1 Ltr x 10","K-243","K-240",10,11,false
"Katyayani BPH Super (Pymetrozine 50 % wg) 250gm x 4","K-378","K-376",4,1.1,false
"Katyayani Apocalypse - Dinotefuran 20 % SG 100gm x 4","K-6681","K-416",4,0.44,false
"Katyayani IMD 178 - Imidacloprid 17.8 % SL 250 ml x 12","K-6440","K-336",12,3.3,false
"Katyayani IMD 178 - Imidacloprid 17.8 % SL 1 Ltr x 3","K-340","K-338",3,3.3,false
"Katyayani 3in1 250ml x 3","K-10507","K-219",3,0.825,false
"Katyayani FANTASY Fipronil 5 % SC Insecticide 250ml x 4","K-346","K-344",4,1.1,false
"Katyayani Finish it 100ml x 32","K-413","K-409",32,3.52,false
"Katyayani Apocalypse - Dinotefuran 20 % SG 100gm x 14","K-419","K-416",14,1.54,false
"Katyayani Spino45 - Spinosad 45 % sc 50ml x 20","K-405","K-402",20,1.1,false
"Katyayani EMA5 - Emamectin benzoate 5 % SG 250gm x 12","K-321","K-318",12,3.3,false
"Katyayani Pyrethrum Extract 1 Ltr X 16","K-1214","K-173",16,17.6,false
"Katyayani Metarhizium anisopliae 1 Ltr x 5","K-254","K-252",5,5.5,false
"Katyayani EMA5 - Emamectin benzoate 5 % SG 100 gm x 2","K-6564","K-317",2,0.22,false
"Katyayani emathio (Emamectin benzoate 3 % thiamethoxam 12 % wg) 1kg x 5","K-5721","K-5719",5,5.5,false
"Katyayani emamectin benzote 1.9% EC - Ema 19 1 Ltr x 10","K-282","K-279",10,11,false
"Katyayani emamectin benzote 1.9% EC - Ema 19 1 Ltr x 5","K-281","K-279",5,5.5,false
"Katyayani emathio (Emamectin benzoate 3 % thiamethoxam 12 % wg) 500gm x 10","K-5722","K-5718",10,5.5,false
"Katyayani K-Acepro 5 Kg x 4","K-194","K-7386",4,22,true
"Katyayani emathio (Emamectin benzoate 3 % thiamethoxam 12 % wg) 250gm x 4","K-384","K-382",4,1.1,false
"Katyayani IMD 178 - Imidacloprid 17.8 % SL 250ml x 2","K-1100","K-336",2,0.55,false
"Katyayani Snake Repellant 900gm x 5","K-408","K-406",5,4.95,false
"Katyayani Beauveria Bassiana 1 Ltr x 3","K-245","K-244",3,3.3,false
"Katyayani chakrawarti (Thiamethoxam 12.6 % lambda cyhalothrin 9.5 % zc) 1 ltr x 10","K-6612","K-6502",10,11,false
"Katyayani Spino45 - Spinosad 45 % sc 50ml x 10","K-404","K-402",10,0.55,false
"Katyayani Deltamethrin 1.25 ULV 1Ltr x 3","K-5675","K-214",3,3.3,false
"Katyayani Snake Repellant 900gm x 2","K-407","K-406",2,1.98,false
"Katyayani SPINO25 - Spinosad 2.5 % SC 100ml x 10","K-401","K-1245",10,1.1,false
"Katyayani imida 30.5 - Imidacloprid 30.5 % SC 1 Ltr x 3","K-185","K-184",3,3.3,false
"Katyayani imida 30.5 - Imidacloprid 30.5 % SC 1 Ltr x 5","K-186","K-184",5,5.5,false
"Katyayani Thiamethoxam 30% FS - Docter 250ml x 200","K-309","K-304",200,55,false
"Katyayani Temephos 50 EC 1 Ltr x 2","K-285","K-284",2,2.2,false
"Katyayani FANTASY Fipronil 5 % SC Insecticide 250ml x 3","K-345","K-344",3,0.825,false
"Katyayani nashak (Fipronil 40% + Imidacloprid 40%) 40gm x 40","K-1213","K-353",40,1.76,false
"Katyayani SPINO25 - Spinosad 2.5 % SC 100 ml x 4","K-992","K-1245",4,0.44,false
"Katyayani BPH Super (Pymetrozine 50 % wg) 250gm x 2","K-377","K-376",2,0.55,false
"Katyayani Ashwamedh Diafenthiuron 50% WP 250gm x 3","K-362","K-361",3,0.825,false
"Katyayani BPH Super (Pymetrozine 50 % wg) 500gm x 4","K-5207","K-375",4,2.2,true
"Katyayani DIMETHOATE 30% EC 1 Ltr x 2","K-291","K-290",2,2.2,false
"Katyayani nashak (Fipronil 40% + Imidacloprid 40%) 100 gm x 4","K-356","K-354",4,0.44,false
"Katyayani nashak (Fipronil 40% + Imidacloprid 40%) 100gm x 2","K-355","K-354",2,0.22,false
"Katyayani chakrawarti (Thiamethoxam 12.6 % lambda cyhalothrin 9.5 % zc) 250ml x 3 ","K-1081","K-388",3,0.825,false
"Katyayani Imd-70 - Imidacloprid 70 % WG 30 gm x 48","K-1067","K-176",48,1.584,false
"Katyayani neem oil 900ml x 5","K-207","K-205",5,4.95,false
"Katyayani Deltamethrin 2.8% EC DEL-28 1Ltr x 10","K-5843","K-936",10,11,false
"Katyayani Aakramak (Novaluron 5.25% + Emamectin benzonate 9 % W/W SC) 1 Ltr x 10","K-1276","K-5886",10,11,false
"Katyayani Naagpash - Novaluron 5.25% + Indoxacarb 4.5% SC 250ml x 3","K-1367","K-1366",3,0.825,false
"Katyayani Anti virus 1 ltr x 10","K-6482","K-6427",10,11,false
"Katyayani Fantasy 292 - Fipronil 2.92% EC 250ml x 20","K-1357","K-1352",20,5.5,false
"Katyayani Chloropriphos 20 % ec 1 Ltr x 50","K-1286","K-1281",50,55,false
"Katyayani Chloro 50 - Chlorpyriphos 50% EC 1 Ltr x 4","K-1310","K-1308",4,4.4,false
"Katyayani Cotton Bollworm Lure (HELICOVERPA ARMIGERA) 1 Pc x 20","K-891","K-893",20,0.066,false
"Katyayani Emamectin Benzonatye 1.5% Fipronil 3.5% SC Sipahi 1 Ltr x 10","K-1278","K-5205",10,11,false
"Katyayani Propcyp - Profenofos 40 % + Cypermethrin 4 % ec 1 Ltr x 20","K-171","K-167",20,22,false
"Katyayani 3in1 250ml x 20","K-224","K-219",20,5.5,false
"Katyayani BPH Super (Pymetrozine 50 % wg) 250gm x 20","K-380","K-376",20,5.5,false
"Katyayani Imd-70 - Imidacloprid 70 % WG 30gm x 28","K-180","K-176",28,0.924,false
"Katyayani KACIN (abamectin 1.9) 100ml x 2","K-5462","K-5461",2,0.22,false
"Katyayani 2in1 fogger 1 ltr x 10","K-352","K-350",10,11,false
"Katyayani Deltamethrin 2 % EW - DEW 1Ltr x 50","K-5600","K-6024",50,55,false
"Katyayani CHLORO GR (chloropyriphos 10%gr) 1kg x 9","K-1113","K-1111",9,9.9,false
"Katyayani Chakraveer (Chlorantraniliprole 18.5 % SC ) 60 ml x 10","K-6694","K-1359",10,0.66,false
"Katyayani Chloropriphos 20 % ec 1 Ltr x 20","K-1285","K-1281",20,22,false
"Katyayani Katappa - Cartap hydrochloride 4% GR 25 KG x 16","K-1324","K-1320",16,440,false
"Katyayani Anti Malarial Oil (Oil Base) 25 ltr x 4","K-960","K-6728",4,110,true
"Katyayani Fantasy 292 - Fipronil 2.92% EC 250ml x 7","K-1355","K-1352",7,1.925,false
"Katyayani NEMA PRIME (Pochonia chlamydposporia 1% ) LIQUID 1Ltr x 3","K-5557","K-5556",3,3.3,false
"Katyayani Naagpash - Novaluron 5.25% + Indoxacarb 4.5% SC 250ml x 7","K-1369","K-1366",7,1.925,false
"Katyayani Diamond Back Moth Lure (PLUTELLA XYLOSTELLA) 1 Pc x 10","K-894","K-893",10,0.033,false
"Katyayani BPH Super+ - Dinotefuran 15.00 %+ Pymetrozine 45.00 % WG 500gm x 10","K-1399","K-6683",10,5.5,false
"Katyayani Anti virus 250 ml x 10","K-6480","K-5564",10,2.75,false
"Katyayani Chakraveer (Chlorantraniliprole 18.5 % SC ) 30 ml x 10","K-6155","K-5027",10,0.33,false
"Katyayani Fantastic Chlorantranliprole 0.4% w/w GR 4kg x 80","K-1262","K-5206",80,352,false
"Katyayani Chloro 50 - Chlorpyriphos 50% EC 1 Ltr x 2","K-1309","K-1308",2,2.2,false
"Katyayani Eggplant Fruit & Shoot Borer Lure (LEUCINODES ORBONALIS) 1 Pc x 20","K-899","K-897",20,0.066,false
"Katyayani Chakraveer (Chlorantraniliprole 18.5 % SC ) 30 ml x 5","K-6154","K-5027",5,0.165,false
"Katyayani Ditox - Diflubenzuron 25% WP 250gm x 20","K-1378","K-1373",20,5.5,false
"Katyayani Fall Army Worm Lure (SPODOPTERA FRUGIPERDA) 1 Pc x 10","K-902","K-901",10,0.033,false
"Katyayani NEMOTODE PLUS (BIO PESTICIDES Verticillium Chlamydosporium 1% WP) 1kg x 10","K-5563","K-5560",10,11,false
"Katyayani Deltamethrin 2.5% WP 1kg x 30","K-5202","K-5203",30,33,false
"Katyayani Anti virus 1 ltr x 5","K-6481","K-6427",5,5.5,false
"Katyayani Deltamethrin 2.5% WP 1 kg x 50","K-963","K-5203",50,55,false
"Katyayani Anti virus 1 ltr x 2","K-6604","K-6427",2,2.2,false
"Katyayani FANTASY PLUS(Fipronil 4% + Acetamipirid 4% w/w SC) 250ml x 3","K-5583","K-5582",3,0.825,false
"Katyayani Katappa - Cartap hydrochloride 4% GR 25 KG x 2","K-1321","K-1320",2,55,false
"Katyayani Ditox - Diflubenzuron 25% WP 250gm x 4","K-1375","K-1373",4,1.1,false
"Katyayani Deltamethrin 2.5% SC DEL-25 1Ltr x 10","K-5846","K-937",10,11,false
"Katyayani Chakraveer (Chlorantraniliprole 18.5 % SC ) 60 ml x 4","K-1361","K-1359",4,0.264,false
"Katyayani THIAMETHOXAM 0.9% + FIPRONIL 0.2% GR (THIONIL) 100 KG x 10","K-1337","K-1335",10,1100,false
"Katyayani FANTASY PLUS(Fipronil 4% + Acetamipirid 4% w/w SC) 250ml x 40","K-5587","K-5582",40,11,false
"Katyayani FANTASY PLUS(Fipronil 4% + Acetamipirid 4% w/w SC) 250ml x 12","K-5585","K-5582",12,3.3,false
"Katyayani Katappa - Cartap hydrochloride 4% GR 5Kg x 3","K-5684","K-5229",3,16.5,false
"Katyayani Red Palm Weevil Lure (RHYNCHOPHORUS FERRUGINEUS) 1 Pc x 20","K-915","K-913",20,0.066,false
"Katyayani DIMETHOATE 30% EC 1 Ltr x 5","K-292","K-290",5,5.5,false
"Katyayani Metarhizium Anisopliae Bio Insecticide Powder 1 kg x 3","K-5164","K-5163",3,3.3,false
"Katyayani KEECHAK (tolfenpyrad 15 % ec) 250ml x 20","K-5549","K-5545",20,5.5,false
"Katyayani Joker - Fipronil 80% WDG 40gm x 3","K-1267","K-1266",3,0.132,false
"Katyayani Cypermethrin 25% EC 1 ltr x 50","K-1265","K-5237",50,55,false
"Katyayani Eggplant Fruit & Shoot Borer Lure (LEUCINODES ORBONALIS) 1 Pc x 50","K-900","K-897",50,0.165,false
"Katyayani Verticillium Lecanii Bio Insecticide Powder 1 kg x 3","K-5168","K-5167",3,3.3,false
"Katyayani Beetle Lure (DYNASTINAE) 1 Pc x 5","K-886","K-5788",5,0.0165,true
"Katyayani Anti virus 250 ml x 20","K-6483","K-5564",20,5.5,false
"Katyayani Melon Fly Lure (BACTROCERA CUCURBITAE) 1 Pc x 20","K-911","K-909",20,0.066,false
"Katyayani Fantasy - Fipronil 0.3GR 5kg x 10","K-5101","K-5791",10,55,false
"Katyayani FOXY ( Fipronil 4% + Thiomethoxam 4% SC) 1Ltr x 5","K-5590","K-5588",5,5.5,false
"Katyayani neem oil 900ml x 20","K-209","K-205",20,19.8,false
"Katyayani MITE FREE (fenpyroximate 5% SC) 1Ltr x 5","K-5624","K-5622",5,5.5,false
"Katyayani Fall Army Worm Lure (SPODOPTERA FRUGIPERDA) 1 Pc x 50","K-904","K-901",50,0.165,false
"Katyayani Fall Army Worm Lure (SPODOPTERA FRUGIPERDA) 1 Pc x 20","K-903","K-901",20,0.066,false
"Katyayani Flubendiamide 39.35 % sc – Fluben 30ml x 10","K-1257","K-1249",10,0.33,false
"Katyayani Chloropriphos 20 % ec 1 Ltr x 5","K-1283","K-1281",5,5.5,false
"Katyayani Katappa - Cartap hydrochloride 4% GR 1 KG X 100","K-5228","K-5931",100,110,false
"Katyayani Shivi - Fenpropathrin 30 % EC 250ml x 3","K-1346","K-1345",3,0.825,false
"Katyayani Aakramak (Novaluron 5.25% + Emamectin benzonate 9 % W/W SC) 1 Ltr x 3","K-5887","K-5886",3,3.3,false
"Katyayani Temos - G | Temephos 1% SG 50kg x 20 ","K-5172","K-6719",20,1100,false
"Katyayani Chloropriphos 20 % ec 5 Ltr  x 20","K-1287","K-1281",20,110,false
"Katyayani Beetle Lure (DYNASTINAE) 1 Pc x 10","K-887","K-886",10,0.033,false
"Katyayani CHLORO GR (chloropyriphos 10%gr) 1kg x 19","K-1114","K-1111",19,20.9,false
"Katyayani Fantastic Chlorantranliprole 0.4% w/w GR 4 kg x 10","K-1259","K-5206",10,44,false
"Katyayani NEMOTODE PLUS (BIO PESTICIDES Verticillium Chlamydosporium 1% WP) 1kg x 5","K-5562","K-5560",5,5.5,false
