K-5405,Bio Npk consortia powder 1 kg x 1,Katyayani Bio Npk consortia powder 1 kg x 1 ,"displayName,variant_name",,
K-6892,Bio Npk consortia powder 1 kg x 2,Katyayani Bio Npk consortia powder 1 kg x 2,displayName,,
K-5406,Bio Npk consortia powder 1 kg x 3,Katyayani Bio Npk consortia powder 1 kg x 3,displayName,,
K-5407,Bio Npk consortia powder 1 kg x 5,Katyayani Bio Npk consortia powder 1 kg x 5,displayName,,
K-5408,Bio Npk consortia powder 1 kg x 10,Katyayani Bio Npk consortia powder 1 kg x 10,displayName,,
K-6714,Bio Npk consortia powder 25kg x 1,Katyayani Bio Npk consortia powder 25kg x 1,displayName,,
K-5567,KATYAYANI K-RAJA (MYCORRIZA) 100gm x 1,Katyayani K-RAJA (MYCORRIZA) 100gm x 1,displayName,,
K-5668,KATYAYANI K-RAJA (MYCORRIZA) 100gm x 5,Katyayani K-RAJA (MYCORRIZA) 100gm x 5,displayName,,
K-5669,KATYAYANI K-RAJA (MYCORRIZA) 100gm x 10,Katyayani K-RAJA (MYCORRIZA) 100gm x 10,displayName,,
K-6706,KATYAYANI K-RAJA (MYCORRIZA) 1 Kg x 1,Katyayani K-RAJA (MYCORRIZA) 1 Kg x 1,displayName,,
K-5676,Calcium Solubilizing bacteria 1Ltr x 1,Katyayani Calcium Solubilizing bacteria 1Ltr x 1,displayName,,
K-6898,Calcium Solubilizing bacteria 1Ltr x 2,Katyayani Calcium Solubilizing bacteria 1Ltr x 2,displayName,,
K-5677,Calcium Solubilizing bacteria 1Ltr x 3,Katyayani Calcium Solubilizing bacteria 1Ltr x 3,displayName,,
K-5678,Calcium Solubilizing bacteria 1Ltr x 5,Katyayani Calcium Solubilizing bacteria 1Ltr x 5,displayName,,
K-5679,Calcium Solubilizing bacteria 1Ltr x 10,Katyayani Calcium Solubilizing bacteria 1Ltr x 10,displayName,,
K-7437,Calcium Solubilizing bacteria 5 Ltr x 1,Calcium Solubilizing bacteria,5 Litre,(5 Ltr x 1),displayName
K-6944,calcium Solubilizing Bacteria 25 Ltr x 1,Katyayani calcium Solubilizing Bacteria 25 Ltr x 1,displayName,,
K-6282,BHUMIRAJA (MYCORRHIZA) 1 kg x 1,Katyayani BHUMIRAJA (MYCORRHIZA) 1 kg x 1,displayName,,
K-5680,BHUMIRAJA (MYCORRHIZA) 4kg x 1,Katyayani BHUMIRAJA (MYCORRHIZA) 4kg x 1 ,"displayName,variant_name",,
K-5681,BHUMIRAJA (MYCORRHIZA) 4kg x 2,Katyayani BHUMIRAJA (MYCORRHIZA) 4kg x 2,displayName,,
K-5682,BHUMIRAJA (MYCORRHIZA) 4kg x 5,Katyayani BHUMIRAJA (MYCORRHIZA) 4kg x 5,displayName,,
K-5865,BHUMIRAJA (MYCORRHIZA) 25kg x 1,Katyayani BHUMIRAJA (MYCORRHIZA) 25kg x 1,displayName,,
K-5877,BHUMIRAJA (MYCORRHIZA) 50KG x 1,Katyayani BHUMIRAJA (MYCORRHIZA) 50KG x 1,displayName,,
K-458,Trichoderma viride 1 ltr x 1,Katyayani Trichoderma viride 1 ltr x 1,displayName,,
K-6896,Trichoderma viride 1 ltr x 2,Katyayani Trichoderma viride 1 ltr x 2,displayName,,
K-459,Trichoderma viride 1 Ltr x 3,Katyayani Trichoderma viride 1 Ltr x 3,displayName,,
K-460,Trichoderma viride 1 ltr x 5,Katyayani Trichoderma viride 1 ltr x 5,displayName,,
K-7194,Trichoderma viride 5 ltr x 1,Trichoderma viride 5 Litre  (5 ltr x 1),displayName,,
K-461,Trichoderma viride 1 ltr x 10,Katyayani Trichoderma viride 1 ltr x 10,displayName,,
K-6421,Trichoderma viride 25 ltr x 1,Katyayani Trichoderma viride 25 ltr x 1,displayName,,
K-6579,Trichoderma viride 100 ml x 1,Katyayani Trichoderma viride 100 ml x 1,displayName,,
K-7463,,,sku,,
K-462,Trichoderma harzianum 1 ltr x 1,Katyayani Trichoderma harzianum 1 ltr x 1,displayName,,
K-463,Trichoderma harzianum 1 ltr x 3,Katyayani Trichoderma harzianum 1 ltr x 3,displayName,,
K-464,Trichoderma harzianum 1 ltr x 5,Katyayani Trichoderma harzianum 1 ltr x 5,displayName,,
K-6992,Trichoderma harzianum 5 ltr x 1,Katyayani Trichoderma harzianum 5 ltr x 1,displayName,,
K-465,Trichoderma harzianum 1 ltr x 10,Katyayani Trichoderma harzianum 1 ltr x 10,displayName,,
K-5074,Trichoderma harzianum 1 ltr x 20,Katyayani Trichoderma harzianum 1 ltr x 20,displayName,,
K-6414,Trichoderma harzianum 25 ltr x 1,Katyayani Trichoderma harzianum 25 ltr x 1,displayName,,
K-466,Ampelomyces quisqualis 1 ltr x 1,Katyayani Ampelomyces quisqualis 1 ltr x 1,displayName,,
K-467,Ampelomyces quisqualis 1 ltr x 3,Katyayani Ampelomyces quisqualis 1 ltr x 3,displayName,,
K-468,Ampelomyces quisqualis 1 ltr x 5,Katyayani Ampelomyces quisqualis 1 ltr x 5,displayName,,
K-469,Ampelomyces quisqualis 1 ltr x 10,Katyayani Ampelomyces quisqualis 1 ltr x 10,displayName,,
K-6753,Ampelomyces quisqualis 25 Ltr x 1,Katyayani Ampelomyces quisqualis 25 Ltr x 1,displayName,,
K-470,Pseudomonas fluorescence 1 ltr x 1,Katyayani Pseudomonas fluorescence 1 ltr x 1,displayName,,
K-471,Pseudomonas fluorescence 1 ltr x 3,Katyayani Pseudomonas fluorescence 1 ltr x 3,displayName,,
K-472,Pseudomonas fluorescence 1 ltr x 5,Katyayani Pseudomonas fluorescence 1 ltr x 5,displayName,,
K-473,Pseudomonas fluorescence 1 ltr x 10,Katyayani Pseudomonas fluorescence 1 ltr x 10,displayName,,
K-6038,Pseudomonas fluorescence 5ltr x 1,Katyayani Pseudomonas fluorescence 5ltr x 1,displayName,,
K-6577,Pseudomonas fluorescence 100 ml x 1,Katyayani Pseudomonas fluorescence 100 ml x 1,displayName,,
K-6752,Pseudomonas fluorescence 25 Ltr x 1,Katyayani Pseudomonas fluorescence 25 Ltr x 1,displayName,,
K-474,Paecilomyces Lilacinus 1 ltr x 1,Katyayani Paecilomyces Lilacinus 1 ltr x 1,displayName,,
K-475,Paecilomyces Lilacinus 1 ltr x 3,Katyayani Paecilomyces Lilacinus 1 ltr x 3,displayName,,
K-476,Paecilomyces Lilacinus 1 ltr x 5,Katyayani Paecilomyces Lilacinus 1 ltr x 5,displayName,,
K-6848,Paecilomyces Lilacinus 5 ltr x 1,Katyayani Nema Cure Paecilomyces Lilacinus 5 ltr x 1,displayName,,
K-477,Paecilomyces Lilacinus 1 ltr x 10,Katyayani Paecilomyces Lilacinus 1 ltr x 10,displayName,,
K-6751,Paecilomyces Lilacinus 25 Ltr x 1,Katyayani Paecilomyces Lilacinus 25 Ltr x 1,displayName,,
K-478,Bacillus supp 2% AS 1 ltr x 1,Katyayani Bacillus supp 2% AS 1 ltr x 1,displayName,,
K-479,Bacillus supp 2% AS 1 ltr x 3,Katyayani Bacillus supp 2% AS 1 ltr x 3,displayName,,
K-480,Bacillus supp 2% AS 1 ltr x 5,Katyayani Bacillus supp 2% AS 1 ltr x 5,displayName,,
K-7377,,,"category,sub_category",,
K-481,Bacillus supp 2% AS 1 ltr x 10,Katyayani Bacillus supp 2% AS 1 ltr x 10,displayName,,
K-6791,Bacillus supp 2% AS 25 Ltr x 1,Katyayani Bacillus supp 2% AS 25 Ltr x 1,displayName,,
K-6911,BACILLUS SUPP 2% AS Powder 100 gm x 1,Katyayani BACILLUS SUPP 2% AS Powder 100 gm x 1,displayName,,
K-5119,BACILLUS SUPP 2% AS Powder 1 kg x 1,Katyayani BACILLUS SUPP 2% AS Powder 1 kg x 1 ,"displayName,variant_name",,
K-5121,BACILLUS SUPP 2% AS Powder 1 kg x 3,Katyayani BACILLUS SUPP 2% AS Powder 1 kg x 3,displayName,,
K-5122,BACILLUS SUPP 2% AS Powder 1 kg x 5,Katyayani BACILLUS SUPP 2% AS Powder 1 kg x 5,displayName,,
K-5123,BACILLUS SUPP 2% AS Powder 1 kg x 10,Katyayani BACILLUS SUPP 2% AS Powder 1 kg x 10,displayName,,
K-5120,Katyayani Pseudomonas Fluorescens 1 kg x 1,Katyayani Pseudomonas Fluorescens 1 kg x 1 ,"displayName,variant_name",,
K-7236,Katyayani Pseudomonas Fluorescens 25 kg x 1,Katyayani Pseudomonas Fluorescens,25 kg,25 kg x 1,displayName
K-5142,Trichoderma Viride Bio Fungicide Powder  1 kg x 1,Katyayani Trichoderma Viride Bio Fungicide Powder  1 kg x 1 ,"displayName,variant_name",,
K-6893,Trichoderma Viride Bio Fungicide Powder  1 kg x 2,Katyayani Trichoderma Viride Bio Fungicide Powder  1 kg x 2,displayName,,
K-5143,Trichoderma Viride Bio Fungicide Powder  1 kg x 3,Katyayani Trichoderma Viride Bio Fungicide Powder  1 kg x 3,displayName,,
K-5144,Trichoderma Viride Bio Fungicide Powder  1 kg x 5,Katyayani Trichoderma Viride Bio Fungicide Powder  1 kg x 5,displayName,,
K-5145,Trichoderma Viride Bio Fungicide Powder  1 kg x 10,Katyayani Trichoderma Viride Bio Fungicide Powder  1 kg x 10,displayName,,
K-7460,,,sku,,
K-7461,,,sku,,
K-7334,Trichoderma Viride Bio Fungicide Powder  25 KG x 1,Trichoderma Viride Bio Fungicide Powder 25KG X 1,"displayName,variant_name",,
K-5146,Paecilomyces Lilacinus Bio Powder 1 kg x 1,Katyayani Paecilomyces Lilacinus Bio Fungicide Powder 1 kg x 1 ,"displayName,variant_name",,
K-5147,Paecilomyces Lilacinus Bio Powder 1 kg x 3,Katyayani Paecilomyces Lilacinus Bio Fungicide Powder 1 kg x 3,displayName,,
K-5148,Paecilomyces Lilacinus Bio Powder 1 kg x 5,Katyayani Paecilomyces Lilacinus Bio Fungicide Powder 1 kg x 5,displayName,,
K-5149,Paecilomyces Lilacinus Bio Powder 1 kg x 10,Katyayani Paecilomyces Lilacinus Bio Fungicide Powder 1 kg x 10,displayName,,
K-6903,Paecilomyces Lilacinus Bio Powder 25 kg x 1,Katyayani Paecilomyces Lilacinus Bio Fungicide Powder 25 kg x 1,displayName,,
K-7079,Trichoderma Harzianum Bio Fungicide Powder  20 gm x 1,Trichoderma Harzianum Bio Fungicide Powder 20 gm x 1,displayName,,
K-5151,Trichoderma Harzianum Bio Fungicide Powder  1 kg x 1,Katyayani Trichoderma Harzianum Bio Fungicide Powder  1 kg x 1 ,"displayName,variant_name",,
K-5152,Trichoderma Harzianum Bio Fungicide Powder  1 kg x 3,Katyayani Trichoderma Harzianum Bio Fungicide Powder  1 kg x 3,displayName,,
K-5153,Trichoderma Harzianum Bio Fungicide Powder  1 kg x 5,Katyayani Trichoderma Harzianum Bio Fungicide Powder  1 kg x 5,displayName,,
K-5154,Trichoderma Harzianum Bio Fungicide Powder  1 kg x 10,Katyayani Trichoderma Harzianum Bio Fungicide Powder  1 kg x 10,displayName,,
K-6073,Sporothrix Fungorum 100ml x 1,Katyayani Sporothrix Fungorum 100ml x 1,displayName,,
K-240,Sporothrix Fungorum 1 Ltr x 1,Katyayani Sporothrix Fungorum 1 Ltr x 1,displayName,,
K-241,Sporothrix Fungorum 1 Ltr x 3,Katyayani Sporothrix Fungorum 1 Ltr x 3,displayName,,
K-242,Sporothrix Fungorum 1 Ltr x 5,Katyayani Sporothrix Fungorum 1 Ltr x 5,displayName,,
K-243,Sporothrix Fungorum 1 Ltr x 10,Katyayani Sporothrix Fungorum 1 Ltr x 10,displayName,,
K-6571,Sporothrix Fungorum 25 Ltr x 1,Katyayani Sporothrix Fungorum 25 Ltr x 1,displayName,,
K-244,Beauveria Bassiana 1 Ltr x 1,Katyayani Beauveria Bassiana 1 Ltr x 1,displayName,,
K-245,Beauveria Bassiana 1 Ltr x 3,Katyayani Beauveria Bassiana 1 Ltr x 3,displayName,,
K-246,Beauveria Bassiana 1 Ltr x 5,Katyayani Beauveria Bassiana 1 Ltr x 5,displayName,,
K-247,Beauveria Bassiana 1 Ltr x 10,Katyayani Beauveria Bassiana 1 Ltr x 10,displayName,,
K-6746,Beauveria Bassiana 25 Ltr x 1,Katyayani Beauveria Bassiana 25 Ltr x 1,displayName,,
K-5409,Beauveria Bassiana 5ltr x 1,Katyayani Beauveria Bassiana 5ltr x 1,displayName,,
K-248,Verticillium lecanii 1 Ltr x 1,Katyayani Verticillium lecanii 1 Ltr x 1,displayName,,
K-249,Verticillium lecanii 1 Ltr x 3,Katyayani Verticillium lecanii 1 Ltr x 3,displayName,,
K-250,Verticillium lecanii 1 Ltr x 5,Katyayani Verticillium lecanii 1 Ltr x 5,displayName,,
K-7502,Verticillium lecanii 5 ltr x 1,Verticillium lecanii,5 ltr x 1,displayName,
K-251,Verticillium lecanii 1 Ltr x 10,Katyayani Verticillium lecanii 1 Ltr x 10,displayName,,
K-6745,Verticillium lecanii 25 Ltr x 1,Katyayani Verticillium lecanii 25 Ltr x 1,displayName,,
K-6578,Verticillium lecanii 100ml x 1,Katyayani Verticillium lecanii 100ml x 1,displayName,,
K-252,Metarhizium anisopliae 1 Ltr x 1,Katyayani Metarhizium anisopliae 1 Ltr x 1,displayName,,
K-6897,Metarhizium Anisopliae 1 Ltr x 2,Katyayani Metarhizium Anisopliae 1 Ltr x 2,displayName,,
K-253,Metarhizium anisopliae 1 Ltr x 3,Katyayani Metarhizium anisopliae 1 Ltr x 3,displayName,,
K-254,Metarhizium anisopliae 1 Ltr x 5,Katyayani Metarhizium anisopliae 1 Ltr x 5,displayName,,
K-255,Metarhizium anisopliae 1 Ltr x 10,Katyayani Metarhizium anisopliae 1 Ltr x 10,displayName,,
K-6744,Metarhizium anisopliae 25 Ltr x 1,Katyayani Metarhizium anisopliae 25 Ltr x 1,displayName,,
K-6388,Triple Attack - VBM 100 ml x 1,Katyayani Triple Attack - VBM 100 ml x 1,displayName,,
K-7280,Triple Attack - VBM 500 ml x 1,Triple Attack - VBM,500 ml x 1,displayName,
K-256,Triple Attack - VBM 1 Ltr x 1,Katyayani Triple Attack - VBM 1 Ltr x 1,displayName,,
K-6567,Triple Attack - VBM 1 ltr x 2,Katyayani Triple Attack - VBM 1 ltr x 2,displayName,,
K-257,Triple Attack - VBM 1 Ltr x 3,Katyayani Triple Attack - VBM 1 Ltr x 3,displayName,,
K-258,Triple Attack - VBM 1 Ltr x 5,Katyayani Triple Attack - VBM 1 Ltr x 5,displayName,,
K-6846,Triple Attack - VBM 5 Ltr x 1,Katyayani Triple Attack - VBM 5 Ltr x 1,displayName,,
K-259,Triple Attack - VBM 1 Ltr x 10,Katyayani Triple Attack - VBM 1 Ltr x 10,displayName,,
K-5927,Triple Attack - VBM 25 Ltr x 1,Katyayani Triple Attack - VBM 25 Ltr x 1,displayName,,
K-420,BT Bio Larvicide liquid 1 Ltr x 1,Katyayani BT Bio Larvicide liquid 1 Ltr x 1,displayName,,
K-5286,BT Bio Larvicide liquid 1Ltr x 2,Katyayani BT Bio Larvicide liquid 1Ltr x 2,displayName,,
K-421,BT Bio Larvicide liquid 1 Ltr x 3,Katyayani BT Bio Larvicide liquid 1 Ltr x 3,displayName,,
K-422,BT Bio Larvicide liquid 1 Ltr x 5,Katyayani BT Bio Larvicide liquid 1 Ltr x 5,displayName,,
K-423,BT Bio Larvicide liquid 1 Ltr x 10,Katyayani BT Bio Larvicide liquid 1 Ltr x 10,displayName,,
K-6747,BT Bio Larvicide liquid 25 Ltr x 1,Katyayani BT Bio Larvicide liquid 25 Ltr x 1,displayName,,
K-5797,Beauveria Bassiana Bio Insecticide Powder 100gm x 1,Katyayani Beauveria Bassiana Bio Insecticide Powder 100gm x 1,displayName,,
K-5155,Beauveria Bassiana Bio Insecticide Powder 1 kg x 1,Katyayani Beauveria Bassiana Bio Insecticide Powder 1 kg x 1 ,"displayName,variant_name",,
K-5156,Beauveria Bassiana Bio Insecticide Powder 1 kg x 3,Katyayani Beauveria Bassiana Bio Insecticide Powder 1 kg x 3,displayName,,
K-5157,Beauveria Bassiana Bio Insecticide Powder 1 kg x 5,Katyayani Beauveria Bassiana Bio Insecticide Powder 1 kg x 5,displayName,,
K-5158,Beauveria Bassiana Bio Insecticide Powder 1 kg x 10,Katyayani Beauveria Bassiana Bio Insecticide Powder 1 kg x 10,displayName,,
K-5952,BT Bio Larvicide Powder 100 gm x 1,Katyayani BT Bio Larvicide Powder 100 gm x 1,displayName,,
K-5159,BT Bio Larvicide Powder 1 kg x 1,Katyayani BT Bio Larvicide Powder 1 kg x 1 ,"displayName,variant_name",,
K-5160,BT Bio Larvicide Powder 1 kg x 3,Katyayani BT Bio Larvicide Powder 1 kg x 3,displayName,,
K-5161,BT Bio Larvicide Powder 1 kg x 5,Katyayani BT Bio Larvicide Powder 1 kg x 5,displayName,,
K-5162,BT Bio Larvicide Powder 1 kg x 10,Katyayani BT Bio Larvicide Powder 1 kg x 10,displayName,,
K-5798,Metarhizium Anisopliae Bio Insecticide Powder 100gm x 1,Katyayani Metarhizium Anisopliae Bio Insecticide Powder 100gm x 1,displayName,,
K-5163,Metarhizium Anisopliae Bio Insecticide Powder 1 kg x 1,Katyayani Metarhizium Anisopliae Bio Insecticide Powder 1 kg x 1 ,"displayName,variant_name",,
K-6894,Metarhizium Anisopliae Bio Insecticide Powder 1 kg x 2,Katyayani Metarhizium Anisopliae Bio Insecticide Powder 1 kg x 2,displayName,,
K-5164,Metarhizium Anisopliae Bio Insecticide Powder 1 kg x 3,Katyayani Metarhizium Anisopliae Bio Insecticide Powder 1 kg x 3,displayName,,
K-5165,Metarhizium Anisopliae Bio Insecticide Powder 1 kg x 5,Katyayani Metarhizium Anisopliae Bio Insecticide Powder 1 kg x 5,displayName,,
K-5166,Metarhizium Anisopliae Bio Insecticide Powder 1 kg x 10,Katyayani Metarhizium Anisopliae Bio Insecticide Powder 1 kg x 10,displayName,,
K-5799,Verticillium Lecanii Bio Insecticide Powder 100gm x 1,Katyayani Verticillium Lecanii Bio Insecticide Powder 100gm x 1,displayName,,
